     6      54     itext   idata

   Haensel & Zdunik (2008) EOS: Pd compression, with pycnonuclear allowed

      rho          P           n         A_cell       A_ion          Z
    (g/cm3)   (dynes/cm2)   (#/fm3)

   3.844E+13   8.408E+31   2.306E-02        983.        118.         24.
   3.044E+13   5.994E+31   1.826E-02       1000.        120.         26.
   2.520E+13   4.588E+31   1.512E-02        954.        124.         28.
   2.003E+13   3.363E+31   1.202E-02        486.         68.         16.
   1.609E+13   2.510E+31   9.654E-03        493.         74.         18.
   1.317E+13   1.933E+31   7.902E-03        471.         80.         20.
   1.096E+13   1.528E+31   6.576E-03        478.         86.         22.
   9.242E+12   1.234E+31   5.545E-03        460.         92.         24.
   8.487E+12   1.157E+31   5.092E-03        257.         54.         14.
   6.655E+12   8.749E+30   3.993E-03        240.         60.         16.
   5.355E+12   6.883E+30   3.213E-03        236.         66.         18.
   4.399E+12   5.584E+30   2.639E-03        232.         72.         20.
   3.472E+12   4.624E+30   2.083E-03        124.         42.         12.
   3.153E+12   4.549E+30   1.892E-03        128.         50.         14.
   2.488E+12   3.723E+30   1.493E-03        119.         56.         16.
   2.016E+12   3.145E+30   1.210E-03        117.         62.         18.
   1.668E+12   2.720E+30   1.001E-03        117.         68.         20.
   1.403E+12   2.394E+30   8.418E-04        116.         74.         22.
   1.197E+12   2.135E+30   7.182E-04        114.         80.         24.
   1.032E+12   1.924E+30   6.192E-04        115.         86.         26.
   8.989E+11   1.748E+30   5.393E-04        114.         92.         28.
   7.785E+11   1.703E+30   4.671E-04        122.        106.         32.
   4.811E+11   9.713E+29   2.887E-04        106.        106.         34.
   2.774E+11   5.025E+29   1.664E-04        106.        106.         36.
   1.455E+11   2.283E+29   8.730E-05        106.        106.         38.
   6.639E+10   8.581E+28   3.983E-05        106.        106.         40.
   2.413E+10   2.372E+28   1.448E-05        106.        106.         42.
   5.621E+09   3.603E+27   3.373E-06        106.        106.         44.
   3.517E+08   9.235E+25   2.110E-07        106.        106.         46.
   3.455E+08   9.008E+25   2.081E-07        106.        106.         46.
   2.031E+08   4.377E+25   1.223E-07        106.        106.         46.
   1.194E+08   2.116E+25   7.190E-08        106.        106.         46.
   7.017E+07   1.017E+25   4.226E-08        106.        106.         46.
   4.125E+07   4.847E+24   2.484E-08        106.        106.         46.
   2.424E+07   2.288E+24   1.460E-08        106.        106.         46.
   1.425E+07   1.067E+24   8.583E-09        106.        106.         46.
   8.377E+06   4.907E+23   5.045E-09        106.        106.         46.
   4.924E+06   2.222E+23   2.966E-09        106.        106.         46.
   2.894E+06   9.894E+22   1.743E-09        106.        106.         46.
   1.701E+06   4.331E+22   1.025E-09        106.        106.         46.
   1.000E+06   1.864E+22   6.023E-10        106.        106.         46.
   5.878E+05   7.894E+21   3.540E-10        106.        106.         46.
   3.455E+05   3.292E+21   2.081E-10        106.        106.         46.
   2.031E+05   1.353E+21   1.223E-10        106.        106.         46.
   1.194E+05   5.482E+20   7.190E-11        106.        106.         46.
   7.017E+04   2.188E+20   4.226E-11        106.        106.         46.
   4.125E+04   8.593E+19   2.484E-11        106.        106.         46.
   2.424E+04   3.308E+19   1.460E-11        106.        106.         46.
   1.425E+04   1.241E+19   8.583E-12        106.        106.         46.
   8.377E+03   4.492E+18   5.045E-12        106.        106.         46.
   4.924E+03   1.538E+18   2.966E-12        106.        106.         46.
   2.894E+03   4.772E+17   1.743E-12        106.        106.         46.
   1.701E+03   1.190E+17   1.025E-12        106.        106.         46.
   1.000E+03   1.063E+16   6.023E-13        106.        106.         46.



From file: Haensel_Zdunik_2008_Pd_1_EOS.dat  down to rho= 3.517E+08
           and
           Outer_Crust_Pd_EOS.dat at lower densities

NOTICE: rho, P, & n are the maximum value at which the A_cell, A_ion, & Z exist
        (i.e., inmediately above this rho the next A_ion & Z are present,
         and A_cell should be interpolated) 


