       6       62     itext   idata

               CRUST EQUATION OF STATE: Equilibrium Matter

      rho                P               n        A_cell   A_ion      Z
    (g/cm3)        (dynes/cm2)        (#/fm3)

   1.334E+14        6.349E+32        7.890E-02	     982     232     32
   8.011E+13        2.745E+32        4.750E-02	    1500     183     40
   3.432E+13        7.426E+31        2.040E-02	    1800     193     50
   1.496E+13        2.096E+31        8.910E-03	    1350     164     50 
   9.685E+12        1.107E+31        5.770E-03	    1100     161     50 
   6.257E+12        6.193E+30        3.730E-03	     950     159     50 
   2.665E+12        2.637E+30        1.590E-03	     500     117     40
   1.472E+12        1.695E+30        8.790E-04       320     116     40 
   1.004E+12        1.261E+30        6.000E-04	     250     116     40 
   6.692E+11        8.740E+29        4.000E-04	     200     116     40 
   5.409E+11        7.000E+29        3.234E-04	     180     116     40   \ Phase transition to the outer crust:
   3.935e+11        6.999e+29        2.355e-04       130     130     40   / pressure continuous but density jumps
   3.285e+11        5.816e+29        1.966e-04        88      88     28
   2.635e+11        4.473e+29        1.578e-04        86      86     28
   2.044e+11        3.290e+29        1.224e-04        84      84     28
   1.855e+11        2.892e+29       1.1115e-04        84      84     28
   1.711e+11        2.597e+29        1.025e-04        84      84     28
   1.390e+11        2.033e+29        8.331e-05        82      82     28
   1.076e+11        1.495e+29        6.455e-05        80      80     28
   8.335e+10        1.100e+29       5.0014e-05        78      78     28
   6.617e+10        8.089e+28        3.971e-05        78      78     28
   5.255e+10        5.949e+28       3.1545e-05        78      78     28
   4.172e+10        4.628e+28        2.506e-05        80      80     30
   3.314e+10        3.404e+28        1.990e-05        80      80     30
   2.631e+10        2.503e+28        1.581e-05        80      80     30
  2.1175e+10        1.938e+28       1.2725e-05        78      78     30
   1.660e+10        1.425e+28        9.981e-06        72      72     28
   1.273e+10        1.048e+28        7.653e-06        84      84     34
   1.011e+10        7.702e+27        6.077e-06        84      84     34
   8.025e+09        5.662e+27        4.827e-06        84      84     34
   6.602e+09        4.362e+27        3.971e-06        84      84     34
   4.074e+09        2.356e+27        2.452e-06        68      68     28
   2.570e+09        1.272e+27        1.547e-06        68      68     28
   1.621e+09        6.860e+26        9.761e-07        68      68     28
   1.288e+09        5.036e+26        7.753e-07        68      68     28
   1.045e+09        4.129e+26        6.294e-07        64      64     28
   8.301e+08        3.029e+26        5.000e-07        64      64     28
   5.237e+08        1.629e+26        3.155e-07        64      64     28
   3.304e+08        8.738e+25        1.990e-07        64      64     28
   2.624e+08        6.676e+25        1.581e-07        64      62     28
   1.315e+08        2.604e+25        7.924e-08        62      62     28
   6.589e+07        1.006e+25        3.972e-08        62      62     28
   3.302e+07        3.833e+24        1.990e-08        62      62     28
   1.655e+07        1.435e+24        9.976e-09        62      62     28
   8.293e+06        5.259e+23        5.000e-09        62      62     28
   6.588e+06        3.911e+23        3.972e-09        56      56     26
   2.622e+06        9.755e+22        1.581e-09        56      56     26
   1.044e+06        2.318e+22        6.294e-10        56      56     26
   4.156e+05        5.266e+21        2.506e-10        56      56     26
   1.654e+05        1.151e+21        9.976e-11        56      56     26
   6.587E+04        2.431E+20        3.972E-11        56      56     26
   2.622E+04        4.968E+19        1.581E-11        56      56     26
   1.044E+04        9.744E+18        6.295E-12        56      56     26
   1.150E+03        1.900E+17        6.930E-13        56      56     26
   2.120E+02        5.820E+15        1.270E-13        56      56     26
   4.510E+01        1.700E+14        2.720E-14        56      56     26
   1.640E+01        1.400E+13        9.900E-15        56      56     26
   1.160E+01        1.210E+12        6.990E-15        56      56     26
   8.150E+00        1.010E+11        4.910E-15        56      56     26
   7.900E+00        1.010E+10        4.760E-15        56      56     26
   7.860E+00        1.010E+09        4.730E-15        56      56     26
   7.800E+00        1.010E+08        4.700E-15        56      56     26




  1-9   Feynman-Metropolis-Teller
  13-51 Haensel-Zdunik-Dobaczewski
  52-62 Negele-Vautherin

  A = total nucleon number per ion, including free neutrons above neutron drip
  N+Z = number of nucleons per nucleus

  The outer-inner crust phase transition, lines 51-52, is done with a Maxwell construction
  (file `plot_maxwell.for').





