     6      45

     Haensel & Zdunik, 1990, A&A 229, p. 117: EOS (Table 1)

   rho              P            Nbaryon 
 (g/cm3)       (dynes/cm2)       (#/fm3)

1.462E+13       2.209E+31       8.706E-03
1.194E+13       1.695E+31       7.111E-03
8.679E+12       1.170E+31       5.170E-03
6.773E+12       8.748E+30       4.036E-03
5.237E+12       6.481E+30       3.122E-03
3.688E+12       4.771E+30       2.199E-03
2.471E+12       3.506E+30       1.474E-03
1.436E+12       2.592E+30       8.570E-04
8.970E+11       1.950E+30       5.356E-04
7.869E+11       1.638E+30       4.700E-04
6.990E+11       1.399E+30       4.176E-04
5.620E+11       1.218E+30       3.359E-04
4.784E+11       9.831E+29       2.861E-04
4.056E+11       7.890E+29       2.426E-04
3.225E+11       5.816E+29       1.930E-04
2.387E+11       4.473E+29       1.429E-04
1.895E+11       3.290E+29       1.135E-04
1.720E+11       2.892E+29       1.031E-04
1.587E+11       2.597E+29       9.507E-05
1.320E+11       2.033E+29       7.913E-05
1.048E+11       1.495E+29       6.284E-05
7.580E+10       1.100E+29       4.547E-05
6.018E+10       8.089E+28       3.612E-05
4.779E+10       5.949E+28       2.869E-05
3.958E+10       4.628E+28       2.377E-05
3.143E+10       3.404E+28       1.888E-05
2.496E+10       2.503E+28       1.499E-05
2.060E+10       1.938E+28       1.238E-05
1.636E+10       1.425E+28       9.833E-06
1.300E+10       1.048E+28       7.812E-06
9.479E+09       7.702E+27       5.696E-06
7.522E+09       5.662E+27       4.524E-06
6.188E+09       4.362E+27       3.722E-06
3.903E+09       2.356E+27       2.348E-06
2.462E+09       1.272E+27       1.482E-06
1.436E+09       6.860E+26       8.644E-07
1.140E+09       5.036E+26       6.866E-07
9.836E+08       4.129E+26       5.923E-07
7.811E+08       3.029E+26       4.704E-07
4.928E+08       1.629E+26       2.969E-07
3.109E+08       8.738E+25       1.873E-07
2.549E+08       6.676E+25       1.536E-07
1.277E+08       2.604E+25       7.697E-08
6.401E+07       1.006E+25       3.858E-08
3.207E+07       3.833E+24       1.933E-08



