       6     119      50      65

     EOS file :  /Users/dany/Work/NStar/eos/v14/APR_EOS_Acc_Fe.dat           

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   4.386208E-01   7.774704E+14    6.94341E+34   0.000000000E+00  -3.100341E-01   0.000000000E+00
     1      10.000000   4.386205E-01   7.774699E+14    6.94340E+34   1.637334332E-09  -3.100339E-01   1.546997724E-09
     2      11.666664   4.386204E-01   7.774698E+14    6.94339E+34   2.600024870E-09  -3.100338E-01   2.456573902E-09
     3      13.611106   4.386203E-01   7.774695E+14    6.94339E+34   4.128740206E-09  -3.100337E-01   3.900945868E-09
     4      15.879619   4.386202E-01   7.774693E+14    6.94338E+34   6.556280117E-09  -3.100336E-01   6.194552211E-09
     5      18.526216   4.386200E-01   7.774689E+14    6.94337E+34   1.041111619E-08  -3.100335E-01   9.836707989E-09
     6      21.613908   4.386197E-01   7.774683E+14    6.94335E+34   1.653243711E-08  -3.100333E-01   1.562030318E-08
     7      25.216210   4.386193E-01   7.774676E+14    6.94333E+34   2.625283344E-08  -3.100330E-01   2.480440943E-08
     8      29.418887   4.386188E-01   7.774666E+14    6.94330E+34   4.168838810E-08  -3.100327E-01   3.938836794E-08
     9      34.321995   4.386181E-01   7.774652E+14    6.94327E+34   6.619931575E-08  -3.100322E-01   6.254701976E-08
    10      40.042264   4.386171E-01   7.774633E+14    6.94321E+34   1.051214120E-07  -3.100315E-01   9.932181119E-08
    11      46.715874   4.386158E-01   7.774608E+14    6.94314E+34   1.669275051E-07  -3.100306E-01   1.577181913E-07
    12      54.501694   4.386141E-01   7.774574E+14    6.94305E+34   2.650716614E-07  -3.100293E-01   2.504481257E-07
    13      63.585056   4.386116E-01   7.774527E+14    6.94292E+34   4.209174230E-07  -3.100277E-01   3.976968997E-07
    14      74.182163   4.386083E-01   7.774463E+14    6.94274E+34   6.683871044E-07  -3.100254E-01   6.315161721E-07
    15      86.545217   4.386039E-01   7.774376E+14    6.94250E+34   1.061343333E-06  -3.100222E-01   1.002798842E-06
    16     100.968406   4.385978E-01   7.774257E+14    6.94217E+34   1.685307695E-06  -3.100180E-01   1.592352416E-06
    17     117.794862   4.385895E-01   7.774096E+14    6.94173E+34   2.676063107E-06  -3.100122E-01   2.528477781E-06
    18     137.424781   4.385782E-01   7.773877E+14    6.94112E+34   4.249179848E-06  -3.100043E-01   4.014872143E-06
    19     160.324849   4.385628E-01   7.773578E+14    6.94029E+34   6.746871885E-06  -3.099935E-01   6.374913005E-06
    20     187.039207   4.385419E-01   7.773172E+14    6.93917E+34   1.071233837E-05  -3.099789E-01   1.012192578E-05
    21     218.202167   4.385134E-01   7.772619E+14    6.93764E+34   1.700767560E-05  -3.099590E-01   1.607065016E-05
    22     254.552934   4.384747E-01   7.771866E+14    6.93555E+34   2.700081536E-05  -3.099319E-01   2.551399403E-05
    23     296.952606   4.384220E-01   7.770842E+14    6.93272E+34   4.286172537E-05  -3.098950E-01   4.050317114E-05
    24     346.403721   4.383502E-01   7.769449E+14    6.92886E+34   6.803136028E-05  -3.098449E-01   6.429138173E-05
    25     404.072613   4.382527E-01   7.767553E+14    6.92362E+34   1.079633098E-04  -3.097766E-01   1.020358417E-04
    26     471.314780   4.381199E-01   7.764975E+14    6.91650E+34   1.712949821E-04  -3.096839E-01   1.619071480E-04
    27     549.703362   4.379393E-01   7.761467E+14    6.90681E+34   2.716933497E-04  -3.095578E-01   2.568392117E-04
    28     641.060575   4.376938E-01   7.756699E+14    6.89366E+34   4.307557269E-04  -3.093863E-01   4.072829218E-04
    29     747.491597   4.373601E-01   7.750218E+14    6.87581E+34   6.825513143E-04  -3.091535E-01   6.455248167E-04
    30     871.419687   4.369068E-01   7.741415E+14    6.85162E+34   1.080694412E-03  -3.088376E-01   1.022429181E-03
    31    1015.620275   4.362914E-01   7.729465E+14    6.81887E+34   1.709281032E-03  -3.084093E-01   1.617896937E-03
    32    1183.250000   4.354567E-01   7.713261E+14    6.77463E+34   2.699629455E-03  -3.078294E-01   2.556948069E-03
    33    1377.863994   4.343261E-01   7.691317E+14    6.71503E+34   4.255544614E-03  -3.070459E-01   4.034148224E-03
    34    1603.410671   4.327973E-01   7.661652E+14    6.63503E+34   6.690685986E-03  -3.059899E-01   6.350066384E-03
    35    1864.187341   4.307349E-01   7.621650E+14    6.52818E+34   1.048224394E-02  -3.045720E-01   9.964335984E-03
    36    2164.731830   4.279573E-01   7.568004E+14    6.38641E+34   1.634476740E-02  -3.026769E-01   1.557002960E-02
    37    2509.610057   4.242361E-01   7.496279E+14    6.20000E+34   2.532478474E-02  -3.001606E-01   2.419188373E-02
    38    2903.067198   4.192799E-01   7.400896E+14    5.95781E+34   3.890819303E-02  -2.968483E-01   3.730441393E-02
    39    3348.470241   4.127167E-01   7.275185E+14    5.64818E+34   5.911378614E-02  -2.925387E-01   5.694799991E-02
    40    3847.488664   4.041173E-01   7.111205E+14    5.26061E+34   8.851182965E-02  -2.870172E-01   8.578988074E-02
    41    4399.010354   3.929868E-01   6.900312E+14    4.78871E+34   1.300633585E-01  -2.800856E-01   1.270264105E-01
    42    4997.838648   3.788036E-01   6.633533E+14    4.23430E+34   1.866363627E-01  -2.716109E-01   1.839688682E-01
    43    5633.453080   3.610852E-01   6.303447E+14    3.61171E+34   2.600944973E-01  -2.615931E-01   2.591597066E-01
    44    6289.248701   3.394819E-01   5.905217E+14    2.95049E+34   3.500343872E-01  -2.502391E-01   3.529988278E-01
    45    6943.084756   3.053190E-01   5.282699E+14    2.29657E+34   4.521305447E-01  -2.380054E-01   4.617631394E-01
    46    7588.268819   2.774426E-01   4.780550E+14    1.69262E+34   5.604542078E-01  -2.252411E-01   5.797183969E-01
    47    8180.461251   2.470495E-01   4.239942E+14    1.18130E+34   6.654118996E-01  -2.130890E-01   6.962491416E-01
    48    8700.529382   2.153610E-01   3.682741E+14    7.82183E+33   7.582066215E-01  -2.022109E-01   8.010147705E-01
    49    9137.813878   1.657546E-01   2.818546E+14    5.20805E+33   8.262697257E-01  -1.930657E-01   8.789867195E-01
    50    9550.579329   1.401765E-01   2.377335E+14    3.18568E+33   8.854698127E-01  -1.845856E-01   9.474076545E-01
    51    9875.403929   1.168656E-01   1.977786E+14    1.88749E+33   9.276737965E-01  -1.780605E-01   9.964745044E-01
    52   10122.624124   9.577844E-02   1.618033E+14    1.09241E+33   9.558187906E-01  -1.732087E-01   1.029318186E+00
    53   10306.845729   7.228789E-02   1.218211E+14    6.33364E+32   9.731974521E-01  -1.696725E-01   1.049647113E+00
    54   10454.378618   5.306500E-02   8.917726E+13    3.69416E+32   9.837543692E-01  -1.669002E-01   1.062025800E+00
    55   10575.738947   3.881193E-02   6.504081E+13    2.14098E+32   9.902676364E-01  -1.646658E-01   1.069678175E+00
    56   10674.777390   2.831536E-02   4.731596E+13    1.23535E+32   9.942221932E-01  -1.628759E-01   1.074332861E+00
    57   10755.069891   2.055525E-02   3.425646E+13    7.10939E+31   9.965910530E-01  -1.614482E-01   1.077126160E+00
    58   10820.041971   1.404844E-02   2.341774E+13    4.16118E+31   9.979604330E-01  -1.603089E-01   1.078741350E+00
    59   10876.474467   9.458773E-03   1.576397E+13    2.44740E+31   9.987754843E-01  -1.593311E-01   1.079702057E+00
    60   10926.396094   6.269476E-03   1.044913E+13    1.44504E+31   9.992622588E-01  -1.584755E-01   1.080275346E+00
    61   10971.353660   4.024196E-03   6.706723E+12    8.66897E+30   9.995483156E-01  -1.577125E-01   1.080612000E+00
    62   11013.786833   2.278779E-03   3.798042E+12    5.29625E+30   9.997180611E-01  -1.569989E-01   1.080811613E+00
    63   11059.978587   1.308224E-03   2.181228E+12    3.27187E+30   9.998217149E-01  -1.562294E-01   1.080933414E+00
    64   11110.154262   6.307788E-04   1.051298E+12    2.15845E+30   9.998797678E-01  -1.554020E-01   1.081001579E+00
    65   11179.527545   3.647382E-04   6.078970E+11    1.35187E+30   9.999227997E-01  -1.542724E-01   1.081052063E+00
    66   11255.767624   2.354715E-04   3.924525E+11    8.07664E+29   9.999526753E-01  -1.530499E-01   1.081087070E+00
    67   11327.474868   1.519015E-04   2.531692E+11    4.82384E+29   9.999710553E-01  -1.519177E-01   1.081108582E+00
    68   11394.876711   9.932268E-05   1.655378E+11    2.86722E+29   9.999824138E-01  -1.508688E-01   1.081121862E+00
    69   11457.020825   6.492587E-05   1.082098E+11    1.70367E+29   9.999893394E-01  -1.499145E-01   1.081129951E+00
    70   11514.245559   4.258023E-05   7.096705E+10    1.01161E+29   9.999935541E-01  -1.490465E-01   1.081134869E+00
    71   11566.674611   2.816323E-05   4.693871E+10    5.98179E+28   9.999961252E-01  -1.482600E-01   1.081137866E+00
    72   11614.057305   1.862313E-05   3.103856E+10    3.53606E+28   9.999976753E-01  -1.475564E-01   1.081139672E+00
    73   11656.829800   1.231201E-05   2.052002E+10    2.08972E+28   9.999986078E-01  -1.469270E-01   1.081140758E+00
    74   11695.400254   8.138054E-06   1.356342E+10    1.23466E+28   9.999991676E-01  -1.463640E-01   1.081141409E+00
    75   11730.148619   5.390776E-06   8.984626E+09    7.29132E+27   9.999995032E-01  -1.458606E-01   1.081141800E+00
    76   11761.346297   3.575767E-06   5.959612E+09    4.30024E+27   9.999997042E-01  -1.454115E-01   1.081142033E+00
