       6     153      53      68
 
     EOS file :  /Users/dany/Work/NStar/EOS/v14/APR_EOS_Cat.dat              
 
  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   
 
     0       0.000000   7.315877E-01   1.425657E+15    3.96021E+35   0.000000000E+00  -7.857028E-01   0.000000000E+00
     1      10.000000   7.315873E-01   1.425656E+15    3.96020E+35   3.002400600E-09  -7.857024E-01   2.580280763E-09
     2      11.666664   7.315872E-01   1.425656E+15    3.96019E+35   4.767698252E-09  -7.857022E-01   4.097388446E-09
     3      13.611106   7.315870E-01   1.425655E+15    3.96019E+35   7.570922486E-09  -7.857020E-01   6.506497265E-09
     4      15.879619   7.315867E-01   1.425655E+15    3.96019E+35   1.202233214E-08  -7.857017E-01   1.033206853E-08
     5      18.526216   7.315863E-01   1.425654E+15    3.96018E+35   1.909099153E-08  -7.857013E-01   1.640692471E-08
     6      21.613909   7.315858E-01   1.425653E+15    3.96017E+35   3.031572998E-08  -7.857008E-01   2.605355121E-08
     7      25.216211   7.315852E-01   1.425651E+15    3.96016E+35   4.814013221E-08  -7.857001E-01   4.137199330E-08
     8      29.418888   7.315843E-01   1.425649E+15    3.96014E+35   7.644447863E-08  -7.856991E-01   6.569701799E-08
     9      34.321997   7.315830E-01   1.425645E+15    3.96012E+35   1.213904209E-07  -7.856977E-01   1.043240531E-07
    10      40.042267   7.315813E-01   1.425641E+15    3.96009E+35   1.927622390E-07  -7.856959E-01   1.656619150E-07
    11      46.715879   7.315790E-01   1.425635E+15    3.96005E+35   3.060965874E-07  -7.856934E-01   2.630632187E-07
    12      54.501701   7.315759E-01   1.425627E+15    3.95999E+35   4.860641891E-07  -7.856900E-01   4.177308301E-07
    13      63.585067   7.315717E-01   1.425616E+15    3.95991E+35   7.718392759E-07  -7.856854E-01   6.633328343E-07
    14      74.182180   7.315659E-01   1.425602E+15    3.95981E+35   1.225624834E-06  -7.856792E-01   1.053330137E-06
    15      86.545245   7.315580E-01   1.425581E+15    3.95966E+35   1.946187732E-06  -7.856707E-01   1.672610696E-06
    16     100.968449   7.315473E-01   1.425554E+15    3.95947E+35   3.090346283E-06  -7.856591E-01   2.655960519E-06
    17     117.794931   7.315327E-01   1.425517E+15    3.95920E+35   4.907079335E-06  -7.856433E-01   4.217386866E-06
    18     137.424889   7.315129E-01   1.425466E+15    3.95884E+35   7.791663527E-06  -7.856218E-01   6.696664972E-06
    19     160.325020   7.314859E-01   1.425397E+15    3.95835E+35   1.237158355E-05  -7.855925E-01   1.063321489E-05
    20     187.039478   7.314491E-01   1.425303E+15    3.95768E+35   1.964282977E-05  -7.855527E-01   1.688333382E-05
    21     218.202597   7.313991E-01   1.425175E+15    3.95677E+35   3.118606458E-05  -7.854985E-01   2.680618102E-05
    22     254.553616   7.313310E-01   1.425001E+15    3.95554E+35   4.950930508E-05  -7.854248E-01   4.255873547E-05
    23     296.953691   7.312384E-01   1.424764E+15    3.95385E+35   7.859083563E-05  -7.853245E-01   6.756335832E-05
    24     346.405447   7.311124E-01   1.424442E+15    3.95157E+35   1.247386252E-04  -7.851880E-01   1.072484963E-04
    25     404.075362   7.309409E-01   1.424004E+15    3.94845E+35   1.979492132E-04  -7.850024E-01   1.702210759E-04
    26     471.319165   7.307077E-01   1.423408E+15    3.94422E+35   3.140529949E-04  -7.847499E-01   2.701199981E-04
    27     549.710368   7.303906E-01   1.422598E+15    3.93847E+35   4.980938036E-04  -7.844066E-01   4.285417042E-04
    28     641.071797   7.299596E-01   1.421498E+15    3.93067E+35   7.896374961E-04  -7.839402E-01   6.796477689E-04
    29     747.509561   7.293747E-01   1.420015E+15    3.92008E+35   1.251079266E-03  -7.833067E-01   1.077399737E-03
    30     871.447692   7.285805E-01   1.418002E+15    3.90574E+35   1.980562647E-03  -7.824469E-01   1.706867881E-03
    31    1015.663926   7.275031E-01   1.415273E+15    3.88633E+35   3.131938117E-03  -7.812814E-01   2.701823485E-03
    32    1183.318829   7.260430E-01   1.411576E+15    3.86015E+35   4.945254464E-03  -7.797035E-01   4.271869728E-03
    33    1377.974386   7.240675E-01   1.406578E+15    3.82492E+35   7.792668667E-03  -7.775715E-01   6.743841808E-03
    34    1603.591227   7.214002E-01   1.399836E+15    3.77772E+35   1.224613680E-02  -7.746984E-01   1.062401744E-02
    35    1864.488828   7.178114E-01   1.390820E+15    3.71481E+35   1.917431207E-02  -7.708402E-01   1.668959072E-02
    36    2165.236498   7.129997E-01   1.378789E+15    3.63161E+35   2.987505958E-02  -7.656838E-01   2.611868495E-02
    37    2510.468983   7.065826E-01   1.362814E+15    3.52263E+35   4.624382986E-02  -7.588359E-01   4.066720248E-02
    38    2904.554488   6.980829E-01   1.341796E+15    3.38175E+35   7.096439500E-02  -7.498184E-01   6.289123368E-02
    39    3351.077404   6.869281E-01   1.314556E+15    3.20275E+35   1.076738381E-01  -7.380766E-01   9.639083868E-02
    40    3852.060607   6.724593E-01   1.279694E+15    2.98031E+35   1.609968251E-01  -7.230117E-01   1.460009245E-01
    41    4407.003609   6.539652E-01   1.235808E+15    2.71173E+35   2.362771717E-01  -7.040501E-01   2.177854365E-01
    42    5011.708206   6.307662E-01   1.181967E+15    2.39889E+35   3.387956229E-01  -6.807622E-01   3.185808028E-01
    43    5656.989126   6.023100E-01   1.117568E+15    2.05034E+35   4.722574989E-01  -6.530352E-01   4.547504655E-01
    44    6327.905937   5.683444E-01   1.043019E+15    1.68222E+35   6.367524694E-01  -6.212651E-01   6.299814530E-01
    45    7003.716977   5.290490E-01   9.595485E+14    1.31698E+35   8.267438645E-01  -5.865133E-01   8.423289862E-01
    46    7659.509772   4.851428E-01   8.695411E+14    9.79290E+34   1.030435827E+00  -5.505078E-01   1.081783822E+00
    47    8269.357727   4.378259E-01   7.759265E+14    6.90074E+34   1.231537507E+00  -5.154146E-01   1.330206409E+00
    48    8810.903272   3.886162E-01   6.817864E+14    4.61232E+34   1.413484131E+00  -4.833657E-01   1.565284266E+00
    49    9269.646988   3.390004E-01   5.896405E+14    2.93696E+34   1.564190297E+00  -4.559321E-01   1.767373294E+00
    50    9641.400667   2.838945E-01   4.896214E+14    1.82008E+34   1.676336647E+00  -4.338096E-01   1.922149099E+00
    51    9942.447033   2.397617E-01   4.111204E+14    1.07836E+34   1.758604572E+00  -4.161842E-01   2.037869272E+00
    52   10170.592212   1.769231E-01   3.012333E+14    6.31545E+33   1.812481949E+00  -4.031047E-01   2.114589837E+00
    53   10363.215058   1.461309E-01   2.479732E+14    3.59647E+33   1.847767167E+00  -3.923459E-01   2.165255514E+00
    54   10503.562689   1.197242E-01   2.026682E+14    2.02173E+33   1.869559339E+00  -3.847069E-01   2.196624662E+00
    55   10603.935941   9.695122E-02   1.637996E+14    1.12778E+33   1.882545397E+00  -3.793583E-01   2.215336314E+00
    56   10675.222003   7.826338E-02   1.323184E+14    6.26457E+32   1.890094627E+00  -3.756226E-01   2.226209816E+00
    57   10725.268209   5.612304E-02   9.473080E+13    3.61622E+32   1.894187268E+00  -3.730336E-01   2.232095847E+00
    58   10766.198603   3.977277E-02   6.704293E+13    2.08578E+32   1.896600087E+00  -3.709382E-01   2.235566675E+00
    59   10799.953525   2.794617E-02   4.705872E+13    1.20836E+32   1.898006948E+00  -3.692261E-01   2.237589909E+00
    60   10828.089061   1.961690E-02   3.299946E+13    6.99512E+31   1.898834584E+00  -3.678103E-01   2.238779890E+00
    61   10851.508931   1.371971E-02   2.305944E+13    4.05196E+31   1.899319112E+00  -3.666397E-01   2.239476427E+00
    62   10871.057596   9.592466E-03   1.610872E+13    2.34605E+31   1.899602825E+00  -3.656683E-01   2.239884235E+00
    63   10887.354029   6.642042E-03   1.114981E+13    1.36130E+31   1.899768004E+00  -3.648625E-01   2.240121629E+00
    64   10901.081691   4.494616E-03   7.541606E+12    7.93814E+30   1.899863875E+00  -3.641865E-01   2.240259362E+00
    65   10912.964390   2.828970E-03   4.744275E+12    4.69532E+30   1.899918991E+00  -3.636034E-01   2.240338538E+00
    66   10924.175065   1.718944E-03   2.881339E+12    2.85114E+30   1.899950503E+00  -3.630551E-01   2.240383804E+00
    67   10935.419165   9.400613E-04   1.574412E+12    1.78205E+30   1.899968864E+00  -3.625068E-01   2.240410181E+00
    68   10948.319469   5.251148E-04   8.786346E+11    1.11782E+30   1.899980333E+00  -3.618799E-01   2.240426664E+00
    69   10962.869412   2.357695E-04   3.939503E+11    7.00721E+29   1.899987578E+00  -3.611756E-01   2.240437078E+00
    70   10983.283189   1.502522E-04   2.508993E+11    4.21561E+29   1.899992465E+00  -3.601922E-01   2.240444104E+00
    71   11002.678515   9.922265E-05   1.656168E+11    2.49921E+29   1.899995498E+00  -3.592630E-01   2.240448463E+00
    72   11020.195368   6.427468E-05   1.071406E+11    1.48734E+29   1.899997302E+00  -3.584281E-01   2.240451056E+00
    73   11036.390240   4.237969E-05   7.062100E+10    8.82158E+28   1.899998389E+00  -3.576597E-01   2.240452618E+00
    74   11051.030374   2.784200E-05   4.636511E+10    5.19130E+28   1.899999046E+00  -3.569681E-01   2.240453562E+00
    75   11064.207833   1.844228E-05   3.070517E+10    3.07496E+28   1.899999431E+00  -3.563480E-01   2.240454116E+00
    76   11076.038395   1.207217E-05   2.008633E+10    1.81300E+28   1.899999662E+00  -3.557932E-01   2.240454449E+00
