       6    6085    3173    3223

     EOS file :  StrangeEOS_03_140_250_Acc-Fe.dat                            

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   4.694454E-01   8.162628E+14    1.04852E+35   0.000000000E+00  -4.275025E-01   0.000000000E+00
     1      10.000000   4.694450E-01   8.162621E+14    1.04852E+35   1.719029892E-09  -4.275023E-01   1.655714746E-09
     2      10.033333   4.694450E-01   8.162621E+14    1.04852E+35   1.736277539E-09  -4.275023E-01   1.672327131E-09
     3      10.066778   4.694450E-01   8.162621E+14    1.04852E+35   1.753698237E-09  -4.275023E-01   1.689106194E-09
     4      10.100334   4.694450E-01   8.162621E+14    1.04852E+35   1.771293724E-09  -4.275023E-01   1.706053607E-09
     5      10.134001   4.694450E-01   8.162621E+14    1.04852E+35   1.789065752E-09  -4.275023E-01   1.723171059E-09
     6      10.167781   4.694450E-01   8.162621E+14    1.04852E+35   1.807016093E-09  -4.275023E-01   1.740460257E-09
     7      10.201674   4.694450E-01   8.162621E+14    1.04852E+35   1.825146537E-09  -4.275023E-01   1.757922924E-09
     8      10.235679   4.694450E-01   8.162620E+14    1.04852E+35   1.843458889E-09  -4.275023E-01   1.775560800E-09
     9      10.269798   4.694450E-01   8.162620E+14    1.04852E+35   1.861954976E-09  -4.275023E-01   1.793375643E-09
    10      10.304031   4.694450E-01   8.162620E+14    1.04852E+35   1.880636641E-09  -4.275023E-01   1.811369229E-09
    11      10.338378   4.694450E-01   8.162620E+14    1.04852E+35   1.899505745E-09  -4.275023E-01   1.829543350E-09
    12      10.372839   4.694450E-01   8.162620E+14    1.04852E+35   1.918564170E-09  -4.275023E-01   1.847899819E-09
    13      10.407415   4.694450E-01   8.162620E+14    1.04852E+35   1.937813814E-09  -4.275023E-01   1.866440465E-09
    14      10.442106   4.694450E-01   8.162620E+14    1.04852E+35   1.957256598E-09  -4.275023E-01   1.885167136E-09
    15      10.476913   4.694450E-01   8.162620E+14    1.04852E+35   1.976894457E-09  -4.275023E-01   1.904081698E-09
    16      10.511836   4.694450E-01   8.162620E+14    1.04852E+35   1.996729350E-09  -4.275023E-01   1.923186037E-09
    17      10.546876   4.694450E-01   8.162620E+14    1.04852E+35   2.016763253E-09  -4.275023E-01   1.942482057E-09
    18      10.582032   4.694450E-01   8.162620E+14    1.04852E+35   2.036998164E-09  -4.275023E-01   1.961971680E-09
    19      10.617305   4.694450E-01   8.162620E+14    1.04852E+35   2.057436099E-09  -4.275023E-01   1.981656849E-09
    20      10.652696   4.694450E-01   8.162620E+14    1.04852E+35   2.078079094E-09  -4.275023E-01   2.001539527E-09
    21      10.688205   4.694450E-01   8.162620E+14    1.04852E+35   2.098929208E-09  -4.275023E-01   2.021621695E-09
    22      10.723833   4.694450E-01   8.162620E+14    1.04852E+35   2.119988519E-09  -4.275023E-01   2.041905354E-09
    23      10.759579   4.694450E-01   8.162620E+14    1.04852E+35   2.141259125E-09  -4.275023E-01   2.062392526E-09
    24      10.795444   4.694450E-01   8.162620E+14    1.04852E+35   2.162743147E-09  -4.275023E-01   2.083085254E-09
    25      10.831429   4.694450E-01   8.162620E+14    1.04852E+35   2.184442725E-09  -4.275023E-01   2.103985599E-09
    26      10.867533   4.694450E-01   8.162620E+14    1.04852E+35   2.206360023E-09  -4.275023E-01   2.125095644E-09
    27      10.903758   4.694450E-01   8.162620E+14    1.04852E+35   2.228497224E-09  -4.275023E-01   2.146417494E-09
    28      10.940104   4.694450E-01   8.162620E+14    1.04852E+35   2.250856536E-09  -4.275023E-01   2.167953274E-09
    29      10.976571   4.694450E-01   8.162620E+14    1.04852E+35   2.273440187E-09  -4.275023E-01   2.189705130E-09
    30      11.013160   4.694450E-01   8.162620E+14    1.04852E+35   2.296250428E-09  -4.275023E-01   2.211675230E-09
    31      11.049870   4.694450E-01   8.162619E+14    1.04852E+35   2.319289532E-09  -4.275023E-01   2.233865763E-09
    32      11.086703   4.694450E-01   8.162619E+14    1.04852E+35   2.342559795E-09  -4.275023E-01   2.256278942E-09
    33      11.123659   4.694450E-01   8.162619E+14    1.04852E+35   2.366063536E-09  -4.275023E-01   2.278917001E-09
    34      11.160738   4.694450E-01   8.162619E+14    1.04852E+35   2.389803099E-09  -4.275023E-01   2.301782195E-09
    35      11.197940   4.694450E-01   8.162619E+14    1.04852E+35   2.413780850E-09  -4.275023E-01   2.324876803E-09
    36      11.235266   4.694450E-01   8.162619E+14    1.04852E+35   2.437999177E-09  -4.275023E-01   2.348203128E-09
    37      11.272717   4.694450E-01   8.162619E+14    1.04852E+35   2.462460496E-09  -4.275023E-01   2.371763495E-09
    38      11.310293   4.694450E-01   8.162619E+14    1.04852E+35   2.487167243E-09  -4.275023E-01   2.395560250E-09
    39      11.347994   4.694450E-01   8.162619E+14    1.04852E+35   2.512121882E-09  -4.275023E-01   2.419595767E-09
    40      11.385821   4.694450E-01   8.162619E+14    1.04852E+35   2.537326900E-09  -4.275022E-01   2.443872441E-09
    41      11.423773   4.694449E-01   8.162619E+14    1.04852E+35   2.562784808E-09  -4.275022E-01   2.468392691E-09
    42      11.461852   4.694449E-01   8.162619E+14    1.04852E+35   2.588498145E-09  -4.275022E-01   2.493158962E-09
    43      11.500059   4.694449E-01   8.162619E+14    1.04852E+35   2.614469472E-09  -4.275022E-01   2.518173721E-09
    44      11.538392   4.694449E-01   8.162619E+14    1.04852E+35   2.640701378E-09  -4.275022E-01   2.543439462E-09
    45      11.576853   4.694449E-01   8.162619E+14    1.04852E+35   2.667196479E-09  -4.275022E-01   2.568958703E-09
    46      11.615443   4.694449E-01   8.162619E+14    1.04852E+35   2.693957414E-09  -4.275022E-01   2.594733988E-09
    47      11.654161   4.694449E-01   8.162619E+14    1.04852E+35   2.720986851E-09  -4.275022E-01   2.620767885E-09
    48      11.693008   4.694449E-01   8.162619E+14    1.04852E+35   2.748287483E-09  -4.275022E-01   2.647062989E-09
    49      11.731985   4.694449E-01   8.162619E+14    1.04852E+35   2.775862033E-09  -4.275022E-01   2.673621921E-09
    50      11.771091   4.694449E-01   8.162618E+14    1.04852E+35   2.803713247E-09  -4.275022E-01   2.700447329E-09
    51      11.810328   4.694449E-01   8.162618E+14    1.04852E+35   2.831843902E-09  -4.275022E-01   2.727541885E-09
    52      11.849696   4.694449E-01   8.162618E+14    1.04852E+35   2.860256802E-09  -4.275022E-01   2.754908291E-09
    53      11.889195   4.694449E-01   8.162618E+14    1.04852E+35   2.888954779E-09  -4.275022E-01   2.782549273E-09
    54      11.928825   4.694449E-01   8.162618E+14    1.04852E+35   2.917940692E-09  -4.275022E-01   2.810467586E-09
    55      11.968588   4.694449E-01   8.162618E+14    1.04852E+35   2.947217431E-09  -4.275022E-01   2.838666015E-09
    56      12.008483   4.694449E-01   8.162618E+14    1.04852E+35   2.976787914E-09  -4.275022E-01   2.867147367E-09
    57      12.048512   4.694449E-01   8.162618E+14    1.04852E+35   3.006655087E-09  -4.275022E-01   2.895914483E-09
    58      12.088673   4.694449E-01   8.162618E+14    1.04852E+35   3.036821929E-09  -4.275022E-01   2.924970230E-09
    59      12.128969   4.694449E-01   8.162618E+14    1.04852E+35   3.067291444E-09  -4.275022E-01   2.954317503E-09
    60      12.169399   4.694449E-01   8.162618E+14    1.04852E+35   3.098066671E-09  -4.275022E-01   2.983959228E-09
    61      12.209963   4.694449E-01   8.162618E+14    1.04852E+35   3.129150676E-09  -4.275022E-01   3.013898358E-09
    62      12.250663   4.694449E-01   8.162618E+14    1.04852E+35   3.160546558E-09  -4.275022E-01   3.044137878E-09
    63      12.291499   4.694449E-01   8.162618E+14    1.04852E+35   3.192257446E-09  -4.275022E-01   3.074680802E-09
    64      12.332470   4.694449E-01   8.162618E+14    1.04852E+35   3.224286500E-09  -4.275022E-01   3.105530174E-09
    65      12.373578   4.694449E-01   8.162618E+14    1.04852E+35   3.256636912E-09  -4.275022E-01   3.136689068E-09
    66      12.414824   4.694449E-01   8.162618E+14    1.04852E+35   3.289311908E-09  -4.275022E-01   3.168160590E-09
    67      12.456206   4.694449E-01   8.162618E+14    1.04852E+35   3.322314743E-09  -4.275022E-01   3.199947877E-09
    68      12.497727   4.694449E-01   8.162617E+14    1.04852E+35   3.355648707E-09  -4.275022E-01   3.232054097E-09
    69      12.539386   4.694449E-01   8.162617E+14    1.04852E+35   3.389317121E-09  -4.275022E-01   3.264482450E-09
    70      12.581184   4.694449E-01   8.162617E+14    1.04852E+35   3.423323343E-09  -4.275022E-01   3.297236168E-09
    71      12.623121   4.694449E-01   8.162617E+14    1.04852E+35   3.457670761E-09  -4.275022E-01   3.330318515E-09
    72      12.665198   4.694449E-01   8.162617E+14    1.04852E+35   3.492362798E-09  -4.275022E-01   3.363732789E-09
    73      12.707415   4.694449E-01   8.162617E+14    1.04852E+35   3.527402913E-09  -4.275022E-01   3.397482320E-09
    74      12.749773   4.694449E-01   8.162617E+14    1.04852E+35   3.562794597E-09  -4.275022E-01   3.431570472E-09
    75      12.792273   4.694449E-01   8.162617E+14    1.04852E+35   3.598541378E-09  -4.275022E-01   3.466000642E-09
    76      12.834913   4.694448E-01   8.162617E+14    1.04852E+35   3.634646819E-09  -4.275022E-01   3.500776262E-09
    77      12.877696   4.694448E-01   8.162617E+14    1.04852E+35   3.671114518E-09  -4.275022E-01   3.535900798E-09
