          5        1050

                COND. CRYSTAL PARAMETERS

        Rho         A       Z        IS171      IS5000       IK171      IK5000

     1.000E+04      56      26      0.4568      1.6704      2.0165      3.5106
     1.023E+04      56      26      0.4572      1.6707      2.0208      3.5158
     1.047E+04      56      26      0.4575      1.6710      2.0251      3.5210
     1.072E+04      56      26      0.4579      1.6714      2.0294      3.5262
     1.096E+04      56      26      0.4583      1.6717      2.0337      3.5314
     1.122E+04      56      26      0.4587      1.6720      2.0380      3.5365
     1.148E+04      56      26      0.4590      1.6723      2.0423      3.5417
     1.175E+04      56      26      0.4594      1.6726      2.0466      3.5469
     1.202E+04      56      26      0.4598      1.6729      2.0509      3.5521
     1.230E+04      56      26      0.4601      1.6733      2.0552      3.5573
     1.259E+04      56      26      0.4605      1.6736      2.0595      3.5625
     1.288E+04      56      26      0.4609      1.6739      2.0638      3.5677
     1.318E+04      56      26      0.4612      1.6742      2.0681      3.5729
     1.349E+04      56      26      0.4616      1.6745      2.0724      3.5781
     1.380E+04      56      26      0.4620      1.6749      2.0767      3.5833
     1.413E+04      56      26      0.4623      1.6752      2.0810      3.5885
     1.445E+04      56      26      0.4627      1.6755      2.0853      3.5936
     1.479E+04      56      26      0.4631      1.6758      2.0896      3.5988
     1.514E+04      56      26      0.4634      1.6761      2.0939      3.6040
     1.549E+04      56      26      0.4638      1.6764      2.0982      3.6092
     1.585E+04      56      26      0.4642      1.6768      2.1025      3.6144
     1.622E+04      56      26      0.4645      1.6771      2.1068      3.6196
     1.660E+04      56      26      0.4649      1.6774      2.1111      3.6248
     1.698E+04      56      26      0.4653      1.6777      2.1154      3.6300
     1.738E+04      56      26      0.4656      1.6780      2.1197      3.6352
     1.778E+04      56      26      0.4660      1.6783      2.1240      3.6404
     1.820E+04      56      26      0.4664      1.6787      2.1283      3.6456
     1.862E+04      56      26      0.4667      1.6790      2.1326      3.6507
     1.905E+04      56      26      0.4671      1.6793      2.1369      3.6559
     1.950E+04      56      26      0.4675      1.6796      2.1412      3.6611
     1.995E+04      56      26      0.4678      1.6799      2.1455      3.6663
     2.042E+04      56      26      0.4682      1.6803      2.1499      3.6715
     2.089E+04      56      26      0.4686      1.6806      2.1542      3.6767
     2.138E+04      56      26      0.4689      1.6809      2.1585      3.6819
     2.188E+04      56      26      0.4693      1.6812      2.1628      3.6871
     2.239E+04      56      26      0.4697      1.6815      2.1671      3.6923
     2.291E+04      56      26      0.4700      1.6818      2.1714      3.6975
     2.344E+04      56      26      0.4704      1.6822      2.1757      3.7027
     2.399E+04      56      26      0.4708      1.6825      2.1800      3.7078
     2.455E+04      56      26      0.4711      1.6828      2.1843      3.7130
     2.512E+04      56      26      0.4715      1.6831      2.1886      3.7182
