  4  28

   rho          P       n       A_cell    Z
 (g/cm3) (dynes/cm2)  (#/fm3)

 4.46e11    7.89e29   2.67e-4    126    40
 5.23e11    8.35e29   3.13e-4    128    40
 6.61e11    9.10e29   3.95e-4    130    40
 7.96e11    9.83e29   4.76e-4    132    41
 9.73e11    1.08e30   5.81e-4    135    41
 1.20e12    1.22e30   7.14e-4    137    42
 1.47e12    1.40e30   8.79e-4    140    42
 1.80e12    1.64e30   1.08e-3    142    43
 2.20e12    1.95e30   1.31e-3    146    43
 2.93e12    2.59e30   1.75e-3    151    44
 3.83e12    3.51e30   2.29e-3    156    45
 4.93e12    4.77e30   2.94e-3    163    46
 6.25e12    6.48e30   3.73e-3    170    48
 7.80e12    8.75e30   4.65e-3    178    49
 9.61e12    1.17e31   5.73e-3    186    50
 1.25e13    1.69e31   7.42e-3    200    52
 1.50e13    2.21e31   8.91e-3    211    54
 1.78e13    2.85e31   1.06e-2    223    56
 2.21e13    3.93e31   1.31e-2    241    58
 2.99e13    6.18e31   1.78e-2    275    63
 3.77e13    8.77e31   2.24e-2    311    67
 5.08e13    1.39e32   3.02e-2    375    74
 6.19e13    1.88e32   3.67e-2    435    79
 7.73e13    2.66e32   4.58e-2    529    88
 9.83e13    3.90e32   5.82e-2    683   100
 1.26e14    5.86e32   7.47e-2    947   117
 1.59e14    8.59e32   9.37e-2   1390   143
 2.00e14    1.29e33   1.18e-1   2500   201

Notice: no info about A_ion in this model !

From:
Baym, Bethe, & Pethick, 1971, Table 9

