   4     44

          rho              P                n       A_ion     Z
        (g/cm3)      (dynes/cm2)        (#/fm3)

       4.299e+11       7.805e+29       2.572e-04     118      36
       4.188e+11       7.538e+29       2.506e-04     118      36
       3.921e+11       6.999e+29       2.349e-04     118      36
       3.325e+11       5.816e+29       1.990e-04     120      38
       2.640e+11       4.473e+29       1.581e-04     122      40
       2.096e+11       3.290e+29       1.256e-04     122      40
       1.844e+11       2.892e+29       1.105e-04     124      42
       1.664e+11       2.597e+29       9.976e-05      76      26
       1.322e+11       2.033e+29       7.924e-05      78      28
       1.049e+11       1.495e+29       6.294e-05      78      28
       8.332e+10       1.100e+29       5.000e-05      78      28
       6.617e+10       8.089e+28       3.972e-05      78      28
       5.254e+10       5.949e+28       3.155e-05      78      28
       4.172e+10       4.628e+28       2.506e-05      80      30
       3.313e+10       3.404e+28       1.990e-05      80      30
       2.631e+10       2.503e+28       1.581e-05      80      30
       2.090e+10       1.938e+28       1.256e-05      82      32
       1.659e+10       1.425e+28       9.976e-06      82      32
       1.318e+10       1.048e+28       7.924e-06      82      32
       1.046e+10       7.702e+27       6.294e-06      82      32
       8.312e+09       5.662e+27       5.000e-06      82      32
       6.601e+09       4.362e+27       3.972e-06      84      34
       4.164e+09       2.356e+27       2.506e-06      84      34
       2.626e+09       1.272e+27       1.581e-06      84      34
       1.657e+09       6.860e+26       9.976e-07      84      34
       1.316e+09       5.036e+26       7.924e-07      84      34
       1.045e+09       4.129e+26       6.294e-07      64      28
       8.301e+08       3.029e+26       5.000e-07      64      28
       5.237e+08       1.629e+26       3.155e-07      64      28
       3.304e+08       8.738e+25       1.990e-07      64      28
       2.624e+08       6.676e+25       1.581e-07      62      28
       1.315e+08       2.604e+25       7.924e-08      62      28
       6.589e+07       1.006e+25       3.972e-08      62      28
       3.302e+07       3.833e+24       1.990e-08      62      28
       1.655e+07       1.435e+24       9.976e-09      62      28
       8.293e+06       5.259e+23       5.000e-09      62      28
       6.588e+06       3.911e+23       3.972e-09      56      26
       2.622e+06       9.755e+22       1.581e-09      56      26
       1.044e+06       2.318e+22       6.294e-10      56      26
       4.156e+05       5.266e+21       2.506e-10      56      26
       1.654e+05       1.151e+21       9.976e-11      56      26
       6.587e+04       2.431e+20       3.972e-11      56      26
       2.622e+04       4.968e+19       1.581e-11      56      26
       1.044e+04       9.744e+18       6.295e-12      56      26
     
The first two lines are physicaly excluded by the phase transition to the inner crust
accouring at the density of the third line (Maxwell construction, file `plot_maxwell.for'
