     6      41     itext   idata

   Haensel & Zdunik (2008) EOS: Fe compression, with pycnonuclear only at Z<4

      rho          P           n         A_cell       A_ion          Z
    (g/cm3)   (dynes/cm2)   (#/fm3)

   2.200E+13   3.798E+31   1.320E-02        150.         18.          4.
   1.186E+13   1.727E+31   7.116E-03        173.         26.          6.
   8.617E+12   1.216E+31   5.170E-03         76.         16.          4.
   4.541E+12   6.392E+30   2.725E-03         79.         22.          6.
   2.831E+12   4.254E+30   1.699E-03         72.         28.          8.
   1.961E+12   3.227E+30   1.177E-03         68.         34.         10.
   1.455E+12   2.637E+30   8.730E-04         67.         40.         12.
   1.131E+12   2.253E+30   6.786E-04         56.         46.         14.
   9.075E+11   1.980E+30   5.445E-04         56.         52.         16.
   6.110E+11   1.360E+30   3.666E-04         56.         56.         18.
   2.500E+11   4.750E+29   1.500E-04         56.         56.         20.
   7.850E+10   1.150E+29   4.710E-05         56.         56.         22.
   1.110E+10   9.570E+27   6.660E-06         56.         56.         24.
   1.490E+09   7.230E+26   8.940E-07         56.         56.         26.
   1.000E+09   4.220E+26   6.023E-07         56.         56.         26.
   5.878E+08   2.064E+26   3.540E-07         56.         56.         26.
   3.455E+08   1.007E+26   2.081E-07         56.         56.         26.
   2.031E+08   4.897E+25   1.223E-07         56.         56.         26.
   1.194E+08   2.370E+25   7.190E-08         56.         56.         26.
   7.017E+07   1.141E+25   4.226E-08         56.         56.         26.
   4.125E+07   5.446E+24   2.484E-08         56.         56.         26.
   2.424E+07   2.576E+24   1.460E-08         56.         56.         26.
   1.425E+07   1.205E+24   8.583E-09         56.         56.         26.
   8.377E+06   5.561E+23   5.045E-09         56.         56.         26.
   4.924E+06   2.529E+23   2.966E-09         56.         56.         26.
   2.894E+06   1.132E+23   1.743E-09         56.         56.         26.
   1.701E+06   4.983E+22   1.025E-09         56.         56.         26.
   1.000E+06   2.159E+22   6.023E-10         56.         56.         26.
   5.878E+05   9.218E+21   3.540E-10         56.         56.         26.
   3.455E+05   3.882E+21   2.081E-10         56.         56.         26.
   2.031E+05   1.615E+21   1.223E-10         56.         56.         26.
   1.194E+05   6.639E+20   7.190E-11         56.         56.         26.
   7.017E+04   2.700E+20   4.226E-11         56.         56.         26.
   4.125E+04   1.086E+20   2.484E-11         56.         56.         26.
   2.424E+04   4.319E+19   1.460E-11         56.         56.         26.
   1.425E+04   1.693E+19   8.583E-12         56.         56.         26.
   8.377E+03   6.528E+18   5.045E-12         56.         56.         26.
   4.924E+03   2.460E+18   2.966E-12         56.         56.         26.
   2.894E+03   8.985E+17   1.743E-12         56.         56.         26.
   1.701E+03   3.127E+17   1.025E-12         56.         56.         26.
   1.000E+03   1.003E+17   6.023E-13         56.         56.         26.


From file: Haensel_Zdunik_2008_Fe_2_EOS.dat  down to rho= 1.490E+09
           and
           Outer_Crust_Fe_EOS.dat at lower densities

NOTICE: rho, P, & n are the maximum value at which the A_cell, A_ion, & Z exist
        (i.e., inmediately above this rho the next A_ion & Z are present,
         and A_cell should be interpolated) 

