     6      50     itext   idata

   Haensel & Zdunik (2008) EOS: Fe compression, with pycnonuclear allowed

      rho          P           n         A_cell       A_ion          Z
    (g/cm3)   (dynes/cm2)   (#/fm3)

   3.493E+13   7.311E+31   2.096E-02       1127.        124.         26.
   2.784E+13   5.278E+31   1.670E-02       1050.        126.         28.
   2.287E+13   4.028E+31   1.372E-02        538.         70.         16.
   1.838E+13   2.998E+31   1.103E-02        507.         76.         18.
   1.506E+13   2.304E+31   9.036E-03        512.         82.         20.
   1.254E+13   1.816E+31   7.524E-03        489.         88.         22.
   1.057E+13   1.463E+31   6.342E-03        495.         94.         24.
   8.980E+12   1.228E+31   5.388E-03        270.         54.         14.
   7.041E+12   9.238E+30   4.225E-03        222.         60.         16.
   5.839E+12   7.233E+30   3.503E-03        220.         66.         18.
   4.379E+12   6.043E+30   2.627E-03        113.         44.         12.
   3.338E+12   4.699E+30   2.003E-03        111.         50.         14.
   2.634E+12   3.825E+30   1.580E-03        110.         55.         16.
   2.134E+12   3.216E+30   1.280E-03        113.         62.         18.
   1.766E+12   2.771E+30   1.060E-03        124.         68.         20.
   1.455E+12   2.637E+30   8.730E-04         66.         40.         12.
   1.131E+12   2.253E+30   6.786E-04         56.         46.         14.
   9.075E+11   1.980E+30   5.445E-04         56.         52.         16.
   6.110E+11   1.360E+30   3.666E-04         56.         56.         18.
   2.500E+11   4.750E+29   1.500E-04         56.         56.         20.
   7.850E+10   1.150E+29   4.710E-05         56.         56.         22.
   1.110E+10   9.570E+27   6.660E-06         56.         56.         24.
   1.490E+09   7.230E+26   8.940E-07         56.         56.         26.
   1.000E+09   4.220E+26   6.023E-07         56.         56.         26.
   5.878E+08   2.064E+26   3.540E-07         56.         56.         26.
   3.455E+08   1.007E+26   2.081E-07         56.         56.         26.
   2.031E+08   4.897E+25   1.223E-07         56.         56.         26.
   1.194E+08   2.370E+25   7.190E-08         56.         56.         26.
   7.017E+07   1.141E+25   4.226E-08         56.         56.         26.
   4.125E+07   5.446E+24   2.484E-08         56.         56.         26.
   2.424E+07   2.576E+24   1.460E-08         56.         56.         26.
   1.425E+07   1.205E+24   8.583E-09         56.         56.         26.
   8.377E+06   5.561E+23   5.045E-09         56.         56.         26.
   4.924E+06   2.529E+23   2.966E-09         56.         56.         26.
   2.894E+06   1.132E+23   1.743E-09         56.         56.         26.
   1.701E+06   4.983E+22   1.025E-09         56.         56.         26.
   1.000E+06   2.159E+22   6.023E-10         56.         56.         26.
   5.878E+05   9.218E+21   3.540E-10         56.         56.         26.
   3.455E+05   3.882E+21   2.081E-10         56.         56.         26.
   2.031E+05   1.615E+21   1.223E-10         56.         56.         26.
   1.194E+05   6.639E+20   7.190E-11         56.         56.         26.
   7.017E+04   2.700E+20   4.226E-11         56.         56.         26.
   4.125E+04   1.086E+20   2.484E-11         56.         56.         26.
   2.424E+04   4.319E+19   1.460E-11         56.         56.         26.
   1.425E+04   1.693E+19   8.583E-12         56.         56.         26.
   8.377E+03   6.528E+18   5.045E-12         56.         56.         26.
   4.924E+03   2.460E+18   2.966E-12         56.         56.         26.
   2.894E+03   8.985E+17   1.743E-12         56.         56.         26.
   1.701E+03   3.127E+17   1.025E-12         56.         56.         26.
   1.000E+03   1.003E+17   6.023E-13         56.         56.         26.


From file: Haensel_Zdunik_2008_Fe_1_EOS.dat  down to rho= 1.490E+09
           and
           Outer_Crust_Fe_EOS.dat at lower densities

NOTICE: rho, P, & n are the maximum value at which the A_cell, A_ion, & Z exist
        (i.e., inmediately above this rho the next A_ion & Z are present,
         and A_cell should be interpolated) 


