  4    11

      rho          P           n         A_cell       A_ion          Z
    (g/cm3)   (dynes/cm2)   (#/fm3)

   1.334E+14   6.348E+32   7.890E-02        982.        232.         32.
   8.011E+13   2.745E+32   4.750E-02       1500.        183.         40.
   3.432E+13   7.428E+31   2.040E-02       1800.        193.         50.
   1.496E+13   2.097E+31   8.910E-03       1350.        164.         50.
   9.685E+12   1.108E+31   5.770E-03       1100.        161.         50.
   6.257E+12   6.196E+30   3.730E-03        950.        159.         50.
   2.665E+12   2.635E+30   1.590E-03        500.        117.         40.
   1.472E+12   1.696E+30   8.790E-04        320.        115.         40.
   1.004E+12   1.261E+30   6.000E-04        250.        115.         40.
   6.692E+11   8.736E+29   4.000E-04        200.        115.         40.
   4.665E+11   5.915E+29   2.790E-04        180.        115.         40.


P and rho: calculated from the Equ. on page 317 and the fitting formula
           for E_T: program in file "Negele_Vautherin_1973_EOS_1.f"


From: Negele & Vautherin, 1973, Table 3

