     4      40     itext   idata

      rho          P           n         A_cell       A_ion          Z
    (g/cm3)   (dynes/cm2)   (#/fm3)

   1.000E+12   3.843E+30   6.023E-04        106.        106.         46.
   5.878E+11   1.892E+30   3.540E-04        106.        106.         46.
   3.455E+11   9.316E+29   2.081E-04        106.        106.         46.
   2.031E+11   4.587E+29   1.223E-04        106.        106.         46.
   1.194E+11   2.258E+29   7.190E-05        106.        106.         46.
   7.017E+10   1.111E+29   4.226E-05        106.        106.         46.
   4.125E+10   5.470E+28   2.484E-05        106.        106.         46.
   2.424E+10   2.692E+28   1.460E-05        106.        106.         46.
   1.425E+10   1.324E+28   8.583E-06        106.        106.         46.
   8.377E+09   6.511E+27   5.045E-06        106.        106.         46.
   4.924E+09   3.200E+27   2.966E-06        106.        106.         46.
   2.894E+09   1.572E+27   1.743E-06        106.        106.         46.
   1.701E+09   7.712E+26   1.025E-06        106.        106.         46.
   1.000E+09   3.778E+26   6.023E-07        106.        106.         46.
   5.878E+08   1.847E+26   3.540E-07        106.        106.         46.
   3.455E+08   9.008E+25   2.081E-07        106.        106.         46.
   2.031E+08   4.377E+25   1.223E-07        106.        106.         46.
   1.194E+08   2.116E+25   7.190E-08        106.        106.         46.
   7.017E+07   1.017E+25   4.226E-08        106.        106.         46.
   4.125E+07   4.847E+24   2.484E-08        106.        106.         46.
   2.424E+07   2.288E+24   1.460E-08        106.        106.         46.
   1.425E+07   1.067E+24   8.583E-09        106.        106.         46.
   8.377E+06   4.907E+23   5.045E-09        106.        106.         46.
   4.924E+06   2.222E+23   2.966E-09        106.        106.         46.
   2.894E+06   9.894E+22   1.743E-09        106.        106.         46.
   1.701E+06   4.331E+22   1.025E-09        106.        106.         46.
   1.000E+06   1.864E+22   6.023E-10        106.        106.         46.
   5.878E+05   7.894E+21   3.540E-10        106.        106.         46.
   3.455E+05   3.292E+21   2.081E-10        106.        106.         46.
   2.031E+05   1.353E+21   1.223E-10        106.        106.         46.
   1.194E+05   5.482E+20   7.190E-11        106.        106.         46.
   7.017E+04   2.188E+20   4.226E-11        106.        106.         46.
   4.125E+04   8.593E+19   2.484E-11        106.        106.         46.
   2.424E+04   3.308E+19   1.460E-11        106.        106.         46.
   1.425E+04   1.241E+19   8.583E-12        106.        106.         46.
   8.377E+03   4.492E+18   5.045E-12        106.        106.         46.
   4.924E+03   1.538E+18   2.966E-12        106.        106.         46.
   2.894E+03   4.772E+17   1.743E-12        106.        106.         46.
   1.701E+03   1.190E+17   1.025E-12        106.        106.         46.
   1.000E+03   1.063E+16   6.023E-13        106.        106.         46.


Produced by Make_Outer_Crust_EOS.f with A=106, Z=46
