         5       363       111       267

EOS                                                                            

  i            rad           emas         rho         pres          nb           kf(e)      kf(mu)       kf(p)       kf(n)      kf(la)      kf(S-)      kf(S0)      kf(S+)         Tc(n)       Tc(p)      Tc(la)    Durca  nSF   Acel   Aion   Zion

    0   0.000000E+00   0.000000E+00   7.776E+14   6.946E+34   4.387E-01      9.206E-01   7.476E-01   1.062E+00   2.276E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
    1   2.108683E+03   1.525350E-02   7.579E+14   6.416E+34   4.285E-01      9.093E-01   7.336E-01   1.047E+00   2.260E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
    2   2.656774E+03   3.040944E-02   7.462E+14   6.112E+34   4.225E-01      9.024E-01   7.251E-01   1.037E+00   2.250E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
    3   3.041247E+03   4.518276E-02   7.363E+14   5.864E+34   4.173E-01      8.966E-01   7.178E-01   1.029E+00   2.242E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
    4   3.347326E+03   5.906988E-02   7.276E+14   5.651E+34   4.128E-01      8.914E-01   7.114E-01   1.022E+00   2.234E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
    5   3.605797E+03   7.428343E-02   7.192E+14   5.451E+34   4.084E-01      8.863E-01   7.050E-01   1.015E+00   2.227E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
    6   3.831731E+03   8.759548E-02   7.117E+14   5.275E+34   4.045E-01      8.818E-01   6.993E-01   1.009E+00   2.220E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
    7   4.033766E+03   1.025598E-01   7.041E+14   5.103E+34   4.004E-01      8.771E-01   6.934E-01   1.003E+00   2.214E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
    8   4.217366E+03   1.163942E-01   6.971E+14   4.946E+34   3.967E-01      8.728E-01   6.879E-01   9.968E-01   2.207E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
    9   4.386238E+03   1.291188E-01   6.906E+14   4.802E+34   3.933E-01      8.688E-01   6.828E-01   9.913E-01   2.202E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   10   4.543020E+03   1.436879E-01   6.837E+14   4.657E+34   3.896E-01      8.645E-01   6.773E-01   9.854E-01   2.195E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   11   4.689669E+03   1.575444E-01   6.772E+14   4.522E+34   3.862E-01      8.604E-01   6.721E-01   9.798E-01   2.189E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   12   4.827679E+03   1.705845E-01   6.710E+14   4.394E+34   3.829E-01      8.565E-01   6.671E-01   9.744E-01   2.184E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   13   4.958220E+03   1.829189E-01   6.652E+14   4.273E+34   3.798E-01      8.528E-01   6.623E-01   9.693E-01   2.178E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
   14   5.082227E+03   1.964160E-01   6.591E+14   4.153E+34   3.765E-01      8.489E-01   6.573E-01   9.639E-01   2.172E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+00   1.000E+00   1.000E+00   00000  no    N/A    N/A    N/A 
