 5 1000    <---- Wrong number !

       EOS file : /Users/dany/Work/NStar/eos/quark/strange_eos_00_155_150.dat 

    rhoc        rad    grav. mass   b. mass  red shift  % binding 

  3.508E-01  7.866E-01  5.942E-04  6.020E-04  9.989E-01  1.310E-02
  3.520E-01  1.329E+00  2.871E-03  2.912E-03  9.968E-01  1.437E-02
  3.532E-01  1.703E+00  6.050E-03  6.145E-03  9.947E-01  1.563E-02
  3.544E-01  2.005E+00  9.883E-03  1.005E-02  9.927E-01  1.689E-02
  3.556E-01  2.265E+00  1.426E-02  1.451E-02  9.906E-01  1.814E-02
  3.568E-01  2.495E+00  1.909E-02  1.946E-02  9.886E-01  1.939E-02
  3.580E-01  2.703E+00  2.432E-02  2.482E-02  9.866E-01  2.063E-02
  3.593E-01  2.894E+00  2.987E-02  3.053E-02  9.846E-01  2.187E-02
  3.605E-01  3.071E+00  3.573E-02  3.656E-02  9.826E-01  2.309E-02
  3.617E-01  3.237E+00  4.192E-02  4.294E-02  9.806E-01  2.432E-02
  3.629E-01  3.392E+00  4.829E-02  4.952E-02  9.786E-01  2.553E-02
  3.642E-01  3.539E+00  5.493E-02  5.640E-02  9.767E-01  2.674E-02
  3.654E-01  3.679E+00  6.180E-02  6.353E-02  9.748E-01  2.795E-02
  3.667E-01  3.812E+00  6.884E-02  7.085E-02  9.728E-01  2.915E-02
  3.679E-01  3.939E+00  7.604E-02  7.835E-02  9.709E-01  3.034E-02
  3.692E-01  4.060E+00  8.341E-02  8.604E-02  9.690E-01  3.152E-02
  3.704E-01  4.177E+00  9.094E-02  9.391E-02  9.672E-01  3.270E-02
  3.717E-01  4.289E+00  9.862E-02  1.020E-01  9.653E-01  3.388E-02
  3.729E-01  4.397E+00  1.064E-01  1.101E-01  9.634E-01  3.505E-02
  3.742E-01  4.501E+00  1.143E-01  1.184E-01  9.616E-01  3.620E-02
  3.755E-01  4.602E+00  1.223E-01  1.268E-01  9.598E-01  3.736E-02
  3.768E-01  4.699E+00  1.304E-01  1.354E-01  9.579E-01  3.851E-02
  3.781E-01  4.794E+00  1.386E-01  1.441E-01  9.561E-01  3.966E-02
  3.793E-01  4.885E+00  1.469E-01  1.529E-01  9.543E-01  4.080E-02
  3.806E-01  4.973E+00  1.552E-01  1.617E-01  9.526E-01  4.193E-02
  3.819E-01  5.060E+00  1.637E-01  1.707E-01  9.508E-01  4.306E-02
  3.832E-01  5.143E+00  1.722E-01  1.798E-01  9.490E-01  4.418E-02
  3.845E-01  5.225E+00  1.807E-01  1.889E-01  9.473E-01  4.529E-02
  3.859E-01  5.304E+00  1.894E-01  1.981E-01  9.455E-01  4.641E-02
  3.872E-01  5.381E+00  1.980E-01  2.074E-01  9.438E-01  4.751E-02
  3.885E-01  5.456E+00  2.067E-01  2.167E-01  9.421E-01  4.861E-02
  3.898E-01  5.530E+00  2.154E-01  2.261E-01  9.404E-01  4.971E-02
  3.911E-01  5.601E+00  2.242E-01  2.356E-01  9.387E-01  5.079E-02
  3.925E-01  5.671E+00  2.330E-01  2.451E-01  9.370E-01  5.189E-02
  3.938E-01  5.739E+00  2.418E-01  2.546E-01  9.354E-01  5.296E-02
  3.951E-01  5.806E+00  2.508E-01  2.643E-01  9.337E-01  5.404E-02
  3.965E-01  5.870E+00  2.595E-01  2.738E-01  9.321E-01  5.510E-02
  3.978E-01  5.935E+00  2.685E-01  2.836E-01  9.304E-01  5.617E-02
  3.992E-01  5.996E+00  2.774E-01  2.932E-01  9.288E-01  5.722E-02
  4.006E-01  6.058E+00  2.864E-01  3.030E-01  9.272E-01  5.828E-02
  4.019E-01  6.117E+00  2.952E-01  3.127E-01  9.256E-01  5.931E-02
  4.033E-01  6.175E+00  3.042E-01  3.226E-01  9.240E-01  6.036E-02
  4.047E-01  6.232E+00  3.131E-01  3.324E-01  9.224E-01  6.139E-02
  4.060E-01  6.288E+00  3.221E-01  3.422E-01  9.209E-01  6.242E-02
  4.074E-01  6.343E+00  3.311E-01  3.521E-01  9.193E-01  6.345E-02
  4.088E-01  6.396E+00  3.399E-01  3.619E-01  9.177E-01  6.447E-02
  4.102E-01  6.449E+00  3.490E-01  3.719E-01  9.162E-01  6.549E-02
  4.116E-01  6.500E+00  3.578E-01  3.816E-01  9.147E-01  6.649E-02
  4.130E-01  6.551E+00  3.668E-01  3.915E-01  9.131E-01  6.750E-02
  4.144E-01  6.601E+00  3.757E-01  4.015E-01  9.116E-01  6.850E-02
  4.158E-01  6.649E+00  3.846E-01  4.113E-01  9.101E-01  6.949E-02
  4.172E-01  6.697E+00  3.936E-01  4.213E-01  9.086E-01  7.049E-02
  4.187E-01  6.743E+00  4.023E-01  4.311E-01  9.071E-01  7.147E-02
  4.201E-01  6.789E+00  4.112E-01  4.410E-01  9.057E-01  7.245E-02
  4.215E-01  6.835E+00  4.201E-01  4.510E-01  9.042E-01  7.343E-02
  4.230E-01  6.879E+00  4.289E-01  4.608E-01  9.027E-01  7.439E-02
  4.244E-01  6.922E+00  4.377E-01  4.707E-01  9.013E-01  7.536E-02
  4.258E-01  6.965E+00  4.465E-01  4.806E-01  8.998E-01  7.633E-02
  4.273E-01  7.007E+00  4.552E-01  4.904E-01  8.984E-01  7.727E-02
  4.288E-01  7.048E+00  4.640E-01  5.003E-01  8.970E-01  7.823E-02
  4.302E-01  7.089E+00  4.727E-01  5.102E-01  8.956E-01  7.918E-02
  4.317E-01  7.128E+00  4.813E-01  5.199E-01  8.942E-01  8.011E-02
  4.332E-01  7.168E+00  4.900E-01  5.298E-01  8.928E-01  8.105E-02
  4.346E-01  7.206E+00  4.987E-01  5.396E-01  8.914E-01  8.199E-02
  4.361E-01  7.244E+00  5.072E-01  5.493E-01  8.900E-01  8.291E-02
  4.376E-01  7.281E+00  5.158E-01  5.591E-01  8.887E-01  8.383E-02
  4.391E-01  7.318E+00  5.245E-01  5.689E-01  8.873E-01  8.476E-02
  4.406E-01  7.353E+00  5.329E-01  5.785E-01  8.860E-01  8.566E-02
  4.421E-01  7.389E+00  5.414E-01  5.882E-01  8.846E-01  8.657E-02
  4.436E-01  7.424E+00  5.499E-01  5.980E-01  8.833E-01  8.748E-02
  4.451E-01  7.457E+00  5.583E-01  6.076E-01  8.819E-01  8.837E-02
  4.466E-01  7.491E+00  5.666E-01  6.172E-01  8.806E-01  8.926E-02
  4.481E-01  7.524E+00  5.750E-01  6.269E-01  8.793E-01  9.016E-02
  4.497E-01  7.557E+00  5.834E-01  6.365E-01  8.780E-01  9.105E-02
  4.512E-01  7.588E+00  5.916E-01  6.459E-01  8.767E-01  9.192E-02
  4.527E-01  7.620E+00  5.998E-01  6.555E-01  8.754E-01  9.280E-02
  4.543E-01  7.651E+00  6.082E-01  6.651E-01  8.741E-01  9.368E-02
  4.558E-01  7.682E+00  6.162E-01  6.745E-01  8.729E-01  9.454E-02
  4.574E-01  7.711E+00  6.243E-01  6.839E-01  8.716E-01  9.539E-02
  4.589E-01  7.741E+00  6.325E-01  6.934E-01  8.703E-01  9.626E-02
  4.605E-01  7.770E+00  6.406E-01  7.028E-01  8.691E-01  9.712E-02
  4.621E-01  7.799E+00  6.485E-01  7.121E-01  8.679E-01  9.796E-02
  4.636E-01  7.827E+00  6.565E-01  7.214E-01  8.666E-01  9.880E-02
  4.652E-01  7.855E+00  6.645E-01  7.308E-01  8.654E-01  9.965E-02
  4.668E-01  7.882E+00  6.725E-01  7.400E-01  8.642E-01  1.005E-01
  4.684E-01  7.909E+00  6.803E-01  7.492E-01  8.630E-01  1.013E-01
  4.700E-01  7.935E+00  6.881E-01  7.584E-01  8.618E-01  1.021E-01
  4.716E-01  7.961E+00  6.960E-01  7.676E-01  8.605E-01  1.030E-01
  4.732E-01  7.987E+00  7.037E-01  7.767E-01  8.594E-01  1.038E-01
  4.748E-01  8.012E+00  7.114E-01  7.858E-01  8.582E-01  1.046E-01
  4.764E-01  8.037E+00  7.190E-01  7.948E-01  8.570E-01  1.054E-01
  4.781E-01  8.061E+00  7.267E-01  8.039E-01  8.558E-01  1.062E-01
  4.797E-01  8.086E+00  7.343E-01  8.129E-01  8.547E-01  1.070E-01
  4.813E-01  8.109E+00  7.418E-01  8.218E-01  8.535E-01  1.078E-01
  4.830E-01  8.132E+00  7.493E-01  8.307E-01  8.524E-01  1.086E-01
  4.846E-01  8.156E+00  7.568E-01  8.396E-01  8.512E-01  1.094E-01
  4.863E-01  8.179E+00  7.643E-01  8.486E-01  8.501E-01  1.102E-01
  4.879E-01  8.201E+00  7.716E-01  8.573E-01  8.490E-01  1.110E-01
  4.896E-01  8.222E+00  7.790E-01  8.660E-01  8.478E-01  1.117E-01
  4.912E-01  8.244E+00  7.863E-01  8.747E-01  8.467E-01  1.125E-01
  4.929E-01  8.266E+00  7.936E-01  8.835E-01  8.456E-01  1.133E-01
  4.946E-01  8.287E+00  8.008E-01  8.922E-01  8.445E-01  1.140E-01
  4.963E-01  8.307E+00  8.080E-01  9.007E-01  8.434E-01  1.148E-01
  4.980E-01  8.328E+00  8.151E-01  9.093E-01  8.423E-01  1.156E-01
  4.997E-01  8.348E+00  8.222E-01  9.179E-01  8.412E-01  1.163E-01
  5.014E-01  8.368E+00  8.294E-01  9.265E-01  8.401E-01  1.171E-01
  5.031E-01  8.387E+00  8.363E-01  9.348E-01  8.391E-01  1.178E-01
  5.048E-01  8.406E+00  8.432E-01  9.432E-01  8.380E-01  1.185E-01
  5.065E-01  8.425E+00  8.502E-01  9.516E-01  8.370E-01  1.193E-01
  5.082E-01  8.444E+00  8.571E-01  9.600E-01  8.359E-01  1.200E-01
  5.100E-01  8.462E+00  8.640E-01  9.684E-01  8.348E-01  1.208E-01
  5.117E-01  8.480E+00  8.708E-01  9.765E-01  8.338E-01  1.215E-01
  5.134E-01  8.498E+00  8.775E-01  9.847E-01  8.328E-01  1.222E-01
  5.152E-01  8.515E+00  8.842E-01  9.929E-01  8.317E-01  1.229E-01
  5.170E-01  8.533E+00  8.910E-01  1.001E+00  8.307E-01  1.236E-01
  5.187E-01  8.550E+00  8.976E-01  1.009E+00  8.297E-01  1.243E-01
  5.205E-01  8.567E+00  9.042E-01  1.017E+00  8.287E-01  1.250E-01
  5.223E-01  8.583E+00  9.107E-01  1.025E+00  8.277E-01  1.257E-01
  5.240E-01  8.599E+00  9.172E-01  1.033E+00  8.267E-01  1.264E-01
  5.258E-01  8.615E+00  9.238E-01  1.041E+00  8.257E-01  1.271E-01
  5.276E-01  8.631E+00  9.303E-01  1.049E+00  8.247E-01  1.278E-01
  5.294E-01  8.647E+00  9.366E-01  1.057E+00  8.237E-01  1.285E-01
  5.312E-01  8.662E+00  9.429E-01  1.065E+00  8.227E-01  1.292E-01
  5.330E-01  8.677E+00  9.492E-01  1.073E+00  8.218E-01  1.299E-01
  5.348E-01  8.692E+00  9.555E-01  1.080E+00  8.208E-01  1.305E-01
  5.367E-01  8.707E+00  9.619E-01  1.088E+00  8.198E-01  1.312E-01
  5.385E-01  8.721E+00  9.680E-01  1.096E+00  8.189E-01  1.319E-01
  5.403E-01  8.735E+00  9.741E-01  1.103E+00  8.179E-01  1.325E-01
  5.422E-01  8.749E+00  9.802E-01  1.111E+00  8.170E-01  1.332E-01
  5.440E-01  8.763E+00  9.863E-01  1.118E+00  8.161E-01  1.339E-01
  5.459E-01  8.776E+00  9.924E-01  1.126E+00  8.151E-01  1.345E-01
  5.477E-01  8.790E+00  9.984E-01  1.133E+00  8.142E-01  1.352E-01
  5.496E-01  8.803E+00  1.004E+00  1.141E+00  8.133E-01  1.358E-01
  5.515E-01  8.816E+00  1.010E+00  1.148E+00  8.123E-01  1.365E-01
  5.533E-01  8.829E+00  1.016E+00  1.155E+00  8.114E-01  1.371E-01
  5.552E-01  8.841E+00  1.022E+00  1.163E+00  8.105E-01  1.377E-01
  5.571E-01  8.854E+00  1.028E+00  1.170E+00  8.096E-01  1.384E-01
  5.590E-01  8.866E+00  1.033E+00  1.177E+00  8.087E-01  1.390E-01
  5.609E-01  8.878E+00  1.039E+00  1.184E+00  8.078E-01  1.396E-01
  5.628E-01  8.889E+00  1.045E+00  1.191E+00  8.069E-01  1.402E-01
  5.648E-01  8.901E+00  1.050E+00  1.198E+00  8.061E-01  1.409E-01
  5.667E-01  8.912E+00  1.056E+00  1.206E+00  8.052E-01  1.415E-01
  5.686E-01  8.924E+00  1.062E+00  1.213E+00  8.043E-01  1.421E-01
  5.705E-01  8.935E+00  1.067E+00  1.219E+00  8.034E-01  1.427E-01
  5.725E-01  8.946E+00  1.073E+00  1.226E+00  8.026E-01  1.433E-01
  5.744E-01  8.956E+00  1.078E+00  1.233E+00  8.017E-01  1.439E-01
  5.764E-01  8.967E+00  1.083E+00  1.240E+00  8.009E-01  1.445E-01
  5.784E-01  8.977E+00  1.089E+00  1.247E+00  8.000E-01  1.451E-01
  5.803E-01  8.988E+00  1.094E+00  1.254E+00  7.991E-01  1.457E-01
  5.823E-01  8.998E+00  1.100E+00  1.260E+00  7.983E-01  1.463E-01
  5.843E-01  9.008E+00  1.105E+00  1.267E+00  7.975E-01  1.468E-01
  5.863E-01  9.017E+00  1.110E+00  1.274E+00  7.967E-01  1.474E-01
  5.883E-01  9.027E+00  1.115E+00  1.280E+00  7.958E-01  1.480E-01
  5.903E-01  9.036E+00  1.120E+00  1.287E+00  7.950E-01  1.486E-01
  5.923E-01  9.046E+00  1.125E+00  1.293E+00  7.942E-01  1.492E-01
