 5 1000

       EOS file : /Users/dany/Work/NStar/eos/quark/strange_eos_06_135_200.dat 

    rhoc        rad    grav. mass   b. mass  red shift  % binding 

  2.172E-01  7.929E-01  3.757E-04  3.817E-04  9.993E-01  1.584E-02
  2.179E-01  1.535E+00  2.730E-03  2.776E-03  9.974E-01  1.702E-02
  2.186E-01  2.017E+00  6.202E-03  6.315E-03  9.954E-01  1.820E-02
  2.194E-01  2.400E+00  1.046E-02  1.066E-02  9.935E-01  1.938E-02
  2.201E-01  2.726E+00  1.535E-02  1.567E-02  9.916E-01  2.055E-02
  2.209E-01  3.013E+00  2.076E-02  2.121E-02  9.897E-01  2.171E-02
  2.216E-01  3.273E+00  2.665E-02  2.726E-02  9.878E-01  2.286E-02
  2.224E-01  3.512E+00  3.295E-02  3.375E-02  9.860E-01  2.402E-02
  2.232E-01  3.733E+00  3.963E-02  4.063E-02  9.841E-01  2.517E-02
  2.239E-01  3.939E+00  4.663E-02  4.786E-02  9.823E-01  2.631E-02
  2.247E-01  4.133E+00  5.394E-02  5.542E-02  9.804E-01  2.745E-02
  2.254E-01  4.315E+00  6.149E-02  6.325E-02  9.786E-01  2.858E-02
  2.262E-01  4.489E+00  6.933E-02  7.139E-02  9.768E-01  2.970E-02
  2.270E-01  4.655E+00  7.741E-02  7.979E-02  9.750E-01  3.083E-02
  2.278E-01  4.814E+00  8.570E-02  8.843E-02  9.732E-01  3.195E-02
  2.285E-01  4.965E+00  9.417E-02  9.728E-02  9.714E-01  3.306E-02
  2.293E-01  5.110E+00  1.028E-01  1.063E-01  9.697E-01  3.417E-02
  2.301E-01  5.250E+00  1.116E-01  1.156E-01  9.679E-01  3.526E-02
  2.309E-01  5.384E+00  1.206E-01  1.250E-01  9.662E-01  3.636E-02
  2.317E-01  5.514E+00  1.297E-01  1.345E-01  9.645E-01  3.745E-02
  2.324E-01  5.639E+00  1.389E-01  1.443E-01  9.627E-01  3.853E-02
  2.332E-01  5.761E+00  1.483E-01  1.542E-01  9.610E-01  3.962E-02
  2.340E-01  5.879E+00  1.579E-01  1.643E-01  9.593E-01  4.070E-02
  2.348E-01  5.992E+00  1.674E-01  1.744E-01  9.576E-01  4.177E-02
  2.356E-01  6.103E+00  1.771E-01  1.847E-01  9.560E-01  4.283E-02
  2.364E-01  6.212E+00  1.870E-01  1.952E-01  9.543E-01  4.390E-02
  2.372E-01  6.315E+00  1.968E-01  2.056E-01  9.526E-01  4.495E-02
  2.380E-01  6.417E+00  2.067E-01  2.162E-01  9.510E-01  4.601E-02
  2.389E-01  6.517E+00  2.168E-01  2.270E-01  9.493E-01  4.706E-02
  2.397E-01  6.613E+00  2.268E-01  2.377E-01  9.477E-01  4.810E-02
  2.405E-01  6.707E+00  2.370E-01  2.487E-01  9.461E-01  4.914E-02
  2.413E-01  6.799E+00  2.472E-01  2.596E-01  9.445E-01  5.017E-02
  2.421E-01  6.888E+00  2.575E-01  2.707E-01  9.429E-01  5.120E-02
  2.430E-01  6.976E+00  2.678E-01  2.818E-01  9.413E-01  5.223E-02
  2.438E-01  7.061E+00  2.781E-01  2.929E-01  9.397E-01  5.324E-02
  2.446E-01  7.145E+00  2.886E-01  3.042E-01  9.382E-01  5.426E-02
  2.454E-01  7.226E+00  2.989E-01  3.154E-01  9.366E-01  5.527E-02
  2.463E-01  7.307E+00  3.094E-01  3.269E-01  9.350E-01  5.628E-02
  2.471E-01  7.384E+00  3.199E-01  3.382E-01  9.335E-01  5.728E-02
  2.480E-01  7.461E+00  3.304E-01  3.497E-01  9.320E-01  5.828E-02
  2.488E-01  7.536E+00  3.409E-01  3.611E-01  9.304E-01  5.926E-02
