       6     120      51      67

     EOS file :  /Users/dany/Work/NStar/eos/v14/APR_EOS_Acc_Fe.dat           

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   5.447015E-01   9.924647E+14    1.45497E+35   0.000000000E+00  -4.708889E-01   0.000000000E+00
     1      10.000000   5.447012E-01   9.924640E+14    1.45496E+35   2.090107156E-09  -4.708886E-01   1.921140364E-09
     2      11.666665   5.447011E-01   9.924638E+14    1.45496E+35   3.319011057E-09  -4.708885E-01   3.050698418E-09
     3      13.611106   5.447010E-01   9.924635E+14    1.45496E+35   5.270463024E-09  -4.708884E-01   4.844393310E-09
     4      15.879620   5.447008E-01   9.924632E+14    1.45496E+35   8.369292336E-09  -4.708883E-01   7.692711211E-09
     5      18.526217   5.447006E-01   9.924626E+14    1.45496E+35   1.329010957E-08  -4.708880E-01   1.221572772E-08
     6      21.613911   5.447002E-01   9.924620E+14    1.45496E+35   2.110416578E-08  -4.708878E-01   1.939809568E-08
     7      25.216214   5.446998E-01   9.924610E+14    1.45495E+35   3.351255587E-08  -4.708874E-01   3.080339812E-08
     8      29.418893   5.446992E-01   9.924597E+14    1.45495E+35   5.321652952E-08  -4.708868E-01   4.891452711E-08
     9      34.322005   5.446984E-01   9.924580E+14    1.45494E+35   8.450551484E-08  -4.708861E-01   7.767418030E-08
    10      40.042280   5.446973E-01   9.924556E+14    1.45493E+35   1.341908431E-07  -4.708851E-01   1.233431227E-07
    11      46.715900   5.446957E-01   9.924524E+14    1.45491E+35   2.130883930E-07  -4.708838E-01   1.958630163E-07
    12      54.501734   5.446937E-01   9.924480E+14    1.45490E+35   3.383728108E-07  -4.708820E-01   3.110204184E-07
    13      63.585121   5.446909E-01   9.924421E+14    1.45487E+35   5.373155694E-07  -4.708795E-01   4.938828594E-07
    14      74.182266   5.446870E-01   9.924339E+14    1.45483E+35   8.532201021E-07  -4.708761E-01   7.842546218E-07
    15      86.545382   5.446818E-01   9.924229E+14    1.45479E+35   1.354844916E-06  -4.708715E-01   1.245339051E-06
    16     100.968668   5.446747E-01   9.924078E+14    1.45472E+35   2.151363569E-06  -4.708653E-01   1.977491249E-06
    17     117.795279   5.446650E-01   9.923873E+14    1.45463E+35   3.416112814E-06  -4.708568E-01   3.140050940E-06
    18     137.425443   5.446519E-01   9.923594E+14    1.45451E+35   5.424287052E-06  -4.708452E-01   4.985999475E-06
    19     160.325901   5.446339E-01   9.923215E+14    1.45435E+35   8.612759595E-06  -4.708295E-01   7.916966303E-06
    20     187.040878   5.446096E-01   9.922698E+14    1.45413E+35   1.367499854E-05  -4.708081E-01   1.257051760E-05
    21     218.204821   5.445764E-01   9.921995E+14    1.45383E+35   2.171162102E-05  -4.707789E-01   1.995863861E-05
    22     254.557149   5.445312E-01   9.921038E+14    1.45341E+35   3.446910366E-05  -4.707392E-01   3.168736044E-05
    23     296.959299   5.444697E-01   9.919736E+14    1.45285E+35   5.471805955E-05  -4.706853E-01   5.030491861E-05
    24     346.414349   5.443861E-01   9.917964E+14    1.45209E+35   8.685223155E-05  -4.706118E-01   7.985331973E-05
    25     404.089486   5.442723E-01   9.915554E+14    1.45105E+35   1.378360116E-04  -4.705119E-01   1.267414115E-04
    26     471.341568   5.441176E-01   9.912275E+14    1.44964E+35   2.187011795E-04  -4.703760E-01   2.011252541E-04
    27     549.745881   5.439071E-01   9.907815E+14    1.44773E+35   3.469066871E-04  -4.701912E-01   3.190871015E-04
    28     641.128053   5.436208E-01   9.901752E+14    1.44513E+35   5.500494017E-04  -4.699401E-01   5.060675744E-04
    29     747.598657   5.432318E-01   9.893512E+14    1.44160E+35   8.716782916E-04  -4.695990E-01   8.022557210E-04
    30     871.589492   5.427032E-01   9.882319E+14    1.43681E+35   1.380359485E-03  -4.691359E-01   1.271019360E-03
    31    1015.889477   5.419856E-01   9.867125E+14    1.43033E+35   2.183713732E-03  -4.685079E-01   2.012016616E-03
    32    1183.676525   5.410123E-01   9.846523E+14    1.42157E+35   3.449948711E-03  -4.676574E-01   3.181429750E-03
    33    1378.539230   5.396938E-01   9.818668E+14    1.40977E+35   5.440454208E-03  -4.665075E-01   5.022852799E-03
    34    1604.477485   5.379107E-01   9.781217E+14    1.39391E+35   8.558253674E-03  -4.649566E-01   7.913712448E-03
    35    1865.865710   5.355048E-01   9.730716E+14    1.37272E+35   1.341793951E-02  -4.628718E-01   1.243348582E-02
    36    2167.365657   5.322685E-01   9.662839E+14    1.34458E+35   2.094293238E-02  -4.600815E-01   1.946099701E-02
    37    2513.737812   5.279357E-01   9.572293E+14    1.30753E+35   3.249227299E-02  -4.563692E-01   3.030629235E-02
    38    2909.508229   5.221672E-01   9.452250E+14    1.25929E+35   5.000950768E-02  -4.514696E-01   4.687563413E-02
    39    3358.457033   5.145395E-01   9.294480E+14    1.19746E+35   7.616201126E-02  -4.450717E-01   7.185029897E-02
    40    3862.840247   5.045440E-01   9.089202E+14    1.11978E+35   1.144004509E-01  -4.368355E-01   1.088207653E-01
    41    4422.350280   4.916241E-01   8.826232E+14    1.02473E+35   1.688059096E-01  -4.264295E-01   1.622561612E-01
    42    5032.793952   4.751838E-01   8.495612E+14    9.12299E+34   2.435363026E-01  -4.135994E-01   2.371050611E-01
    43    5684.732725   4.546922E-01   8.089285E+14    7.84872E+34   3.416972814E-01  -3.982691E-01   3.377730624E-01
    44    6362.479995   4.297763E-01   7.603085E+14    6.47895E+34   4.636737808E-01  -3.806601E-01   4.663466542E-01
    45    7044.152920   4.003507E-01   7.039567E+14    5.09704E+34   6.054238701E-01  -3.613859E-01   6.203659186E-01
    46    7703.438944   3.667157E-01   6.408042E+14    3.80152E+34   7.577705040E-01  -3.414534E-01   7.912012437E-01
    47    8313.554692   3.296052E-01   5.724606E+14    2.68148E+34   9.078261187E-01  -3.221052E-01   9.646701004E-01
    48    8852.489733   2.834832E-01   4.888830E+14    1.81174E+34   1.039519358E+00  -3.045484E-01   1.121212656E+00
    49    9323.417526   2.452197E-01   4.207605E+14    1.15485E+34   1.151394001E+00  -2.890895E-01   1.257122162E+00
    50    9705.371938   2.016368E-01   3.442968E+14    7.09290E+33   1.235715031E+00  -2.766136E-01   1.361241167E+00
    51   10014.822701   1.565144E-01   2.658718E+14    4.39784E+33   1.291699714E+00  -2.666776E-01   1.431232609E+00
    52   10279.730168   1.297811E-01   2.198949E+14    2.55078E+33   1.333621776E+00  -2.583813E-01   1.483960900E+00
    53   10476.708101   1.064580E-01   1.799994E+14    1.45238E+33   1.360482791E+00  -2.523632E-01   1.517859328E+00
    54   10620.013668   8.391116E-02   1.415992E+14    8.21450E+32   1.376825252E+00  -2.480787E-01   1.538520779E+00
    55   10726.529791   6.135982E-02   1.032521E+14    4.75901E+32   1.386177864E+00  -2.449528E-01   1.550364871E+00
    56   10813.285782   4.475711E-02   7.510020E+13    2.74509E+32   1.391828035E+00  -2.424486E-01   1.557532380E+00
    57   10883.520490   3.259024E-02   5.452854E+13    1.57865E+32   1.395201602E+00  -2.404511E-01   1.561818750E+00
    58   10940.096642   2.370204E-02   3.954346E+13    9.05929E+31   1.397197035E+00  -2.388624E-01   1.564358298E+00
    59   10985.484999   1.657794E-02   2.763642E+13    5.22503E+31   1.398358104E+00  -2.376014E-01   1.565837887E+00
    60   11023.354657   1.120856E-02   1.867799E+13    3.06386E+31   1.399023759E+00  -2.365588E-01   1.566685403E+00
    61   11056.511196   7.481143E-03   1.246857E+13    1.80293E+31   1.399417865E+00  -2.356531E-01   1.567186827E+00
    62   11085.971673   4.795788E-03   7.992618E+12    1.07152E+31   1.399649440E+00  -2.348541E-01   1.567481222E+00
    63   11113.477433   2.890074E-03   4.817463E+12    6.41420E+30   1.399787223E+00  -2.341129E-01   1.567656253E+00
    64   11140.970406   1.657957E-03   2.763763E+12    3.98819E+30   1.399865808E+00  -2.333768E-01   1.567756008E+00
    65   11170.954901   8.081090E-04   1.346848E+12    2.51277E+30   1.399914151E+00  -2.325792E-01   1.567817319E+00
    66   11209.973739   4.417063E-04   7.361771E+11    1.62327E+30   1.399943688E+00  -2.315496E-01   1.567854754E+00
    67   11256.490045   2.784357E-04   4.640595E+11    9.83808E+29   1.399965298E+00  -2.303341E-01   1.567882110E+00
    68   11301.698961   1.795199E-04   2.991999E+11    5.86860E+29   1.399978968E+00  -2.291652E-01   1.567899395E+00
    69   11343.969014   1.167556E-04   1.945927E+11    3.49506E+29   1.399987290E+00  -2.280831E-01   1.567909906E+00
    70   11383.057472   7.625473E-05   1.270912E+11    2.07450E+29   1.399992354E+00  -2.270917E-01   1.567916295E+00
    71   11418.903910   4.979423E-05   8.299039E+10    1.23106E+29   1.399995407E+00  -2.261902E-01   1.567920144E+00
    72   11451.750052   3.286853E-05   5.478088E+10    7.27970E+28   1.399997254E+00  -2.253705E-01   1.567922470E+00
    73   11481.398314   2.172059E-05   3.620098E+10    4.29979E+28   1.399998362E+00  -2.246357E-01   1.567923864E+00
    74   11508.078776   1.435146E-05   2.391910E+10    2.53919E+28   1.399999024E+00  -2.239787E-01   1.567924697E+00
    75   11532.070693   9.481140E-06   1.580190E+10    1.49923E+28   1.399999419E+00  -2.233912E-01   1.567925193E+00
    76   11553.630574   6.267004E-06   1.044501E+10    8.84987E+27   1.399999655E+00  -2.228659E-01   1.567925489E+00
