       6     582     334     414

     EOS file :  /Users/dany/Work/NStar/eos/v14/APR_EOS_Acc_Pd.dat           

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   1.138373E+00   2.744695E+15    1.69926E+36   0.000000000E+00  -1.422630E+00   0.000000000E+00
     1       1.000000   1.138373E+00   2.744694E+15    1.69926E+36   5.780266170E-12  -1.422630E+00   4.014998066E-12
     2       1.033333   1.138373E+00   2.744694E+15    1.69926E+36   6.377774411E-12  -1.422630E+00   4.430029896E-12
     3       1.067778   1.138373E+00   2.744694E+15    1.69926E+36   7.037047298E-12  -1.422630E+00   4.887963719E-12
     4       1.103370   1.138373E+00   2.744694E+15    1.69926E+36   7.764469465E-12  -1.422630E+00   5.393234330E-12
     5       1.140149   1.138373E+00   2.744694E+15    1.69926E+36   8.567085527E-12  -1.422630E+00   5.950734948E-12
     6       1.178154   1.138373E+00   2.744694E+15    1.69926E+36   9.452668305E-12  -1.422630E+00   6.565864611E-12
     7       1.217426   1.138373E+00   2.744694E+15    1.69926E+36   1.042979410E-11  -1.422630E+00   7.244580452E-12
     8       1.258007   1.138373E+00   2.744694E+15    1.69926E+36   1.150792574E-11  -1.422630E+00   7.993455398E-12
     9       1.299941   1.138373E+00   2.744694E+15    1.69926E+36   1.269750424E-11  -1.422630E+00   8.819741822E-12
    10       1.343272   1.138373E+00   2.744694E+15    1.69926E+36   1.401004991E-11  -1.422630E+00   9.731441775E-12
    11       1.388048   1.138373E+00   2.744694E+15    1.69926E+36   1.545827390E-11  -1.422630E+00   1.073738449E-11
    12       1.434316   1.138373E+00   2.744694E+15    1.69926E+36   1.705620133E-11  -1.422630E+00   1.184731186E-11
    13       1.482126   1.138373E+00   2.744694E+15    1.69926E+36   1.881930709E-11  -1.422630E+00   1.307197284E-11
    14       1.531531   1.138373E+00   2.744694E+15    1.69926E+36   2.076466574E-11  -1.422630E+00   1.442322746E-11
    15       1.582582   1.138373E+00   2.744694E+15    1.69926E+36   2.291111682E-11  -1.422630E+00   1.591416177E-11
    16       1.635334   1.138373E+00   2.744694E+15    1.69926E+36   2.527944731E-11  -1.422630E+00   1.755921450E-11
    17       1.689846   1.138373E+00   2.744694E+15    1.69926E+36   2.789259299E-11  -1.422630E+00   1.937431693E-11
    18       1.746174   1.138373E+00   2.744694E+15    1.69926E+36   3.077586047E-11  -1.422630E+00   2.137704716E-11
    19       1.804380   1.138373E+00   2.744694E+15    1.69926E+36   3.395717235E-11  -1.422630E+00   2.358680033E-11
    20       1.864526   1.138373E+00   2.744694E+15    1.69926E+36   3.746733757E-11  -1.422630E+00   2.602497649E-11
    21       1.926676   1.138373E+00   2.744694E+15    1.69926E+36   4.134034983E-11  -1.422630E+00   2.871518780E-11
    22       1.990899   1.138373E+00   2.744694E+15    1.69926E+36   4.561371675E-11  -1.422630E+00   3.168348723E-11
    23       2.057262   1.138373E+00   2.744694E+15    1.69926E+36   5.032882312E-11  -1.422630E+00   3.495862083E-11
    24       2.125838   1.138373E+00   2.744694E+15    1.69926E+36   5.553133171E-11  -1.422630E+00   3.857230617E-11
    25       2.196699   1.138373E+00   2.744694E+15    1.69926E+36   6.127162545E-11  -1.422630E+00   4.255953946E-11
    26       2.269922   1.138373E+00   2.744694E+15    1.69926E+36   6.760529537E-11  -1.422630E+00   4.695893448E-11
    27       2.345586   1.138373E+00   2.744694E+15    1.69926E+36   7.459367898E-11  -1.422630E+00   5.181309653E-11
    28       2.423772   1.138373E+00   2.744694E+15    1.69926E+36   8.230445425E-11  -1.422630E+00   5.716903504E-11
    29       2.504565   1.138373E+00   2.744694E+15    1.69926E+36   9.081229504E-11  -1.422630E+00   6.307861881E-11
    30       2.588050   1.138373E+00   2.744694E+15    1.69926E+36   1.001995943E-10  -1.422630E+00   6.959907835E-11
    31       2.674319   1.138373E+00   2.744694E+15    1.69926E+36   1.105572619E-10  -1.422630E+00   7.679356009E-11
    32       2.763463   1.138373E+00   2.744694E+15    1.69926E+36   1.219856052E-10  -1.422630E+00   8.473173794E-11
    33       2.855578   1.138373E+00   2.744694E+15    1.69926E+36   1.345953002E-10  -1.422630E+00   9.349048801E-11
    34       2.950764   1.138373E+00   2.744694E+15    1.69926E+36   1.485084636E-10  -1.422630E+00   1.031546331E-10
    35       3.049123   1.138373E+00   2.744694E+15    1.69926E+36   1.638598355E-10  -1.422630E+00   1.138177643E-10
    36       3.150760   1.138373E+00   2.744694E+15    1.69926E+36   1.807980839E-10  -1.422630E+00   1.255831470E-10
    37       3.255785   1.138373E+00   2.744694E+15    1.69926E+36   1.994872446E-10  -1.422630E+00   1.385647214E-10
    38       3.364312   1.138373E+00   2.744694E+15    1.69926E+36   2.201083100E-10  -1.422630E+00   1.528882055E-10
    39       3.476455   1.138373E+00   2.744694E+15    1.69926E+36   2.428609817E-10  -1.422630E+00   1.686923131E-10
    40       3.592337   1.138373E+00   2.744694E+15    1.69926E+36   2.679656045E-10  -1.422630E+00   1.861300967E-10
    41       3.712082   1.138373E+00   2.744694E+15    1.69926E+36   2.956653002E-10  -1.422630E+00   2.053704298E-10
    42       3.835818   1.138373E+00   2.744694E+15    1.69926E+36   3.262283223E-10  -1.422630E+00   2.265996425E-10
    43       3.963678   1.138373E+00   2.744694E+15    1.69926E+36   3.599506536E-10  -1.422630E+00   2.500233260E-10
    44       4.095801   1.138373E+00   2.744694E+15    1.69926E+36   3.971588728E-10  -1.422630E+00   2.758683234E-10
    45       4.232328   1.138373E+00   2.744694E+15    1.69926E+36   4.382133170E-10  -1.422630E+00   3.043849265E-10
    46       4.373405   1.138373E+00   2.744694E+15    1.69926E+36   4.835115716E-10  -1.422630E+00   3.358493002E-10
    47       4.519185   1.138373E+00   2.744694E+15    1.69926E+36   5.334923203E-10  -1.422630E+00   3.705661562E-10
    48       4.669825   1.138373E+00   2.744694E+15    1.69926E+36   5.886395936E-10  -1.422630E+00   4.088717046E-10
    49       4.825485   1.138373E+00   2.744693E+15    1.69926E+36   6.494874565E-10  -1.422630E+00   4.511369095E-10
    50       4.986335   1.138373E+00   2.744693E+15    1.69926E+36   7.166251802E-10  -1.422630E+00   4.977710817E-10
    51       5.152546   1.138373E+00   2.744693E+15    1.69926E+36   7.907029489E-10  -1.422630E+00   5.492258425E-10
    52       5.324297   1.138373E+00   2.744693E+15    1.69926E+36   8.724381567E-10  -1.422630E+00   6.059994974E-10
    53       5.501774   1.138373E+00   2.744693E+15    1.69926E+36   9.626223544E-10  -1.422630E+00   6.686418617E-10
    54       5.685166   1.138373E+00   2.744693E+15    1.69926E+36   1.062128916E-09  -1.422630E+00   7.377595854E-10
    55       5.874672   1.138373E+00   2.744693E+15    1.69926E+36   1.171921495E-09  -1.422630E+00   8.140220278E-10
    56       6.070494   1.138373E+00   2.744693E+15    1.69926E+36   1.293063360E-09  -1.422630E+00   8.981677403E-10
    57       6.272844   1.138373E+00   2.744693E+15    1.69926E+36   1.426727687E-09  -1.422630E+00   9.910116180E-10
    58       6.481938   1.138373E+00   2.744693E+15    1.69926E+36   1.574208926E-09  -1.422630E+00   1.093452792E-09
    59       6.698003   1.138373E+00   2.744692E+15    1.69926E+36   1.736935331E-09  -1.422630E+00   1.206483337E-09
    60       6.921270   1.138373E+00   2.744692E+15    1.69926E+36   1.916482798E-09  -1.422630E+00   1.331197877E-09
    61       7.151978   1.138373E+00   2.744692E+15    1.69926E+36   2.114590121E-09  -1.422630E+00   1.468804190E-09
    62       7.390377   1.138372E+00   2.744692E+15    1.69926E+36   2.333175832E-09  -1.422630E+00   1.620634900E-09
    63       7.636723   1.138372E+00   2.744692E+15    1.69926E+36   2.574356785E-09  -1.422629E+00   1.788160385E-09
    64       7.891280   1.138372E+00   2.744692E+15    1.69926E+36   2.840468649E-09  -1.422629E+00   1.973003015E-09
    65       8.154323   1.138372E+00   2.744691E+15    1.69926E+36   3.134088533E-09  -1.422629E+00   2.176952866E-09
    66       8.426133   1.138372E+00   2.744691E+15    1.69926E+36   3.458059940E-09  -1.422629E+00   2.401985053E-09
    67       8.707004   1.138372E+00   2.744691E+15    1.69926E+36   3.815520304E-09  -1.422629E+00   2.650278858E-09
    68       8.997237   1.138372E+00   2.744691E+15    1.69926E+36   4.209931377E-09  -1.422629E+00   2.924238835E-09
    69       9.297145   1.138372E+00   2.744691E+15    1.69925E+36   4.645112748E-09  -1.422629E+00   3.226518099E-09
    70       9.607049   1.138372E+00   2.744690E+15    1.69925E+36   5.125278837E-09  -1.422629E+00   3.560044012E-09
    71       9.927284   1.138372E+00   2.744690E+15    1.69925E+36   5.655079706E-09  -1.422629E+00   3.928046541E-09
    72      10.258193   1.138372E+00   2.744690E+15    1.69925E+36   6.239646090E-09  -1.422629E+00   4.334089532E-09
    73      10.600132   1.138372E+00   2.744689E+15    1.69925E+36   6.884639086E-09  -1.422629E+00   4.782105224E-09
    74      10.953469   1.138372E+00   2.744689E+15    1.69925E+36   7.596304975E-09  -1.422629E+00   5.276432331E-09
    75      11.318584   1.138372E+00   2.744689E+15    1.69925E+36   8.381535709E-09  -1.422629E+00   5.821858058E-09
    76      11.695870   1.138372E+00   2.744688E+15    1.69925E+36   9.247935656E-09  -1.422628E+00   6.423664458E-09
