       6     153      53      68
 
     EOS file :  /Users/dany/Work/NStar/EOS/v14/APR_EOS_Cat.dat              
 
  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   
 
     0       0.000000   6.828740E-01   1.304745E+15    3.13932E+35   0.000000000E+00  -7.026224E-01   0.000000000E+00
     1      10.000000   6.828736E-01   1.304745E+15    3.13932E+35   2.747763080E-09  -7.026220E-01   2.408469279E-09
     2      11.666665   6.828735E-01   1.304744E+15    3.13931E+35   4.363343640E-09  -7.026219E-01   3.824558343E-09
     3      13.611106   6.828733E-01   1.304744E+15    3.13931E+35   6.928823062E-09  -7.026217E-01   6.073253511E-09
     4      15.879620   6.828731E-01   1.304743E+15    3.13931E+35   1.100270359E-08  -7.026214E-01   9.644094226E-09
     5      18.526217   6.828727E-01   1.304742E+15    3.13930E+35   1.747186251E-08  -7.026211E-01   1.531444854E-08
     6      21.613910   6.828723E-01   1.304741E+15    3.13930E+35   2.774462030E-08  -7.026207E-01   2.431874282E-08
     7      25.216213   6.828717E-01   1.304740E+15    3.13929E+35   4.405732089E-08  -7.026200E-01   3.861718898E-08
     8      29.418891   6.828709E-01   1.304738E+15    3.13927E+35   6.996115925E-08  -7.026192E-01   6.132250619E-08
     9      34.322001   6.828698E-01   1.304735E+15    3.13926E+35   1.110952228E-07  -7.026180E-01   9.737752370E-08
    10      40.042274   6.828683E-01   1.304732E+15    3.13923E+35   1.764140036E-07  -7.026165E-01   1.546311557E-07
    11      46.715890   6.828663E-01   1.304727E+15    3.13920E+35   2.801365359E-07  -7.026143E-01   2.455469371E-07
    12      54.501718   6.828635E-01   1.304720E+15    3.13916E+35   4.448413258E-07  -7.026115E-01   3.899159600E-07
    13      63.585095   6.828597E-01   1.304711E+15    3.13910E+35   7.063804884E-07  -7.026075E-01   6.191645778E-07
    14      74.182225   6.828546E-01   1.304699E+15    3.13902E+35   1.121682146E-06  -7.026021E-01   9.831941527E-07
    15      86.545317   6.828476E-01   1.304682E+15    3.13891E+35   1.781138034E-06  -7.025948E-01   1.561240747E-06
    16     100.968564   6.828381E-01   1.304659E+15    3.13876E+35   2.828269554E-06  -7.025849E-01   2.479116505E-06
    17     117.795114   6.828251E-01   1.304627E+15    3.13856E+35   4.490945944E-06  -7.025714E-01   3.936580983E-06
    18     137.425180   6.828075E-01   1.304585E+15    3.13829E+35   7.130934211E-06  -7.025530E-01   6.250789911E-06
    19     160.325483   6.827835E-01   1.304527E+15    3.13792E+35   1.132253215E-05  -7.025279E-01   9.925255888E-06
    20     187.040214   6.827508E-01   1.304448E+15    3.13741E+35   1.797732565E-05  -7.024938E-01   1.575928123E-05
    21     218.203766   6.827063E-01   1.304340E+15    3.13672E+35   2.854206335E-05  -7.024474E-01   2.502157304E-05
    22     254.555473   6.826459E-01   1.304194E+15    3.13578E+35   4.531236573E-05  -7.023843E-01   3.972559141E-05
    23     296.956638   6.825635E-01   1.303995E+15    3.13450E+35   7.192978648E-05  -7.022984E-01   6.306604478E-05
    24     346.410126   6.824515E-01   1.303724E+15    3.13276E+35   1.141687595E-04  -7.021815E-01   1.001104153E-04
    25     404.082787   6.822991E-01   1.303356E+15    3.13040E+35   1.811811360E-04  -7.020225E-01   1.588935953E-04
    26     471.330945   6.820919E-01   1.302855E+15    3.12719E+35   2.874614636E-04  -7.018063E-01   2.521486247E-04
    27     549.729047   6.818100E-01   1.302173E+15    3.12282E+35   4.559441025E-04  -7.015123E-01   4.000388744E-04
    28     641.101400   6.814268E-01   1.301247E+15    3.11690E+35   7.228704660E-04  -7.011128E-01   6.344618713E-04
    29     747.556504   6.809060E-01   1.299989E+15    3.10886E+35   1.145408956E-03  -7.005702E-01   1.005808906E-03
    30     871.522927   6.801987E-01   1.298280E+15    3.09796E+35   1.813521977E-03  -6.998336E-01   1.593538925E-03
    31    1015.784578   6.792399E-01   1.295973E+15    3.08321E+35   2.868317385E-03  -6.988348E-01   2.522627910E-03
    32    1183.510545   6.779404E-01   1.292849E+15    3.06330E+35   4.530130438E-03  -6.974825E-01   3.988951276E-03
    33    1378.276831   6.761813E-01   1.288624E+15    3.03649E+35   7.140910815E-03  -6.956546E-01   6.298064201E-03
    34    1604.065832   6.738049E-01   1.282921E+15    3.00054E+35   1.122693830E-02  -6.931904E-01   9.923540481E-03
    35    1865.229703   6.706027E-01   1.275244E+15    2.95257E+35   1.758896539E-02  -6.898794E-01   1.559288535E-02
    36    2166.395110   6.663054E-01   1.264996E+15    2.88901E+35   2.742651429E-02  -6.854509E-01   2.441021529E-02
    37    2512.266602   6.605631E-01   1.251338E+15    2.80559E+35   4.249753801E-02  -6.795640E-01   3.802299557E-02
    38    2907.321097   6.529468E-01   1.233416E+15    2.69744E+35   6.530346027E-02  -6.718021E-01   5.883383325E-02
    39    3355.249843   6.429212E-01   1.210069E+15    2.55954E+35   9.925353544E-02  -6.616794E-01   9.023104064E-02
    40    3858.243518   6.298759E-01   1.179917E+15    2.38740E+35   1.487196739E-01  -6.486666E-01   1.367772132E-01
    41    4416.025360   6.131286E-01   1.141862E+15    2.17839E+35   2.188194623E-01  -6.322483E-01   2.042150745E-01
    42    5024.493671   5.920170E-01   1.094752E+15    1.93337E+35   3.146905543E-01  -6.120304E-01   2.990233488E-01
    43    5674.547173   5.659703E-01   1.037888E+15    1.65835E+35   4.400970325E-01  -5.878882E-01   4.272498139E-01
    44    6351.141264   5.346878E-01   9.713575E+14    1.36558E+35   5.954276531E-01  -5.601441E-01   5.923819053E-01
    45    7033.213466   4.982522E-01   8.960781E+14    1.07277E+35   7.756738017E-01  -5.297139E-01   7.925131260E-01
    46    7695.267747   4.572511E-01   8.139656E+14    8.00033E+34   9.696600599E-01  -4.981195E-01   1.017976211E+00
    47    8310.750537   4.127538E-01   7.275896E+14    5.64990E+34   1.161671619E+00  -4.672843E-01   1.251377097E+00
    48    8856.836222   3.661364E-01   6.397276E+14    3.78168E+34   1.335553489E+00  -4.391074E-01   1.471486975E+00
    49    9318.981149   3.101617E-01   5.370535E+14    2.41606E+34   1.478798157E+00  -4.149812E-01   1.659020982E+00
    50    9704.846606   2.657037E-01   4.570997E+14    1.47848E+34   1.588576601E+00  -3.949374E-01   1.806546862E+00
    51   10006.369457   2.237206E-01   3.829174E+14    8.75826E+33   1.666422478E+00  -3.795133E-01   1.912956074E+00
    52   10234.811607   1.665272E-01   2.831929E+14    5.28006E+33   1.715126458E+00  -3.680690E-01   1.980300991E+00
    53   10431.174531   1.374090E-01   2.329824E+14    3.00752E+33   1.749374674E+00  -3.584819E-01   2.027959212E+00
    54   10574.151343   1.124356E-01   1.902034E+14    1.69109E+33   1.770502254E+00  -3.516721E-01   2.057428254E+00
    55   10676.422247   9.060888E-02   1.530059E+14    9.44719E+32   1.783063449E+00  -3.468995E-01   2.074966477E+00
    56   10749.436568   7.035504E-02   1.188855E+14    5.25346E+32   1.790374603E+00  -3.435468E-01   2.085164277E+00
    57   10802.747055   5.045606E-02   8.512080E+13    3.03297E+32   1.794347396E+00  -3.411301E-01   2.090702129E+00
    58   10846.359870   3.558170E-02   5.995868E+13    1.75576E+32   1.796680122E+00  -3.391741E-01   2.093954190E+00
    59   10882.634199   2.500279E-02   4.208862E+13    1.01726E+32   1.798052740E+00  -3.375625E-01   2.095867311E+00
    60   10912.877217   1.752785E-02   2.947730E+13    5.89006E+31   1.798860632E+00  -3.362297E-01   2.096993146E+00
    61   10938.092283   1.225910E-02   2.059894E+13    3.41203E+31   1.799334018E+00  -3.351263E-01   2.097652725E+00
    62   10959.142945   8.559438E-03   1.437101E+13    1.97597E+31   1.799611270E+00  -3.342106E-01   2.098039000E+00
    63   10976.720474   5.915224E-03   9.928929E+12    1.14818E+31   1.799772510E+00  -3.334498E-01   2.098263586E+00
    64   10991.576769   3.972358E-03   6.664140E+12    6.73441E+30   1.799865671E+00  -3.328096E-01   2.098393309E+00
    65   11004.612944   2.443211E-03   4.096765E+12    4.05430E+30   1.799918597E+00  -3.322498E-01   2.098467004E+00
    66   11017.424115   1.454987E-03   2.438385E+12    2.46816E+30   1.799950100E+00  -3.317015E-01   2.098510867E+00
    67   11030.572068   7.877630E-04   1.318918E+12    1.55706E+30   1.799968298E+00  -3.311408E-01   2.098536211E+00
    68   11045.957626   4.502361E-04   7.532888E+11    9.72667E+29   1.799980043E+00  -3.304872E-01   2.098552573E+00
    69   11062.852416   2.031930E-04   3.395489E+11    6.04968E+29   1.799987485E+00  -3.297725E-01   2.098562939E+00
    70   11086.256494   1.318279E-04   2.201402E+11    3.59884E+29   1.799992488E+00  -3.287877E-01   2.098569913E+00
    71   11107.868037   8.649546E-05   1.443274E+11    2.12513E+29   1.799995528E+00  -3.278837E-01   2.098574147E+00
    72   11127.448086   5.611736E-05   9.353137E+10    1.26336E+29   1.799997322E+00  -3.270691E-01   2.098576647E+00
    73   11145.504958   3.736763E-05   6.226233E+10    7.45843E+28   1.799998408E+00  -3.263216E-01   2.098578161E+00
    74   11161.597537   2.414316E-05   4.019568E+10    4.40379E+28   1.799999054E+00  -3.256584E-01   2.098579061E+00
    75   11176.379425   1.619594E-05   2.695428E+10    2.58499E+28   1.799999442E+00  -3.250516E-01   2.098579601E+00
    76   11189.370799   1.058339E-05   1.760414E+10    1.53474E+28   1.799999667E+00  -3.245203E-01   2.098579915E+00
