       6     137      36      52

     EOS file :  Prof_BSk22_1.4.dat                                          

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   3.878958E-01   6.975861E+14    8.09763E+34   0.000000000E+00  -3.946427E-01   0.000000000E+00
     1     100.000001   3.878748E-01   6.975437E+14    8.09637E+34   1.469005938E-06  -3.946249E-01   1.368031683E-06
     2     116.665133   3.878684E-01   6.975307E+14    8.09598E+34   2.332630048E-06  -3.946194E-01   2.172304764E-06
     3     136.107232   3.878597E-01   6.975130E+14    8.09546E+34   3.703924409E-06  -3.946120E-01   3.449374435E-06
     4     158.788709   3.878478E-01   6.974890E+14    8.09474E+34   5.881254062E-06  -3.946019E-01   5.477127498E-06
     5     185.248820   3.878317E-01   6.974562E+14    8.09376E+34   9.338265056E-06  -3.945881E-01   8.696721694E-06
     6     216.116341   3.878097E-01   6.974117E+14    8.09244E+34   1.482677304E-05  -3.945694E-01   1.380844809E-05
     7     252.124269   3.877798E-01   6.973511E+14    8.09063E+34   2.353994915E-05  -3.945439E-01   2.192380043E-05
     8     294.126856   3.877390E-01   6.972686E+14    8.08817E+34   3.737102686E-05  -3.945092E-01   3.480661767E-05
     9     343.119279   3.876836E-01   6.971564E+14    8.08483E+34   5.932319871E-05  -3.944620E-01   5.525527932E-05
    10     400.260271   3.876082E-01   6.970037E+14    8.08028E+34   9.415853157E-05  -3.943978E-01   8.770804216E-05
    11     466.898034   3.875057E-01   6.967959E+14    8.07410E+34   1.494241385E-04  -3.943105E-01   1.392008939E-04
    12     544.599670   3.873662E-01   6.965133E+14    8.06569E+34   2.370724762E-04  -3.941917E-01   2.208812627E-04
    13     635.184275   3.871764E-01   6.961291E+14    8.05427E+34   3.760144638E-04  -3.940302E-01   3.503959526E-04
    14     740.759577   3.869185E-01   6.956067E+14    8.03876E+34   5.961310775E-04  -3.938108E-01   5.556491554E-04
    15     863.761568   3.865680E-01   6.948970E+14    8.01772E+34   9.445521331E-04  -3.935127E-01   8.806971586E-04
    16    1006.995875   3.860921E-01   6.939334E+14    7.98920E+34   1.495431162E-03  -3.931081E-01   1.394952818E-03
    17    1173.678382   3.854462E-01   6.926260E+14    7.95060E+34   2.365050982E-03  -3.925596E-01   2.207468629E-03
    18    1367.470761   3.845709E-01   6.908544E+14    7.89848E+34   3.734928367E-03  -3.918170E-01   3.488909284E-03
    19    1592.503613   3.833861E-01   6.884574E+14    7.82830E+34   5.886647878E-03  -3.908135E-01   5.504946666E-03
    20    1853.375471   3.817859E-01   6.852215E+14    7.73416E+34   9.253314110E-03  -3.894608E-01   8.666154462E-03
    21    2155.109577   3.796349E-01   6.808860E+14    7.60853E+34   1.449339019E-02  -3.876439E-01   1.360076871E-02
    22    2503.032521   3.767498E-01   6.750805E+14    7.44205E+34   2.259184347E-02  -3.852150E-01   2.125680443E-02
    23    2902.564804   3.729014E-01   6.673557E+14    7.22347E+34   3.498954876E-02  -3.819884E-01   3.303806026E-02
    24    3358.829486   3.678036E-01   6.571587E+14    6.94005E+34   5.373026494E-02  -3.777382E-01   5.096884945E-02
    25    3876.052502   3.611179E-01   6.438554E+14    6.57855E+34   8.158761238E-02  -3.722027E-01   7.786083267E-02
    26    4456.659507   3.524549E-01   6.267290E+14    6.12737E+34   1.220921419E-01  -3.651007E-01   1.174125329E-01
    27    5100.087437   3.414017E-01   6.050422E+14    5.57984E+34   1.793200683E-01  -3.561661E-01   1.741087879E-01
    28    5801.357572   3.275885E-01   5.782108E+14    4.93876E+34   2.572653522E-01  -3.452082E-01   2.527175576E-01
    29    6549.565549   3.107538E-01   5.458926E+14    4.22099E+34   3.586508539E-01  -3.321968E-01   3.571586863E-01
    30    7326.886423   2.908577E-01   5.082180E+14    3.45999E+34   4.832985802E-01  -3.173556E-01   4.887146482E-01
    31    8108.658657   2.681762E-01   4.659290E+14    2.70328E+34   6.266163864E-01  -3.012293E-01   6.440067373E-01
    32    8865.269628   2.433276E-01   4.203416E+14    2.00362E+34   7.791983134E-01  -2.846686E-01   8.138266612E-01
    33    9566.153606   2.172308E-01   3.732381E+14    1.40563E+34   9.284323002E-01  -2.686954E-01   9.841840312E-01
    34   10185.006038   1.909319E-01   3.264882E+14    9.34242E+33   1.061878460E+00  -2.542754E-01   1.139916023E+00
    35   10704.769427   1.654060E-01   2.817190E+14    5.90789E+33   1.170897669E+00  -2.420849E-01   1.269392391E+00
    36   11120.371841   1.413893E-01   2.400644E+14    3.58004E+33   1.252575105E+00  -2.323872E-01   1.367634603E+00
    37   11438.181249   1.193198E-01   2.021190E+14    2.09774E+33   1.309157724E+00  -2.250621E-01   1.436262856E+00
    38   11672.541214   9.944521E-02   1.681649E+14    1.19991E+33   1.345847780E+00  -2.197430E-01   1.480986494E+00
    39   11840.953206   8.181836E-02   1.382153E+14    6.75581E+32   1.368447825E+00  -2.159796E-01   1.508608634E+00
    40   11960.162804   5.908397E-02   9.975385E+13    3.93687E+32   1.381095846E+00  -2.133535E-01   1.524076137E+00
    41   12058.678036   4.220983E-02   7.116336E+13    2.28676E+32   1.388747524E+00  -2.112129E-01   1.533442115E+00
    42   12140.486518   2.975131E-02   5.010761E+13    1.33120E+32   1.393309253E+00  -2.094589E-01   1.539027940E+00
    43   12209.254482   2.094018E-02   3.523148E+13    7.73236E+31   1.396041496E+00  -2.080025E-01   1.542373877E+00
    44   12266.872338   1.467250E-02   2.466481E+13    4.48945E+31   1.397664771E+00  -2.067957E-01   1.544361806E+00
    45   12315.229120   1.027114E-02   1.725125E+13    2.60419E+31   1.398626373E+00  -2.057927E-01   1.545539404E+00
    46   12355.737590   7.131783E-03   1.197251E+13    1.51129E+31   1.399192801E+00  -2.049595E-01   1.546233059E+00
    47   12389.896262   4.857813E-03   8.151913E+12    8.80338E+30   1.399524260E+00  -2.042619E-01   1.546638818E+00
    48   12419.326311   3.130139E-03   5.249857E+12    5.19586E+30   1.399715964E+00  -2.036646E-01   1.546873473E+00
    49   12446.460551   1.903141E-03   3.190409E+12    3.15708E+30   1.399825409E+00  -2.031169E-01   1.547007434E+00
    50   12473.738304   1.060065E-03   1.775709E+12    1.94906E+30   1.399890886E+00  -2.025693E-01   1.547087580E+00
    51   12504.157129   5.819777E-04   9.738281E+11    1.22671E+30   1.399930437E+00  -2.019622E-01   1.547136010E+00
    52   12539.273452   3.471501E-04   5.806761E+11    7.53772E+29   1.399956635E+00  -2.012658E-01   1.547168092E+00
    53   12575.713334   1.766534E-04   2.950791E+11    5.11843E+29   1.399970200E+00  -2.005483E-01   1.547184709E+00
    54   12624.736476   1.154782E-04   1.927701E+11    3.04359E+29   1.399982015E+00  -1.995911E-01   1.547199183E+00
    55   12669.800937   7.536196E-05   1.256933E+11    1.80166E+29   1.399989207E+00  -1.987194E-01   1.547207992E+00
    56   12711.083873   4.902865E-05   8.170702E+10    1.07122E+29   1.399993504E+00  -1.979276E-01   1.547213255E+00
    57   12749.155403   3.291118E-05   5.482866E+10    6.29541E+28   1.399996139E+00  -1.972030E-01   1.547216482E+00
    58   12782.752584   2.143600E-05   3.569434E+10    3.75847E+28   1.399997672E+00  -1.965680E-01   1.547218360E+00
    59   12813.768327   1.422803E-05   2.367677E+10    2.21054E+28   1.399998618E+00  -1.959854E-01   1.547219518E+00
    60   12841.438650   9.289879E-06   1.545116E+10    1.31147E+28   1.399999174E+00  -1.954687E-01   1.547220198E+00
    61   12866.731520   6.130355E-06   1.019903E+10    7.79249E+27   1.399999505E+00  -1.949987E-01   1.547220604E+00
    62   12889.612640   4.115322E-06   6.841920E+09    4.57512E+27   1.399999708E+00  -1.945755E-01   1.547220852E+00
    63   12909.728633   2.725523E-06   4.529088E+09    2.69685E+27   1.399999827E+00  -1.942050E-01   1.547220997E+00
    64   12927.712112   1.824223E-06   3.030690E+09    1.58595E+27   1.399999898E+00  -1.938750E-01   1.547221084E+00
    65   12943.572211   1.225109E-06   2.034884E+09    9.30335E+26   1.399999940E+00  -1.935849E-01   1.547221136E+00
    66   12957.471965   8.229752E-07   1.367074E+09    5.45592E+26   1.399999964E+00  -1.933314E-01   1.547221166E+00
    67   12969.638412   5.316568E-07   8.826724E+08    3.28993E+26   1.399999979E+00  -1.931100E-01   1.547221183E+00
    68   12981.027664   3.575647E-07   5.935521E+08    1.92816E+26   1.399999987E+00  -1.929032E-01   1.547221194E+00
    69   12990.976150   2.406500E-07   3.995122E+08    1.12969E+26   1.399999993E+00  -1.927230E-01   1.547221200E+00
    70   12999.652666   1.573996E-07   2.612374E+08    6.63572E+25   1.399999996E+00  -1.925661E-01   1.547221204E+00
    71   13007.459927   1.062335E-07   1.763049E+08    3.88303E+25   1.399999997E+00  -1.924251E-01   1.547221206E+00
    72   13014.239660   7.176523E-08   1.190888E+08    2.27187E+25   1.399999999E+00  -1.923029E-01   1.547221208E+00
    73   13020.119854   4.858961E-08   8.061273E+07    1.32783E+25   1.399999999E+00  -1.921970E-01   1.547221208E+00
    74   13025.202785   3.297719E-08   5.470847E+07    7.75883E+24   1.399999999E+00  -1.921055E-01   1.547221209E+00
    75   13029.583522   2.241930E-08   3.719859E+07    4.52705E+24   1.400000000E+00  -1.920268E-01   1.547221209E+00
    76   13033.345918   1.530736E-08   2.539761E+07    2.63882E+24   1.400000000E+00  -1.919592E-01   1.547221209E+00
