       6    6081    3571    3571

     EOS file :  StrangeEOS_03_140_150_Acc-Fe.dat                            

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   4.311735E-01   7.083008E+14    8.84412E+34   0.000000000E+00  -4.069007E-01   0.000000000E+00
     1      10.000000   4.311732E-01   7.083003E+14    8.84411E+34   1.491664867E-09  -4.069005E-01   1.520731431E-09
     2      10.033333   4.311732E-01   7.083003E+14    8.84411E+34   1.506631280E-09  -4.069005E-01   1.535989481E-09
     3      10.066778   4.311732E-01   7.083003E+14    8.84411E+34   1.521747857E-09  -4.069005E-01   1.551400621E-09
     4      10.100334   4.311732E-01   7.083003E+14    8.84411E+34   1.537016103E-09  -4.069005E-01   1.566966386E-09
     5      10.134001   4.311732E-01   7.083003E+14    8.84411E+34   1.552437541E-09  -4.069005E-01   1.582688327E-09
     6      10.167781   4.311732E-01   7.083003E+14    8.84411E+34   1.568013708E-09  -4.069005E-01   1.598568013E-09
     7      10.201674   4.311732E-01   7.083003E+14    8.84411E+34   1.583746157E-09  -4.069005E-01   1.614607025E-09
     8      10.235679   4.311732E-01   7.083003E+14    8.84411E+34   1.599636454E-09  -4.069005E-01   1.630806963E-09
     9      10.269798   4.311732E-01   7.083003E+14    8.84411E+34   1.615686185E-09  -4.069005E-01   1.647169440E-09
    10      10.304031   4.311732E-01   7.083003E+14    8.84411E+34   1.631896948E-09  -4.069005E-01   1.663696087E-09
    11      10.338378   4.311732E-01   7.083003E+14    8.84411E+34   1.648270359E-09  -4.069005E-01   1.680388553E-09
    12      10.372839   4.311732E-01   7.083003E+14    8.84411E+34   1.664808051E-09  -4.069005E-01   1.697248500E-09
    13      10.407415   4.311732E-01   7.083003E+14    8.84411E+34   1.681511671E-09  -4.069005E-01   1.714277609E-09
    14      10.442106   4.311732E-01   7.083003E+14    8.84411E+34   1.698382885E-09  -4.069005E-01   1.731477576E-09
    15      10.476913   4.311732E-01   7.083003E+14    8.84411E+34   1.715423374E-09  -4.069005E-01   1.748850118E-09
    16      10.511836   4.311732E-01   7.083003E+14    8.84411E+34   1.732634835E-09  -4.069005E-01   1.766396964E-09
    17      10.546876   4.311732E-01   7.083003E+14    8.84411E+34   1.750018986E-09  -4.069005E-01   1.784119864E-09
    18      10.582032   4.311732E-01   7.083003E+14    8.84411E+34   1.767577558E-09  -4.069005E-01   1.802020584E-09
    19      10.617305   4.311732E-01   7.083003E+14    8.84411E+34   1.785312301E-09  -4.069005E-01   1.820100909E-09
    20      10.652696   4.311732E-01   7.083003E+14    8.84410E+34   1.803224983E-09  -4.069005E-01   1.838362640E-09
    21      10.688205   4.311732E-01   7.083003E+14    8.84410E+34   1.821317389E-09  -4.069005E-01   1.856807597E-09
    22      10.723833   4.311732E-01   7.083003E+14    8.84410E+34   1.839591323E-09  -4.069005E-01   1.875437619E-09
    23      10.759579   4.311732E-01   7.083003E+14    8.84410E+34   1.858048606E-09  -4.069005E-01   1.894254563E-09
    24      10.795444   4.311732E-01   7.083003E+14    8.84410E+34   1.876691077E-09  -4.069005E-01   1.913260304E-09
    25      10.831429   4.311732E-01   7.083003E+14    8.84410E+34   1.895520595E-09  -4.069005E-01   1.932456736E-09
    26      10.867534   4.311732E-01   7.083003E+14    8.84410E+34   1.914539036E-09  -4.069005E-01   1.951845773E-09
    27      10.903759   4.311732E-01   7.083003E+14    8.84410E+34   1.933748295E-09  -4.069005E-01   1.971429347E-09
    28      10.940104   4.311732E-01   7.083003E+14    8.84410E+34   1.953150288E-09  -4.069005E-01   1.991209409E-09
    29      10.976571   4.311732E-01   7.083003E+14    8.84410E+34   1.972746948E-09  -4.069005E-01   2.011187933E-09
    30      11.013160   4.311732E-01   7.083003E+14    8.84410E+34   1.992540229E-09  -4.069005E-01   2.031366908E-09
    31      11.049870   4.311732E-01   7.083002E+14    8.84410E+34   2.012532102E-09  -4.069005E-01   2.051748345E-09
    32      11.086703   4.311732E-01   7.083002E+14    8.84410E+34   2.032724561E-09  -4.069005E-01   2.072334277E-09
    33      11.123659   4.311732E-01   7.083002E+14    8.84410E+34   2.053119617E-09  -4.069005E-01   2.093126755E-09
    34      11.160738   4.311732E-01   7.083002E+14    8.84410E+34   2.073719305E-09  -4.069005E-01   2.114127852E-09
    35      11.197940   4.311732E-01   7.083002E+14    8.84410E+34   2.094525676E-09  -4.069005E-01   2.135339659E-09
    36      11.235267   4.311731E-01   7.083002E+14    8.84410E+34   2.115540805E-09  -4.069005E-01   2.156764293E-09
    37      11.272717   4.311731E-01   7.083002E+14    8.84410E+34   2.136766787E-09  -4.069005E-01   2.178403887E-09
    38      11.310293   4.311731E-01   7.083002E+14    8.84410E+34   2.158205736E-09  -4.069004E-01   2.200260599E-09
    39      11.347994   4.311731E-01   7.083002E+14    8.84410E+34   2.179859789E-09  -4.069004E-01   2.222336607E-09
    40      11.385821   4.311731E-01   7.083002E+14    8.84410E+34   2.201731106E-09  -4.069004E-01   2.244634111E-09
    41      11.423773   4.311731E-01   7.083002E+14    8.84410E+34   2.223821865E-09  -4.069004E-01   2.267155335E-09
    42      11.461853   4.311731E-01   7.083002E+14    8.84410E+34   2.246134268E-09  -4.069004E-01   2.289902521E-09
    43      11.500059   4.311731E-01   7.083002E+14    8.84410E+34   2.268670540E-09  -4.069004E-01   2.312877939E-09
    44      11.538392   4.311731E-01   7.083002E+14    8.84410E+34   2.291432925E-09  -4.069004E-01   2.336083876E-09
    45      11.576854   4.311731E-01   7.083002E+14    8.84410E+34   2.314423694E-09  -4.069004E-01   2.359522648E-09
    46      11.615443   4.311731E-01   7.083002E+14    8.84410E+34   2.337645137E-09  -4.069004E-01   2.383196588E-09
    47      11.654161   4.311731E-01   7.083002E+14    8.84410E+34   2.361099570E-09  -4.069004E-01   2.407108058E-09
    48      11.693008   4.311731E-01   7.083002E+14    8.84410E+34   2.384789328E-09  -4.069004E-01   2.431259440E-09
    49      11.731985   4.311731E-01   7.083002E+14    8.84410E+34   2.408716775E-09  -4.069004E-01   2.455653141E-09
    50      11.771091   4.311731E-01   7.083002E+14    8.84410E+34   2.432884294E-09  -4.069004E-01   2.480291593E-09
    51      11.810328   4.311731E-01   7.083002E+14    8.84410E+34   2.457294294E-09  -4.069004E-01   2.505177251E-09
    52      11.849696   4.311731E-01   7.083002E+14    8.84410E+34   2.481949208E-09  -4.069004E-01   2.530312596E-09
    53      11.889195   4.311731E-01   7.083002E+14    8.84410E+34   2.506851493E-09  -4.069004E-01   2.555700132E-09
    54      11.928826   4.311731E-01   7.083002E+14    8.84410E+34   2.532003632E-09  -4.069004E-01   2.581342391E-09
    55      11.968588   4.311731E-01   7.083002E+14    8.84410E+34   2.557408131E-09  -4.069004E-01   2.607241927E-09
    56      12.008484   4.311731E-01   7.083002E+14    8.84410E+34   2.583067522E-09  -4.069004E-01   2.633401323E-09
    57      12.048512   4.311731E-01   7.083002E+14    8.84410E+34   2.608984363E-09  -4.069004E-01   2.659823185E-09
    58      12.088674   4.311731E-01   7.083001E+14    8.84410E+34   2.635161237E-09  -4.069004E-01   2.686510147E-09
    59      12.128969   4.311731E-01   7.083001E+14    8.84410E+34   2.661600752E-09  -4.069004E-01   2.713464868E-09
    60      12.169399   4.311731E-01   7.083001E+14    8.84410E+34   2.688305545E-09  -4.069004E-01   2.740690036E-09
    61      12.209964   4.311731E-01   7.083001E+14    8.84410E+34   2.715278275E-09  -4.069004E-01   2.768188364E-09
    62      12.250663   4.311731E-01   7.083001E+14    8.84410E+34   2.742521633E-09  -4.069004E-01   2.795962592E-09
    63      12.291499   4.311731E-01   7.083001E+14    8.84410E+34   2.770038333E-09  -4.069004E-01   2.824015488E-09
    64      12.332471   4.311731E-01   7.083001E+14    8.84410E+34   2.797831117E-09  -4.069004E-01   2.852349849E-09
    65      12.373579   4.311731E-01   7.083001E+14    8.84410E+34   2.825902756E-09  -4.069004E-01   2.880968499E-09
    66      12.414824   4.311731E-01   7.083001E+14    8.84410E+34   2.854256048E-09  -4.069004E-01   2.909874290E-09
    67      12.456207   4.311731E-01   7.083001E+14    8.84410E+34   2.882893818E-09  -4.069004E-01   2.939070102E-09
    68      12.497727   4.311731E-01   7.083001E+14    8.84410E+34   2.911818920E-09  -4.069004E-01   2.968558847E-09
    69      12.539386   4.311731E-01   7.083001E+14    8.84410E+34   2.941034239E-09  -4.069004E-01   2.998343462E-09
    70      12.581184   4.311731E-01   7.083001E+14    8.84410E+34   2.970542684E-09  -4.069004E-01   3.028426917E-09
    71      12.623121   4.311731E-01   7.083001E+14    8.84410E+34   3.000347199E-09  -4.069004E-01   3.058812210E-09
    72      12.665198   4.311731E-01   7.083001E+14    8.84410E+34   3.030450752E-09  -4.069004E-01   3.089502369E-09
    73      12.707416   4.311731E-01   7.083001E+14    8.84410E+34   3.060856345E-09  -4.069004E-01   3.120500453E-09
    74      12.749774   4.311731E-01   7.083001E+14    8.84410E+34   3.091567007E-09  -4.069004E-01   3.151809552E-09
    75      12.792273   4.311731E-01   7.083001E+14    8.84410E+34   3.122585801E-09  -4.069004E-01   3.183432786E-09
    76      12.834914   4.311731E-01   7.083001E+14    8.84410E+34   3.153915816E-09  -4.069004E-01   3.215373307E-09
    77      12.877697   4.311731E-01   7.083001E+14    8.84410E+34   3.185560177E-09  -4.069004E-01   3.247634298E-09
