       6    6208    3576    3578

     EOS file :  StrangeEOS_03_140_150_Acc-Pd.dat                            

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   4.311735E-01   7.083008E+14    8.84412E+34   0.000000000E+00  -4.069007E-01   0.000000000E+00
     1      10.000000   4.311732E-01   7.083003E+14    8.84411E+34   1.491664868E-09  -4.069005E-01   1.520731432E-09
     2      10.033333   4.311732E-01   7.083003E+14    8.84411E+34   1.506631281E-09  -4.069005E-01   1.535989482E-09
     3      10.066778   4.311732E-01   7.083003E+14    8.84411E+34   1.521747858E-09  -4.069005E-01   1.551400622E-09
     4      10.100334   4.311732E-01   7.083003E+14    8.84411E+34   1.537016104E-09  -4.069005E-01   1.566966387E-09
     5      10.134001   4.311732E-01   7.083003E+14    8.84411E+34   1.552437542E-09  -4.069005E-01   1.582688328E-09
     6      10.167781   4.311732E-01   7.083003E+14    8.84411E+34   1.568013710E-09  -4.069005E-01   1.598568014E-09
     7      10.201674   4.311732E-01   7.083003E+14    8.84411E+34   1.583746158E-09  -4.069005E-01   1.614607026E-09
     8      10.235679   4.311732E-01   7.083003E+14    8.84411E+34   1.599636455E-09  -4.069005E-01   1.630806964E-09
     9      10.269798   4.311732E-01   7.083003E+14    8.84411E+34   1.615686186E-09  -4.069005E-01   1.647169441E-09
    10      10.304031   4.311732E-01   7.083003E+14    8.84411E+34   1.631896949E-09  -4.069005E-01   1.663696088E-09
    11      10.338378   4.311732E-01   7.083003E+14    8.84411E+34   1.648270360E-09  -4.069005E-01   1.680388554E-09
    12      10.372839   4.311732E-01   7.083003E+14    8.84411E+34   1.664808052E-09  -4.069005E-01   1.697248501E-09
    13      10.407415   4.311732E-01   7.083003E+14    8.84411E+34   1.681511673E-09  -4.069005E-01   1.714277610E-09
    14      10.442106   4.311732E-01   7.083003E+14    8.84411E+34   1.698382886E-09  -4.069005E-01   1.731477578E-09
    15      10.476913   4.311732E-01   7.083003E+14    8.84411E+34   1.715423375E-09  -4.069005E-01   1.748850119E-09
    16      10.511836   4.311732E-01   7.083003E+14    8.84411E+34   1.732634836E-09  -4.069005E-01   1.766396965E-09
    17      10.546876   4.311732E-01   7.083003E+14    8.84411E+34   1.750018987E-09  -4.069005E-01   1.784119865E-09
    18      10.582032   4.311732E-01   7.083003E+14    8.84411E+34   1.767577559E-09  -4.069005E-01   1.802020585E-09
    19      10.617305   4.311732E-01   7.083003E+14    8.84411E+34   1.785312302E-09  -4.069005E-01   1.820100910E-09
    20      10.652696   4.311732E-01   7.083003E+14    8.84410E+34   1.803224984E-09  -4.069005E-01   1.838362641E-09
    21      10.688205   4.311732E-01   7.083003E+14    8.84410E+34   1.821317390E-09  -4.069005E-01   1.856807598E-09
    22      10.723833   4.311732E-01   7.083003E+14    8.84410E+34   1.839591324E-09  -4.069005E-01   1.875437620E-09
    23      10.759579   4.311732E-01   7.083003E+14    8.84410E+34   1.858048607E-09  -4.069005E-01   1.894254564E-09
    24      10.795444   4.311732E-01   7.083003E+14    8.84410E+34   1.876691078E-09  -4.069005E-01   1.913260305E-09
    25      10.831429   4.311732E-01   7.083003E+14    8.84410E+34   1.895520596E-09  -4.069005E-01   1.932456737E-09
    26      10.867534   4.311732E-01   7.083003E+14    8.84410E+34   1.914539037E-09  -4.069005E-01   1.951845774E-09
    27      10.903759   4.311732E-01   7.083003E+14    8.84410E+34   1.933748297E-09  -4.069005E-01   1.971429348E-09
    28      10.940104   4.311732E-01   7.083003E+14    8.84410E+34   1.953150290E-09  -4.069005E-01   1.991209411E-09
    29      10.976571   4.311732E-01   7.083003E+14    8.84410E+34   1.972746950E-09  -4.069005E-01   2.011187934E-09
    30      11.013160   4.311732E-01   7.083003E+14    8.84410E+34   1.992540230E-09  -4.069005E-01   2.031366909E-09
    31      11.049870   4.311732E-01   7.083002E+14    8.84410E+34   2.012532103E-09  -4.069005E-01   2.051748347E-09
    32      11.086703   4.311732E-01   7.083002E+14    8.84410E+34   2.032724562E-09  -4.069005E-01   2.072334279E-09
    33      11.123659   4.311732E-01   7.083002E+14    8.84410E+34   2.053119619E-09  -4.069005E-01   2.093126757E-09
    34      11.160738   4.311732E-01   7.083002E+14    8.84410E+34   2.073719306E-09  -4.069005E-01   2.114127853E-09
    35      11.197940   4.311732E-01   7.083002E+14    8.84410E+34   2.094525678E-09  -4.069005E-01   2.135339661E-09
    36      11.235267   4.311731E-01   7.083002E+14    8.84410E+34   2.115540807E-09  -4.069005E-01   2.156764294E-09
    37      11.272717   4.311731E-01   7.083002E+14    8.84410E+34   2.136766788E-09  -4.069005E-01   2.178403888E-09
    38      11.310293   4.311731E-01   7.083002E+14    8.84410E+34   2.158205737E-09  -4.069004E-01   2.200260600E-09
    39      11.347994   4.311731E-01   7.083002E+14    8.84410E+34   2.179859791E-09  -4.069004E-01   2.222336608E-09
    40      11.385821   4.311731E-01   7.083002E+14    8.84410E+34   2.201731107E-09  -4.069004E-01   2.244634113E-09
    41      11.423773   4.311731E-01   7.083002E+14    8.84410E+34   2.223821866E-09  -4.069004E-01   2.267155336E-09
    42      11.461853   4.311731E-01   7.083002E+14    8.84410E+34   2.246134270E-09  -4.069004E-01   2.289902523E-09
    43      11.500059   4.311731E-01   7.083002E+14    8.84410E+34   2.268670541E-09  -4.069004E-01   2.312877940E-09
    44      11.538392   4.311731E-01   7.083002E+14    8.84410E+34   2.291432927E-09  -4.069004E-01   2.336083878E-09
    45      11.576854   4.311731E-01   7.083002E+14    8.84410E+34   2.314423696E-09  -4.069004E-01   2.359522649E-09
    46      11.615443   4.311731E-01   7.083002E+14    8.84410E+34   2.337645139E-09  -4.069004E-01   2.383196590E-09
    47      11.654161   4.311731E-01   7.083002E+14    8.84410E+34   2.361099571E-09  -4.069004E-01   2.407108059E-09
    48      11.693008   4.311731E-01   7.083002E+14    8.84410E+34   2.384789330E-09  -4.069004E-01   2.431259441E-09
    49      11.731985   4.311731E-01   7.083002E+14    8.84410E+34   2.408716776E-09  -4.069004E-01   2.455653142E-09
    50      11.771091   4.311731E-01   7.083002E+14    8.84410E+34   2.432884295E-09  -4.069004E-01   2.480291594E-09
    51      11.810328   4.311731E-01   7.083002E+14    8.84410E+34   2.457294295E-09  -4.069004E-01   2.505177252E-09
    52      11.849696   4.311731E-01   7.083002E+14    8.84410E+34   2.481949209E-09  -4.069004E-01   2.530312597E-09
    53      11.889195   4.311731E-01   7.083002E+14    8.84410E+34   2.506851495E-09  -4.069004E-01   2.555700134E-09
    54      11.928826   4.311731E-01   7.083002E+14    8.84410E+34   2.532003634E-09  -4.069004E-01   2.581342392E-09
    55      11.968588   4.311731E-01   7.083002E+14    8.84410E+34   2.557408133E-09  -4.069004E-01   2.607241929E-09
    56      12.008484   4.311731E-01   7.083002E+14    8.84410E+34   2.583067524E-09  -4.069004E-01   2.633401324E-09
    57      12.048512   4.311731E-01   7.083002E+14    8.84410E+34   2.608984365E-09  -4.069004E-01   2.659823186E-09
    58      12.088674   4.311731E-01   7.083001E+14    8.84410E+34   2.635161239E-09  -4.069004E-01   2.686510148E-09
    59      12.128969   4.311731E-01   7.083001E+14    8.84410E+34   2.661600754E-09  -4.069004E-01   2.713464870E-09
    60      12.169399   4.311731E-01   7.083001E+14    8.84410E+34   2.688305546E-09  -4.069004E-01   2.740690038E-09
    61      12.209964   4.311731E-01   7.083001E+14    8.84410E+34   2.715278277E-09  -4.069004E-01   2.768188365E-09
    62      12.250663   4.311731E-01   7.083001E+14    8.84410E+34   2.742521635E-09  -4.069004E-01   2.795962593E-09
    63      12.291499   4.311731E-01   7.083001E+14    8.84410E+34   2.770038335E-09  -4.069004E-01   2.824015490E-09
    64      12.332471   4.311731E-01   7.083001E+14    8.84410E+34   2.797831119E-09  -4.069004E-01   2.852349851E-09
    65      12.373579   4.311731E-01   7.083001E+14    8.84410E+34   2.825902758E-09  -4.069004E-01   2.880968501E-09
    66      12.414824   4.311731E-01   7.083001E+14    8.84410E+34   2.854256049E-09  -4.069004E-01   2.909874291E-09
    67      12.456207   4.311731E-01   7.083001E+14    8.84410E+34   2.882893820E-09  -4.069004E-01   2.939070104E-09
    68      12.497727   4.311731E-01   7.083001E+14    8.84410E+34   2.911818922E-09  -4.069004E-01   2.968558849E-09
    69      12.539386   4.311731E-01   7.083001E+14    8.84410E+34   2.941034241E-09  -4.069004E-01   2.998343464E-09
    70      12.581184   4.311731E-01   7.083001E+14    8.84410E+34   2.970542686E-09  -4.069004E-01   3.028426919E-09
    71      12.623121   4.311731E-01   7.083001E+14    8.84410E+34   3.000347201E-09  -4.069004E-01   3.058812212E-09
    72      12.665198   4.311731E-01   7.083001E+14    8.84410E+34   3.030450754E-09  -4.069004E-01   3.089502371E-09
    73      12.707416   4.311731E-01   7.083001E+14    8.84410E+34   3.060856347E-09  -4.069004E-01   3.120500455E-09
    74      12.749774   4.311731E-01   7.083001E+14    8.84410E+34   3.091567009E-09  -4.069004E-01   3.151809554E-09
    75      12.792273   4.311731E-01   7.083001E+14    8.84410E+34   3.122585803E-09  -4.069004E-01   3.183432788E-09
    76      12.834914   4.311731E-01   7.083001E+14    8.84410E+34   3.153915819E-09  -4.069004E-01   3.215373308E-09
    77      12.877697   4.311731E-01   7.083001E+14    8.84410E+34   3.185560179E-09  -4.069004E-01   3.247634300E-09
