       6     121      52      67

     EOS file :  /Users/dany/Work/NStar/eos/v14/APR_EOS_Acc_Fe.dat           

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   5.743085E-01   1.055941E+15    1.74319E+35   0.000000000E+00  -5.193027E-01   0.000000000E+00
     1      10.000000   5.743082E-01   1.055940E+15    1.74319E+35   2.223787258E-09  -5.193024E-01   2.025563127E-09
     2      11.666665   5.743081E-01   1.055940E+15    1.74319E+35   3.531289996E-09  -5.193023E-01   3.216517840E-09
     3      13.611106   5.743080E-01   1.055940E+15    1.74318E+35   5.607553878E-09  -5.193022E-01   5.107708294E-09
     4      15.879620   5.743078E-01   1.055940E+15    1.74318E+35   8.904579616E-09  -5.193020E-01   8.110845404E-09
     5      18.526217   5.743075E-01   1.055939E+15    1.74318E+35   1.414012484E-08  -5.193018E-01   1.287970881E-08
     6      21.613911   5.743072E-01   1.055938E+15    1.74318E+35   2.245395616E-08  -5.193015E-01   2.045247191E-08
     7      25.216214   5.743067E-01   1.055937E+15    1.74317E+35   3.565596785E-08  -5.193011E-01   3.247770606E-08
     8      29.418893   5.743061E-01   1.055936E+15    1.74316E+35   5.662017723E-08  -5.193005E-01   5.157326079E-08
     9      34.322005   5.743052E-01   1.055934E+15    1.74316E+35   8.991035729E-08  -5.192997E-01   8.189613945E-08
    10      40.042281   5.743040E-01   1.055931E+15    1.74314E+35   1.427734807E-07  -5.192986E-01   1.300474126E-07
    11      46.715901   5.743024E-01   1.055928E+15    1.74313E+35   2.267171913E-07  -5.192971E-01   2.065091269E-07
    12      54.501736   5.743002E-01   1.055923E+15    1.74310E+35   3.600145947E-07  -5.192951E-01   3.279259319E-07
    13      63.585123   5.742972E-01   1.055917E+15    1.74307E+35   5.716813958E-07  -5.192923E-01   5.207279385E-07
    14      74.182270   5.742932E-01   1.055908E+15    1.74303E+35   9.077906268E-07  -5.192886E-01   8.268830723E-07
    15      86.545389   5.742877E-01   1.055896E+15    1.74297E+35   1.441498436E-06  -5.192835E-01   1.313030283E-06
    16     100.968679   5.742801E-01   1.055880E+15    1.74290E+35   2.288960848E-06  -5.192766E-01   2.084979892E-06
    17     117.795296   5.742699E-01   1.055857E+15    1.74279E+35   3.634600740E-06  -5.192672E-01   3.310733463E-06
    18     137.425470   5.742560E-01   1.055827E+15    1.74265E+35   5.771213028E-06  -5.192544E-01   5.257025199E-06
    19     160.325944   5.742370E-01   1.055786E+15    1.74245E+35   9.163611691E-06  -5.192369E-01   8.347319610E-06
    20     187.040947   5.742112E-01   1.055730E+15    1.74218E+35   1.454961564E-05  -5.192132E-01   1.325384759E-05
    21     218.204930   5.741761E-01   1.055654E+15    1.74182E+35   2.310023074E-05  -5.191809E-01   2.104362223E-05
    22     254.557322   5.741283E-01   1.055550E+15    1.74133E+35   3.667362462E-05  -5.191369E-01   3.341001684E-05
    23     296.959574   5.740633E-01   1.055409E+15    1.74065E+35   5.821759094E-05  -5.190771E-01   5.303987704E-05
    24     346.414785   5.739748E-01   1.055217E+15    1.73974E+35   9.240683868E-05  -5.189957E-01   8.419513088E-05
    25     404.090180   5.738545E-01   1.054956E+15    1.73849E+35   1.466510820E-04  -5.188850E-01   1.336334514E-04
    26     471.342670   5.736907E-01   1.054601E+15    1.73680E+35   2.326874405E-04  -5.187345E-01   2.120639527E-04
    27     549.747634   5.734680E-01   1.054118E+15    1.73451E+35   3.690910085E-04  -5.185297E-01   3.364452473E-04
    28     641.130842   5.731652E-01   1.053461E+15    1.73138E+35   5.852226257E-04  -5.182515E-01   5.336055470E-04
    29     747.603097   5.727536E-01   1.052569E+15    1.72715E+35   9.274142848E-04  -5.178735E-01   8.459286579E-04
    30     871.596569   5.721944E-01   1.051356E+15    1.72141E+35   1.468612628E-03  -5.173604E-01   1.340248914E-03
    31    1015.900773   5.714354E-01   1.049711E+15    1.71363E+35   2.323311436E-03  -5.166646E-01   2.121689035E-03
    32    1183.694585   5.704059E-01   1.047479E+15    1.70313E+35   3.670455443E-03  -5.157222E-01   3.355022981E-03
    33    1378.568169   5.690123E-01   1.044464E+15    1.68897E+35   5.788111070E-03  -5.144480E-01   5.297306014E-03
    34    1604.523966   5.671285E-01   1.040391E+15    1.66996E+35   9.104959314E-03  -5.127295E-01   8.346955906E-03
    35    1865.944349   5.645870E-01   1.034900E+15    1.64456E+35   1.427472585E-02  -5.104191E-01   1.311603596E-02
    36    2167.499896   5.611692E-01   1.027522E+15    1.61083E+35   2.227954084E-02  -5.073268E-01   2.053340604E-02
    37    2513.965885   5.565956E-01   1.017742E+15    1.56642E+35   3.456510411E-02  -5.032122E-01   3.198511070E-02
    38    2909.874347   5.505067E-01   1.004778E+15    1.50864E+35   5.319839840E-02  -4.977810E-01   4.948995819E-02
    39    3359.039164   5.424590E-01   9.877147E+14    1.43460E+35   8.101647116E-02  -4.906877E-01   7.589364249E-02
    40    3863.786440   5.319264E-01   9.655668E+14    1.34163E+35   1.216915620E-01  -4.815530E-01   1.150199949E-01
    41    4423.883682   5.183317E-01   9.372743E+14    1.22793E+35   1.795722564E-01  -4.700064E-01   1.716520728E-01
    42    5035.248026   5.010475E-01   9.017707E+14    1.09349E+35   2.590987150E-01  -4.557599E-01   2.511309929E-01
    43    5688.614902   4.795411E-01   8.582722E+14    9.41190E+34   3.636206400E-01  -4.387195E-01   3.583046030E-01
    44    6368.489993   4.534339E-01   8.064528E+14    7.77492E+34   4.936354059E-01  -4.191175E-01   4.956594091E-01
    45    7053.126103   4.226738E-01   7.466183E+14    6.12289E+34   6.449659468E-01  -3.976208E-01   6.609199979E-01
    46    7716.270673   3.876131E-01   6.798994E+14    4.57261E+34   8.079922551E-01  -3.753367E-01   8.452197055E-01
    47    8330.915537   3.490288E-01   6.080637E+14    3.23006E+34   9.690657604E-01  -3.536502E-01   1.033533923E+00
    48    8874.524811   2.998027E-01   5.182739E+14    2.16554E+34   1.113541397E+00  -3.338984E-01   1.207619750E+00
    49    9347.536033   2.598884E-01   4.467518E+14    1.38017E+34   1.233356021E+00  -3.165523E-01   1.355719720E+00
    50    9730.969641   2.209845E-01   3.781169E+14    8.44230E+33   1.324390368E+00  -3.025637E-01   1.470288665E+00
    51   10030.623393   1.668513E-01   2.837544E+14    5.31047E+33   1.382677931E+00  -2.918074E-01   1.544648048E+00
    52   10297.878555   1.385808E-01   2.349936E+14    3.08208E+33   1.427989206E+00  -2.824527E-01   1.602847016E+00
    53   10496.789768   1.139293E-01   1.927573E+14    1.75575E+33   1.457096560E+00  -2.756655E-01   1.640372718E+00
    54   10641.472660   9.220979E-02   1.557299E+14    9.89044E+32   1.474944846E+00  -2.708375E-01   1.663427856E+00
    55   10745.893448   6.800936E-02   1.145478E+14    5.69435E+32   1.485155682E+00  -2.674175E-01   1.676635569E+00
    56   10829.687894   4.960556E-02   8.331290E+13    3.28440E+32   1.491230154E+00  -2.647173E-01   1.684506038E+00
    57   10897.505939   3.611966E-02   6.048988E+13    1.88870E+32   1.494854018E+00  -2.625633E-01   1.689208595E+00
    58   10952.124749   2.626836E-02   4.386564E+13    1.08382E+32   1.496996126E+00  -2.608502E-01   1.691992745E+00
    59   10995.936815   1.873274E-02   3.122343E+13    6.22312E+31   1.498249514E+00  -2.594905E-01   1.693624361E+00
    60   11031.666543   1.272838E-02   2.121467E+13    3.63915E+31   1.498962960E+00  -2.583913E-01   1.694552744E+00
    61   11062.690309   8.531319E-03   1.421886E+13    2.13816E+31   1.499383216E+00  -2.574441E-01   1.695099250E+00
    62   11090.095055   5.536590E-03   9.227650E+12    1.26441E+31   1.499630873E+00  -2.566131E-01   1.695421017E+00
    63   11115.234585   3.614072E-03   6.023932E+12    7.53387E+30   1.499777329E+00  -2.558554E-01   1.695611161E+00
    64   11138.321445   2.036717E-03   3.394105E+12    4.76754E+30   1.499857397E+00  -2.551636E-01   1.695715029E+00
    65   11164.389981   1.150510E-03   1.917368E+12    2.95623E+30   1.499910354E+00  -2.543869E-01   1.695783676E+00
    66   11193.178077   5.397131E-04   8.995218E+11    1.96347E+30   1.499939692E+00  -2.535348E-01   1.695821681E+00
    67   11234.185107   3.294292E-04   5.490487E+11    1.19918E+30   1.499962601E+00  -2.523309E-01   1.695851327E+00
    68   11275.617346   2.123698E-04   3.539496E+11    7.15224E+29   1.499977359E+00  -2.511264E-01   1.695870403E+00
    69   11314.332956   1.373286E-04   2.288810E+11    4.26343E+29   1.499986318E+00  -2.500114E-01   1.695881969E+00
    70   11350.353983   8.968241E-05   1.494707E+11    2.53027E+29   1.499991777E+00  -2.489830E-01   1.695889009E+00
    71   11383.372079   5.855719E-05   9.759531E+10    1.50135E+29   1.499995065E+00  -2.480479E-01   1.695893245E+00
    72   11413.613726   3.850372E-05   6.417287E+10    8.90145E+28   1.499997043E+00  -2.471978E-01   1.695895792E+00
    73   11441.078524   2.544287E-05   4.240479E+10    5.25726E+28   1.499998237E+00  -2.464308E-01   1.695897328E+00
    74   11465.786417   1.680992E-05   2.801653E+10    3.10439E+28   1.499998950E+00  -2.457449E-01   1.695898244E+00
    75   11487.998327   1.110472E-05   1.850786E+10    1.83282E+28   1.499999376E+00  -2.451316E-01   1.695898790E+00
    76   11507.953617   7.334959E-06   1.222493E+10    1.08193E+28   1.499999629E+00  -2.445833E-01   1.695899116E+00
