       6     155      55      70
 
     EOS file :  /Users/dany/Work/NStar/EOS/v14/APR_EOS_Cat.dat              
 
  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   
 
     0       0.000000   1.138318E+00   2.744472E+15    1.69900E+36   0.000000000E+00  -1.422571E+00   0.000000000E+00
     1      10.000000   1.138317E+00   2.744467E+15    1.69899E+36   5.779788939E-09  -1.422570E+00   4.014802929E-09
     2      11.666663   1.138317E+00   2.744466E+15    1.69899E+36   9.178081410E-09  -1.422569E+00   6.375353689E-09
     3      13.611103   1.138316E+00   2.744463E+15    1.69899E+36   1.457443336E-08  -1.422569E+00   1.012381595E-08
     4      15.879613   1.138315E+00   2.744460E+15    1.69898E+36   2.314361741E-08  -1.422568E+00   1.607622458E-08
     5      18.526206   1.138314E+00   2.744456E+15    1.69898E+36   3.675111465E-08  -1.422567E+00   2.552840608E-08
     6      21.613891   1.138313E+00   2.744450E+15    1.69897E+36   5.835920895E-08  -1.422565E+00   4.053807062E-08
     7      25.216181   1.138311E+00   2.744443E+15    1.69896E+36   9.267183039E-08  -1.422563E+00   6.437275479E-08
     8      29.418838   1.138308E+00   2.744432E+15    1.69895E+36   1.471585010E-07  -1.422560E+00   1.022211188E-07
     9      34.321915   1.138305E+00   2.744417E+15    1.69893E+36   2.336802320E-07  -1.422556E+00   1.623224182E-07
    10      40.042135   1.138300E+00   2.744398E+15    1.69891E+36   3.710711940E-07  -1.422550E+00   2.577599733E-07
    11      46.715666   1.138293E+00   2.744371E+15    1.69888E+36   5.892378903E-07  -1.422542E+00   4.093089367E-07
    12      54.501359   1.138284E+00   2.744335E+15    1.69883E+36   9.356675816E-07  -1.422532E+00   6.499580214E-07
    13      63.584521   1.138272E+00   2.744285E+15    1.69877E+36   1.485761452E-06  -1.422518E+00   1.032088927E-06
    14      74.181309   1.138256E+00   2.744218E+15    1.69869E+36   2.359239032E-06  -1.422499E+00   1.638875033E-06
    15      86.543856   1.138233E+00   2.744126E+15    1.69859E+36   3.746178620E-06  -1.422473E+00   2.602377850E-06
    16     100.966238   1.138202E+00   2.744001E+15    1.69844E+36   5.948348604E-06  -1.422437E+00   4.132274322E-06
    17     117.791412   1.138160E+00   2.743831E+15    1.69824E+36   9.444797123E-06  -1.422389E+00   6.561454852E-06
    18     137.419295   1.138103E+00   2.743600E+15    1.69796E+36   1.499591320E-05  -1.422323E+00   1.041838838E-05
    19     160.316128   1.138026E+00   2.743285E+15    1.69759E+36   2.380847154E-05  -1.422234E+00   1.654194276E-05
    20     187.025351   1.137920E+00   2.742856E+15    1.69708E+36   3.779728484E-05  -1.422112E+00   2.626351512E-05
    21     218.180157   1.137776E+00   2.742273E+15    1.69639E+36   5.999976399E-05  -1.421946E+00   4.169581597E-05
    22     254.517983   1.137581E+00   2.741480E+15    1.69545E+36   9.523221001E-05  -1.421720E+00   6.619051519E-05
    23     296.897122   1.137315E+00   2.740402E+15    1.69417E+36   1.511276394E-04  -1.421413E+00   1.050629556E-04
    24     346.315668   1.136953E+00   2.738936E+15    1.69244E+36   2.397744630E-04  -1.420996E+00   1.667386363E-04
    25     403.932925   1.136462E+00   2.736943E+15    1.69008E+36   3.802985449E-04  -1.420429E+00   2.645644534E-04
    26     471.093283   1.135794E+00   2.734236E+15    1.68688E+36   6.029202669E-04  -1.419658E+00   4.196648184E-04
    27     549.352356   1.134887E+00   2.730562E+15    1.68254E+36   9.553046241E-04  -1.418611E+00   6.654340135E-04
    28     640.504781   1.133656E+00   2.725578E+15    1.67667E+36   1.512447856E-03  -1.417190E+00   1.054577737E-03
    29     746.612477   1.131987E+00   2.718829E+15    1.66872E+36   2.391958535E-03  -1.415263E+00   1.670098291E-03
    30     870.031148   1.129729E+00   2.709712E+15    1.65802E+36   3.777441067E-03  -1.412655E+00   2.642321566E-03
    31    1013.430994   1.126680E+00   2.697492E+15    1.64362E+36   5.953811553E-03  -1.409132E+00   4.175052503E-03
    32    1179.803344   1.122571E+00   2.681063E+15    1.62437E+36   9.359453140E-03  -1.404383E+00   6.585215533E-03
    33    1372.455686   1.117057E+00   2.659121E+15    1.59877E+36   1.466144185E-02  -1.398005E+00   1.036211486E-02
    34    1594.961061   1.109690E+00   2.629983E+15    1.56499E+36   2.285953726E-02  -1.389479E+00   1.625358654E-02
    35    1851.065438   1.099930E+00   2.591730E+15    1.52089E+36   3.542169430E-02  -1.378150E+00   2.538756600E-02
    36    2144.503996   1.087059E+00   2.542043E+15    1.46411E+36   5.444354759E-02  -1.363219E+00   3.943411925E-02
    37    2478.732602   1.070311E+00   2.478472E+15    1.39231E+36   8.280750908E-02  -1.343744E+00   6.080736293E-02
    38    2856.527886   1.048820E+00   2.398682E+15    1.30353E+36   1.242764716E-01  -1.318682E+00   9.288468904E-02
    39    3279.441858   1.021644E+00   2.300556E+15    1.19686E+36   1.834228487E-01  -1.286971E+00   1.401859691E-01
    40    3747.205361   9.880089E-01   2.183415E+15    1.07301E+36   2.652594605E-01  -1.247675E+00   2.084141137E-01
    41    4256.965751   9.473578E-01   2.047896E+15    9.35001E+35   3.744216242E-01  -1.200194E+00   3.041629054E-01
    42    4802.683016   8.994900E-01   1.896236E+15    7.88313E+35   5.139211807E-01  -1.144517E+00   4.341137533E-01
    43    5374.785242   8.447506E-01   1.732912E+15    6.40386E+35   6.836740117E-01  -1.081442E+00   6.035629477E-01
    44    5960.028001   7.840307E-01   1.563208E+15    4.99479E+35   8.792374864E-01  -1.012737E+00   8.142597745E-01
    45    6542.131895   7.187273E-01   1.393113E+15    3.73080E+35   1.091439412E+00  -9.411019E-01   1.062091168E+00
    46    7102.886668   6.506134E-01   1.227926E+15    2.66491E+35   1.307317934E+00  -8.699273E-01   1.335468068E+00
    47    7624.102896   5.816476E-01   1.071920E+15    1.82032E+35   1.512441475E+00  -8.027953E-01   1.615865778E+00
    48    8089.951447   5.137113E-01   9.277397E+14    1.19088E+35   1.693987389E+00  -7.428474E-01   1.881308307E+00
    49    8489.363875   4.484131E-01   7.965947E+14    7.48541E+34   1.843471993E+00  -6.921857E-01   2.112167497E+00
    50    8817.617478   3.868320E-01   6.784304E+14    4.54186E+34   1.958066903E+00  -6.515643E-01   2.296503368E+00
    51    9076.640069   3.294249E-01   5.721321E+14    2.67677E+34   2.040087788E+00  -6.204777E-01   2.432140449E+00
    52    9273.983396   2.707153E-01   4.660282E+14    1.56707E+34   2.094039914E+00  -5.975597E-01   2.522980474E+00
    53    9425.964417   2.249068E-01   3.849989E+14    8.89764E+33   2.129837934E+00  -5.804716E-01   2.583822059E+00
    54    9536.547383   1.657642E-01   2.818711E+14    5.20894E+33   2.150639018E+00  -5.683940E-01   2.619369321E+00
    55    9628.666384   1.357750E-01   2.301780E+14    2.90552E+33   2.164353381E+00  -5.585982E-01   2.642858259E+00
    56    9694.019192   1.105368E-01   1.869575E+14    1.61115E+33   2.172412042E+00  -5.518047E-01   2.656652574E+00
    57    9739.875835   8.877353E-02   1.499193E+14    8.92163E+32   2.177035676E+00  -5.471185E-01   2.664560639E+00
    58    9772.165263   6.778168E-02   1.145160E+14    4.93975E+32   2.179656479E+00  -5.438602E-01   2.669033011E+00
    59    9795.893295   4.851715E-02   8.183399E+13    2.84281E+32   2.181059689E+00  -5.414886E-01   2.671425425E+00
    60    9815.191715   3.410324E-02   5.746018E+13    1.64420E+32   2.181872196E+00  -5.395745E-01   2.672810363E+00
    61    9831.216810   2.393913E-02   4.029296E+13    9.51101E+31   2.182347130E+00  -5.379954E-01   2.673619556E+00
    62    9844.525785   1.676060E-02   2.818396E+13    5.50091E+31   2.182624415E+00  -5.366911E-01   2.674091872E+00
    63    9855.592795   1.171543E-02   1.968328E+13    3.18368E+31   2.182785866E+00  -5.356116E-01   2.674366819E+00
    64    9864.807304   8.162202E-03   1.370361E+13    1.84271E+31   2.182879891E+00  -5.347163E-01   2.674526925E+00
    65    9872.498002   5.626480E-03   9.443766E+12    1.07049E+31   2.182934325E+00  -5.339716E-01   2.674619585E+00
    66    9879.002246   3.784628E-03   6.348726E+12    6.28382E+30   2.182965627E+00  -5.333434E-01   2.674672856E+00
    67    9884.697013   2.299089E-03   3.854876E+12    3.81484E+30   2.182983173E+00  -5.327948E-01   2.674702714E+00
    68    9890.403626   1.343317E-03   2.250972E+12    2.32548E+30   2.182993792E+00  -5.322462E-01   2.674720785E+00
    69    9896.374130   7.290464E-04   1.220420E+12    1.46638E+30   2.182999938E+00  -5.316736E-01   2.674731246E+00
    70    9903.333102   4.191941E-04   7.013279E+11    9.11831E+29   2.183003920E+00  -5.310079E-01   2.674738026E+00
    71    9910.882993   2.089036E-04   3.490588E+11    6.18957E+29   2.183006031E+00  -5.302877E-01   2.674741622E+00
    72    9921.205108   1.347031E-04   2.249404E+11    3.69397E+29   2.183007840E+00  -5.293065E-01   2.674744702E+00
    73    9930.804667   8.843777E-05   1.475759E+11    2.18161E+29   2.183008942E+00  -5.283975E-01   2.674746579E+00
    74    9939.480185   5.734084E-05   9.557245E+10    1.29656E+29   2.183009591E+00  -5.275790E-01   2.674747684E+00
    75    9947.469700   3.811595E-05   6.351068E+10    7.65848E+28   2.183009982E+00  -5.268276E-01   2.674748350E+00
    76    9954.594630   2.458955E-05   4.093784E+10    4.51261E+28   2.183010215E+00  -5.261595E-01   2.674748746E+00
