       6     138      38      53

     EOS file :  Prof_BSk24_2.0.dat                                          

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   6.013580E-01   1.164037E+15    2.79229E+35   0.000000000E+00  -7.226459E-01   0.000000000E+00
     1     100.000001   6.013205E-01   1.163945E+15    2.79180E+35   2.451246708E-06  -7.226086E-01   2.120880836E-06
     2     116.664972   6.013086E-01   1.163916E+15    2.79164E+35   3.892297950E-06  -7.225968E-01   3.367746988E-06
     3     136.106807   6.012923E-01   1.163876E+15    2.79143E+35   6.180418913E-06  -7.225807E-01   5.347581212E-06
     4     158.787849   6.012703E-01   1.163822E+15    2.79114E+35   9.813405545E-06  -7.225588E-01   8.491175487E-06
     5     185.247250   6.012402E-01   1.163749E+15    2.79074E+35   1.558144953E-05  -7.225290E-01   1.348241868E-05
     6     216.113615   6.011994E-01   1.163649E+15    2.79020E+35   2.473871979E-05  -7.224885E-01   2.140688433E-05
     7     252.119675   6.011437E-01   1.163513E+15    2.78947E+35   3.927543740E-05  -7.224333E-01   3.398752277E-05
     8     294.119257   6.010680E-01   1.163328E+15    2.78848E+35   6.234907812E-05  -7.223582E-01   5.395837079E-05
     9     343.106863   6.009650E-01   1.163076E+15    2.78712E+35   9.896728831E-05  -7.222560E-01   8.565677788E-05
    10     400.240155   6.008249E-01   1.162734E+15    2.78528E+35   1.570684094E-04  -7.221171E-01   1.359612271E-04
    11     466.865636   6.006343E-01   1.162268E+15    2.78278E+35   2.492288608E-04  -7.219280E-01   2.157749256E-04
    12     544.547720   6.003751E-01   1.161635E+15    2.77937E+35   3.953562092E-04  -7.216710E-01   3.423695497E-04
    13     635.101248   6.000227E-01   1.160775E+15    2.77475E+35   6.269265496E-04  -7.213215E-01   5.430808917E-04
    14     740.627229   5.995438E-01   1.159605E+15    2.76848E+35   9.936293864E-04  -7.208468E-01   8.611212369E-04
    15     863.551069   5.988934E-01   1.158018E+15    2.75997E+35   1.573739842E-03  -7.202021E-01   1.364688715E-03
    16    1006.661757   5.980107E-01   1.155864E+15    2.74846E+35   2.490206310E-03  -7.193275E-01   2.161174875E-03
    17    1173.149142   5.968141E-01   1.152945E+15    2.73289E+35   3.935384212E-03  -7.181423E-01   3.419176534E-03
    18    1366.634372   5.951942E-01   1.148996E+15    2.71192E+35   6.208598785E-03  -7.165388E-01   5.402285250E-03
    19    1591.185425   5.930055E-01   1.143666E+15    2.68375E+35   9.772214071E-03  -7.143740E-01   8.520291981E-03
    20    1851.305052   5.900613E-01   1.136528E+15    2.64608E+35   1.533333362E-02  -7.114600E-01   1.340539665E-02
    21    2151.863014   5.861124E-01   1.126994E+15    2.59604E+35   2.395861669E-02  -7.075527E-01   2.102252126E-02
    22    2497.969189   5.808343E-01   1.114275E+15    2.53012E+35   3.722646426E-02  -7.023411E-01   3.282324879E-02
    23    2894.733785   5.738448E-01   1.097577E+15    2.44425E+35   5.741410235E-02  -6.954386E-01   5.094892580E-02
    24    3346.806228   5.646539E-01   1.075773E+15    2.33405E+35   8.768618250E-02  -6.863822E-01   7.846910547E-02
    25    3857.798275   5.527124E-01   1.047731E+15    2.19533E+35   1.322250972E-01  -6.746462E-01   1.196193182E-01
    26    4429.363167   5.374269E-01   1.012304E+15    2.02505E+35   1.961580568E-01  -6.596822E-01   1.799246017E-01
    27    5060.056585   5.182325E-01   9.685633E+14    1.82259E+35   2.850818055E-01  -6.409984E-01   2.660163878E-01
    28    5744.007562   4.946959E-01   9.160297E+14    1.59124E+35   4.039760176E-01  -6.182855E-01   3.848528700E-01
    29    6469.707153   4.666435E-01   8.549194E+14    1.33937E+35   5.554234054E-01  -5.915819E-01   5.420565250E-01
    30    7219.353322   4.343230E-01   7.864694E+14    1.08035E+35   7.375164333E-01  -5.614411E-01   7.393660934E-01
    31    7969.213925   3.984724E-01   7.128538E+14    8.30782E+34   9.422932331E-01  -5.290305E-01   9.717981512E-01
    32    8691.620828   3.603106E-01   6.370012E+14    6.06900E+34   1.155979662E+00  -4.960672E-01   1.226056197E+00
    33    9358.483106   3.213345E-01   5.619695E+14    4.20618E+34   1.361631720E+00  -4.645439E-01   1.481910638E+00
    34    9945.841251   2.830629E-01   4.904612E+14    2.76918E+34   1.543534822E+00  -4.362947E-01   1.717179703E+00
    35   10437.987674   2.467450E-01   4.243546E+14    1.73848E+34   1.691319674E+00  -4.125801E-01   1.914323733E+00
    36   10829.925585   2.131925E-01   3.645824E+14    1.04706E+34   1.801882432E+00  -3.938702E-01   2.065154533E+00
    37   11127.209903   1.827534E-01   3.112532E+14    6.09682E+33   1.878508439E+00  -3.799020E-01   2.171239207E+00
    38   11343.227942   1.554100E-01   2.639293E+14    3.46140E+33   1.928173520E+00  -3.699341E-01   2.240603990E+00
    39   11495.035114   1.309755E-01   2.219958E+14    1.93205E+33   1.958651730E+00  -3.630494E-01   2.283373160E+00
    40   11599.414570   1.094258E-01   1.852171E+14    1.06737E+33   1.976612934E+00  -3.583858E-01   2.308635071E+00
    41   11670.297998   9.059660E-02   1.531920E+14    5.86110E+32   1.986913945E+00  -3.552566E-01   2.323136994E+00
    42   11718.195564   5.368188E-02   9.059048E+13    3.36002E+32   1.992379559E+00  -3.531618E-01   2.330835795E+00
    43   11765.142284   3.797332E-02   6.400100E+13    1.94163E+32   1.995533259E+00  -3.511270E-01   2.335283020E+00
    44   11804.003004   2.668613E-02   4.493086E+13    1.12513E+32   1.997380096E+00  -3.494580E-01   2.337886985E+00
    45   11836.402496   1.872395E-02   3.149382E+13    6.51476E+31   1.998467235E+00  -3.480775E-01   2.339419604E+00
    46   11863.393366   1.309617E-02   2.200896E+13    3.77413E+31   1.999104128E+00  -3.469354E-01   2.340317361E+00
    47   11885.926889   9.156975E-03   1.537568E+13    2.18537E+31   1.999477231E+00  -3.459875E-01   2.340843246E+00
    48   11904.714496   6.332881E-03   1.063048E+13    1.26923E+31   1.999694274E+00  -3.452012E-01   2.341149113E+00
    49   11920.574753   4.272109E-03   7.167745E+12    7.41929E+30   1.999820125E+00  -3.445401E-01   2.341326408E+00
    50   11934.381600   2.663827E-03   4.467065E+12    4.42088E+30   1.999892136E+00  -3.439668E-01   2.341427849E+00
    51   11947.628648   1.628847E-03   2.730209E+12    2.68489E+30   1.999934064E+00  -3.434185E-01   2.341486909E+00
    52   11960.835574   8.784607E-04   1.471095E+12    1.69419E+30   1.999958120E+00  -3.428737E-01   2.341520798E+00
    53   11976.350230   4.957151E-04   8.294187E+11    1.06108E+30   1.999973582E+00  -3.422359E-01   2.341542590E+00
    54   11993.648814   2.234617E-04   3.733846E+11    6.63232E+29   1.999983362E+00  -3.415277E-01   2.341556374E+00
    55   12017.757522   1.431860E-04   2.391025E+11    3.97708E+29   1.999989943E+00  -3.405458E-01   2.341565653E+00
    56   12040.471605   9.433545E-05   1.574409E+11    2.35447E+29   1.999994005E+00  -3.396260E-01   2.341571379E+00
    57   12061.012065   6.114521E-05   1.019194E+11    1.40069E+29   1.999996414E+00  -3.387987E-01   2.341574775E+00
    58   12079.986803   4.049018E-05   6.747073E+10    8.30144E+28   1.999997867E+00  -3.380381E-01   2.341576824E+00
    59   12097.056485   2.635646E-05   4.388452E+10    4.88983E+28   1.999998743E+00  -3.373569E-01   2.341578057E+00
    60   12112.581925   1.757324E-05   2.925388E+10    2.88287E+28   1.999999262E+00  -3.367398E-01   2.341578788E+00
    61   12126.367198   1.149620E-05   1.912595E+10    1.70420E+28   1.999999568E+00  -3.361939E-01   2.341579220E+00
    62   12138.874918   7.444878E-06   1.238403E+10    1.01011E+28   1.999999750E+00  -3.357001E-01   2.341579476E+00
    63   12150.360351   4.994664E-06   8.304579E+09    5.92630E+27   1.999999859E+00  -3.352480E-01   2.341579630E+00
    64   12160.438281   3.327040E-06   5.530097E+09    3.47944E+27   1.999999924E+00  -3.348524E-01   2.341579721E+00
    65   12169.346413   2.210350E-06   3.672388E+09    2.05057E+27   1.999999962E+00  -3.345034E-01   2.341579774E+00
    66   12177.269769   1.483567E-06   2.464541E+09    1.20256E+27   1.999999984E+00  -3.341937E-01   2.341579806E+00
    67   12184.207565   9.962779E-07   1.654535E+09    7.05081E+26   1.999999998E+00  -3.339230E-01   2.341579825E+00
    68   12190.277357   6.324062E-07   1.049993E+09    4.15557E+26   2.000000005E+00  -3.336865E-01   2.341579836E+00
    69   12195.922923   4.252079E-07   7.058861E+08    2.43504E+26   2.000000010E+00  -3.334669E-01   2.341579842E+00
    70   12200.850719   2.860064E-07   4.747676E+08    1.42663E+26   2.000000013E+00  -3.332755E-01   2.341579846E+00
    71   12205.148569   1.916150E-07   3.181200E+08    8.35985E+25   2.000000014E+00  -3.331087E-01   2.341579848E+00
    72   12208.911237   1.270422E-07   2.108453E+08    4.95514E+25   2.000000015E+00  -3.329628E-01   2.341579850E+00
    73   12212.279361   8.573225E-08   1.422759E+08    2.89904E+25   2.000000016E+00  -3.328323E-01   2.341579850E+00
    74   12215.202082   5.801009E-08   9.625152E+07    1.69482E+25   2.000000016E+00  -3.327192E-01   2.341579851E+00
    75   12217.729636   3.927754E-08   6.515630E+07    9.90389E+24   2.000000016E+00  -3.326214E-01   2.341579851E+00
    76   12219.912916   2.670087E-08   4.429973E+07    5.77812E+24   2.000000016E+00  -3.325370E-01   2.341579851E+00
