       6    6152    3240    3290

     EOS file :  StrangeEOS_03_140_250_Acc-Fe.dat                            

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   8.154137E-01   1.568599E+15    3.07011E+35   0.000000000E+00  -6.895217E-01   0.000000000E+00
     1      10.000000   8.154124E-01   1.568596E+15    3.07010E+35   3.303429394E-09  -6.895212E-01   2.875929086E-09
     2      10.033333   8.154124E-01   1.568596E+15    3.07010E+35   3.336573874E-09  -6.895212E-01   2.904784310E-09
     3      10.066778   8.154124E-01   1.568596E+15    3.07010E+35   3.370050904E-09  -6.895212E-01   2.933929048E-09
     4      10.100334   8.154124E-01   1.568596E+15    3.07010E+35   3.403863821E-09  -6.895212E-01   2.963366206E-09
     5      10.134001   8.154124E-01   1.568596E+15    3.07010E+35   3.438015994E-09  -6.895212E-01   2.993098717E-09
     6      10.167781   8.154124E-01   1.568596E+15    3.07010E+35   3.472510828E-09  -6.895212E-01   3.023129545E-09
     7      10.201674   8.154124E-01   1.568596E+15    3.07010E+35   3.507351760E-09  -6.895212E-01   3.053461683E-09
     8      10.235679   8.154124E-01   1.568596E+15    3.07010E+35   3.542542264E-09  -6.895212E-01   3.084098153E-09
     9      10.269798   8.154124E-01   1.568596E+15    3.07010E+35   3.578085846E-09  -6.895212E-01   3.115042011E-09
    10      10.304031   8.154124E-01   1.568596E+15    3.07010E+35   3.613986049E-09  -6.895212E-01   3.146296338E-09
    11      10.338378   8.154124E-01   1.568596E+15    3.07010E+35   3.650246451E-09  -6.895212E-01   3.177864251E-09
    12      10.372839   8.154124E-01   1.568596E+15    3.07010E+35   3.686870666E-09  -6.895212E-01   3.209748896E-09
    13      10.407415   8.154124E-01   1.568596E+15    3.07010E+35   3.723862344E-09  -6.895212E-01   3.241953451E-09
    14      10.442106   8.154124E-01   1.568596E+15    3.07010E+35   3.761225172E-09  -6.895212E-01   3.274481125E-09
    15      10.476913   8.154123E-01   1.568596E+15    3.07010E+35   3.798962875E-09  -6.895212E-01   3.307335161E-09
    16      10.511836   8.154123E-01   1.568596E+15    3.07010E+35   3.837079213E-09  -6.895212E-01   3.340518833E-09
    17      10.546875   8.154123E-01   1.568596E+15    3.07010E+35   3.875577985E-09  -6.895211E-01   3.374035448E-09
    18      10.582032   8.154123E-01   1.568596E+15    3.07010E+35   3.914463029E-09  -6.895211E-01   3.407888347E-09
    19      10.617305   8.154123E-01   1.568596E+15    3.07010E+35   3.953738219E-09  -6.895211E-01   3.442080904E-09
    20      10.652696   8.154123E-01   1.568596E+15    3.07010E+35   3.993407471E-09  -6.895211E-01   3.476616527E-09
    21      10.688205   8.154123E-01   1.568596E+15    3.07010E+35   4.033474738E-09  -6.895211E-01   3.511498658E-09
    22      10.723832   8.154123E-01   1.568596E+15    3.07010E+35   4.073944013E-09  -6.895211E-01   3.546730773E-09
    23      10.759578   8.154123E-01   1.568596E+15    3.07010E+35   4.114819331E-09  -6.895211E-01   3.582316384E-09
    24      10.795444   8.154123E-01   1.568596E+15    3.07010E+35   4.156104765E-09  -6.895211E-01   3.618259038E-09
    25      10.831428   8.154123E-01   1.568596E+15    3.07010E+35   4.197804429E-09  -6.895211E-01   3.654562317E-09
    26      10.867533   8.154123E-01   1.568596E+15    3.07010E+35   4.239922481E-09  -6.895211E-01   3.691229840E-09
    27      10.903758   8.154122E-01   1.568596E+15    3.07010E+35   4.282463117E-09  -6.895211E-01   3.728265260E-09
    28      10.940104   8.154122E-01   1.568596E+15    3.07010E+35   4.325430578E-09  -6.895211E-01   3.765672270E-09
    29      10.976571   8.154122E-01   1.568596E+15    3.07010E+35   4.368829146E-09  -6.895211E-01   3.803454597E-09
    30      11.013159   8.154122E-01   1.568596E+15    3.07010E+35   4.412663146E-09  -6.895211E-01   3.841616007E-09
    31      11.049870   8.154122E-01   1.568596E+15    3.07010E+35   4.456936948E-09  -6.895211E-01   3.880160304E-09
    32      11.086703   8.154122E-01   1.568596E+15    3.07010E+35   4.501654964E-09  -6.895211E-01   3.919091330E-09
    33      11.123658   8.154122E-01   1.568596E+15    3.07010E+35   4.546821651E-09  -6.895211E-01   3.958412963E-09
    34      11.160737   8.154122E-01   1.568596E+15    3.07010E+35   4.592441511E-09  -6.895211E-01   3.998129125E-09
    35      11.197939   8.154122E-01   1.568596E+15    3.07010E+35   4.638519090E-09  -6.895211E-01   4.038243772E-09
    36      11.235266   8.154122E-01   1.568596E+15    3.07010E+35   4.685058981E-09  -6.895211E-01   4.078760903E-09
    37      11.272717   8.154122E-01   1.568596E+15    3.07010E+35   4.732065823E-09  -6.895211E-01   4.119684557E-09
    38      11.310292   8.154121E-01   1.568596E+15    3.07010E+35   4.779544300E-09  -6.895211E-01   4.161018812E-09
    39      11.347993   8.154121E-01   1.568596E+15    3.07010E+35   4.827499145E-09  -6.895211E-01   4.202767787E-09
    40      11.385820   8.154121E-01   1.568596E+15    3.07010E+35   4.875935137E-09  -6.895211E-01   4.244935645E-09
    41      11.423773   8.154121E-01   1.568596E+15    3.07010E+35   4.924857104E-09  -6.895211E-01   4.287526587E-09
    42      11.461852   8.154121E-01   1.568596E+15    3.07010E+35   4.974269921E-09  -6.895211E-01   4.330544859E-09
    43      11.500058   8.154121E-01   1.568596E+15    3.07010E+35   5.024178514E-09  -6.895211E-01   4.373994747E-09
    44      11.538391   8.154121E-01   1.568596E+15    3.07010E+35   5.074587856E-09  -6.895211E-01   4.417880584E-09
    45      11.576853   8.154121E-01   1.568595E+15    3.07010E+35   5.125502973E-09  -6.895211E-01   4.462206742E-09
    46      11.615442   8.154121E-01   1.568595E+15    3.07010E+35   5.176928937E-09  -6.895211E-01   4.506977640E-09
    47      11.654160   8.154121E-01   1.568595E+15    3.07009E+35   5.228870876E-09  -6.895210E-01   4.552197739E-09
    48      11.693007   8.154120E-01   1.568595E+15    3.07009E+35   5.281333966E-09  -6.895210E-01   4.597871548E-09
    49      11.731984   8.154120E-01   1.568595E+15    3.07009E+35   5.334323436E-09  -6.895210E-01   4.644003617E-09
    50      11.771090   8.154120E-01   1.568595E+15    3.07009E+35   5.387844566E-09  -6.895210E-01   4.690598545E-09
    51      11.810327   8.154120E-01   1.568595E+15    3.07009E+35   5.441902692E-09  -6.895210E-01   4.737660976E-09
    52      11.849695   8.154120E-01   1.568595E+15    3.07009E+35   5.496503202E-09  -6.895210E-01   4.785195601E-09
    53      11.889194   8.154120E-01   1.568595E+15    3.07009E+35   5.551651536E-09  -6.895210E-01   4.833207156E-09
    54      11.928824   8.154120E-01   1.568595E+15    3.07009E+35   5.607353193E-09  -6.895210E-01   4.881700428E-09
    55      11.968587   8.154120E-01   1.568595E+15    3.07009E+35   5.663613722E-09  -6.895210E-01   4.930680250E-09
    56      12.008482   8.154120E-01   1.568595E+15    3.07009E+35   5.720438733E-09  -6.895210E-01   4.980151503E-09
    57      12.048511   8.154120E-01   1.568595E+15    3.07009E+35   5.777833887E-09  -6.895210E-01   5.030119117E-09
    58      12.088672   8.154119E-01   1.568595E+15    3.07009E+35   5.835804906E-09  -6.895210E-01   5.080588074E-09
    59      12.128968   8.154119E-01   1.568595E+15    3.07009E+35   5.894357568E-09  -6.895210E-01   5.131563404E-09
    60      12.169398   8.154119E-01   1.568595E+15    3.07009E+35   5.953497709E-09  -6.895210E-01   5.183050186E-09
    61      12.209962   8.154119E-01   1.568595E+15    3.07009E+35   6.013231222E-09  -6.895210E-01   5.235053552E-09
    62      12.250662   8.154119E-01   1.568595E+15    3.07009E+35   6.073564061E-09  -6.895210E-01   5.287578686E-09
    63      12.291497   8.154119E-01   1.568595E+15    3.07009E+35   6.134502239E-09  -6.895210E-01   5.340630823E-09
    64      12.332469   8.154119E-01   1.568595E+15    3.07009E+35   6.196051831E-09  -6.895210E-01   5.394215249E-09
    65      12.373577   8.154119E-01   1.568595E+15    3.07009E+35   6.258218970E-09  -6.895210E-01   5.448337307E-09
    66      12.414822   8.154119E-01   1.568595E+15    3.07009E+35   6.321009853E-09  -6.895210E-01   5.503002389E-09
    67      12.456205   8.154118E-01   1.568595E+15    3.07009E+35   6.384430737E-09  -6.895210E-01   5.558215945E-09
    68      12.497726   8.154118E-01   1.568595E+15    3.07009E+35   6.448487944E-09  -6.895210E-01   5.613983477E-09
    69      12.539385   8.154118E-01   1.568595E+15    3.07009E+35   6.513187858E-09  -6.895210E-01   5.670310544E-09
    70      12.581183   8.154118E-01   1.568595E+15    3.07009E+35   6.578536928E-09  -6.895210E-01   5.727202759E-09
    71      12.623120   8.154118E-01   1.568595E+15    3.07009E+35   6.644541667E-09  -6.895210E-01   5.784665793E-09
    72      12.665197   8.154118E-01   1.568595E+15    3.07009E+35   6.711208653E-09  -6.895209E-01   5.842705373E-09
    73      12.707414   8.154118E-01   1.568595E+15    3.07009E+35   6.778544530E-09  -6.895209E-01   5.901327284E-09
    74      12.749772   8.154118E-01   1.568595E+15    3.07009E+35   6.846556011E-09  -6.895209E-01   5.960537368E-09
    75      12.792271   8.154118E-01   1.568595E+15    3.07009E+35   6.915249874E-09  -6.895209E-01   6.020341527E-09
    76      12.834912   8.154117E-01   1.568595E+15    3.07009E+35   6.984632964E-09  -6.895209E-01   6.080745722E-09
    77      12.877695   8.154117E-01   1.568595E+15    3.07009E+35   7.054712198E-09  -6.895209E-01   6.141755972E-09
