  6    11

      Original data from Negele & Vautherin, Table 3

     n     N_cell   Z   mu_n    mu_p     rho_n     x     E/A-m    E/A-m
  (#/fm3)              (MeV)   (MeV)   (#/fm3)  (Z/N)    (MeV)    (MeV)

 2.790E-04   140   40    0.2   -26.8   4.90e-5   0.53   -1.425    0.436
 4.000E-04   160   40    0.3   -29.4   9.70e-5   0.53   -0.962    0.543
 6.000E-04   210   40    0.6   -29.5   2.60e-4   0.53   -0.462    0.692
 8.790E-04   280   40    1.0   -28.4   4.80e-4   0.53   -0.050    0.865
 1.590E-03   460   40    1.4   -29.4   1.20e-3   0.52    0.541    1.214
 3.730E-03   900   50    2.6   -33.6   3.00e-3   0.46    1.465    1.926
 5.770E-03  1050   50    3.3   -34.5   4.70e-3   0.45    1.996    2.408
 8.910E-03  1300   50    4.2   -35.8   7.80e-3   0.44    2.610    2.981
 2.040E-02  1750   50    6.5   -43.6   1.84e-2   0.35    4.097    4.422
 4.750E-02  1460   40   10.9   -54.0   4.36e-2   0.28    6.428    6.660
 7.890E-02   950   32   15.0   -68.3   7.37e-2   0.16    8.611    8.657

N_cell  = number of neutrons per WS cell
Z       = number of protons per cluster

From: Negele & Vautherin, 1973, Table 3

