     4      40     itext   idata

      rho          P           n         A_cell       A_ion          Z
    (g/cm3)   (dynes/cm2)   (#/fm3)

   1.000E+12   4.288E+30   6.023E-04         56.         56.         26.
   5.878E+11   2.111E+30   3.540E-04         56.         56.         26.
   3.455E+11   1.039E+30   2.081E-04         56.         56.         26.
   2.031E+11   5.117E+29   1.223E-04         56.         56.         26.
   1.194E+11   2.519E+29   7.190E-05         56.         56.         26.
   7.017E+10   1.240E+29   4.226E-05         56.         56.         26.
   4.125E+10   6.103E+28   2.484E-05         56.         56.         26.
   2.424E+10   3.003E+28   1.460E-05         56.         56.         26.
   1.425E+10   1.478E+28   8.583E-06         56.         56.         26.
   8.377E+09   7.267E+27   5.045E-06         56.         56.         26.
   4.924E+09   3.572E+27   2.966E-06         56.         56.         26.
   2.894E+09   1.755E+27   1.743E-06         56.         56.         26.
   1.701E+09   8.610E+26   1.025E-06         56.         56.         26.
   1.000E+09   4.220E+26   6.023E-07         56.         56.         26.
   5.878E+08   2.064E+26   3.540E-07         56.         56.         26.
   3.455E+08   1.007E+26   2.081E-07         56.         56.         26.
   2.031E+08   4.897E+25   1.223E-07         56.         56.         26.
   1.194E+08   2.370E+25   7.190E-08         56.         56.         26.
   7.017E+07   1.141E+25   4.226E-08         56.         56.         26.
   4.125E+07   5.446E+24   2.484E-08         56.         56.         26.
   2.424E+07   2.576E+24   1.460E-08         56.         56.         26.
   1.425E+07   1.205E+24   8.583E-09         56.         56.         26.
   8.377E+06   5.561E+23   5.045E-09         56.         56.         26.
   4.924E+06   2.529E+23   2.966E-09         56.         56.         26.
   2.894E+06   1.132E+23   1.743E-09         56.         56.         26.
   1.701E+06   4.983E+22   1.025E-09         56.         56.         26.
   1.000E+06   2.159E+22   6.023E-10         56.         56.         26.
   5.878E+05   9.218E+21   3.540E-10         56.         56.         26.
   3.455E+05   3.882E+21   2.081E-10         56.         56.         26.
   2.031E+05   1.615E+21   1.223E-10         56.         56.         26.
   1.194E+05   6.639E+20   7.190E-11         56.         56.         26.
   7.017E+04   2.700E+20   4.226E-11         56.         56.         26.
   4.125E+04   1.086E+20   2.484E-11         56.         56.         26.
   2.424E+04   4.319E+19   1.460E-11         56.         56.         26.
   1.425E+04   1.693E+19   8.583E-12         56.         56.         26.
   8.377E+03   6.528E+18   5.045E-12         56.         56.         26.
   4.924E+03   2.460E+18   2.966E-12         56.         56.         26.
   2.894E+03   8.985E+17   1.743E-12         56.         56.         26.
   1.701E+03   3.127E+17   1.025E-12         56.         56.         26.
   1.000E+03   1.003E+17   6.023E-13         56.         56.         26.



Produced by Make_Outer_Crust_EOS.f with A=56, Z=26

