 5 1000

       EOS file : /Users/dany/Work/NStar/eos/quark/strange_eos_03_145_150.dat 

    rhoc        rad    grav. mass   b. mass  red shift  % binding 

  2.765E-01  7.582E-01  4.129E-04  4.250E-04  9.992E-01  2.913E-02
  2.774E-01  1.431E+00  2.781E-03  2.865E-03  9.971E-01  3.042E-02
  2.784E-01  1.872E+00  6.235E-03  6.432E-03  9.950E-01  3.170E-02
  2.793E-01  2.224E+00  1.047E-02  1.081E-02  9.930E-01  3.297E-02
  2.803E-01  2.524E+00  1.532E-02  1.584E-02  9.910E-01  3.424E-02
  2.812E-01  2.788E+00  2.067E-02  2.140E-02  9.889E-01  3.550E-02
  2.822E-01  3.027E+00  2.649E-02  2.746E-02  9.869E-01  3.675E-02
  2.831E-01  3.246E+00  3.270E-02  3.394E-02  9.849E-01  3.800E-02
  2.841E-01  3.449E+00  3.928E-02  4.083E-02  9.830E-01  3.925E-02
  2.851E-01  3.638E+00  4.618E-02  4.805E-02  9.810E-01  4.048E-02
  2.860E-01  3.816E+00  5.336E-02  5.559E-02  9.790E-01  4.171E-02
  2.870E-01  3.984E+00  6.079E-02  6.340E-02  9.771E-01  4.294E-02
  2.880E-01  4.143E+00  6.848E-02  7.151E-02  9.752E-01  4.416E-02
  2.890E-01  4.295E+00  7.641E-02  7.988E-02  9.732E-01  4.537E-02
  2.900E-01  4.440E+00  8.454E-02  8.847E-02  9.713E-01  4.658E-02
  2.909E-01  4.579E+00  9.284E-02  9.727E-02  9.694E-01  4.778E-02
  2.919E-01  4.712E+00  1.013E-01  1.063E-01  9.676E-01  4.898E-02
  2.929E-01  4.839E+00  1.099E-01  1.154E-01  9.657E-01  5.016E-02
  2.939E-01  4.962E+00  1.186E-01  1.247E-01  9.639E-01  5.134E-02
  2.949E-01  5.081E+00  1.275E-01  1.342E-01  9.620E-01  5.252E-02
  2.959E-01  5.195E+00  1.365E-01  1.439E-01  9.602E-01  5.369E-02
  2.969E-01  5.307E+00  1.457E-01  1.537E-01  9.584E-01  5.486E-02
  2.980E-01  5.415E+00  1.550E-01  1.637E-01  9.566E-01  5.602E-02
  2.990E-01  5.518E+00  1.643E-01  1.736E-01  9.548E-01  5.717E-02
  3.000E-01  5.619E+00  1.737E-01  1.838E-01  9.530E-01  5.832E-02
  3.010E-01  5.718E+00  1.833E-01  1.942E-01  9.512E-01  5.947E-02
  3.020E-01  5.812E+00  1.928E-01  2.045E-01  9.495E-01  6.060E-02
  3.031E-01  5.905E+00  2.024E-01  2.149E-01  9.478E-01  6.173E-02
  3.041E-01  5.996E+00  2.122E-01  2.256E-01  9.460E-01  6.286E-02
  3.051E-01  6.083E+00  2.219E-01  2.361E-01  9.443E-01  6.397E-02
  3.062E-01  6.169E+00  2.318E-01  2.469E-01  9.426E-01  6.509E-02
  3.072E-01  6.252E+00  2.416E-01  2.576E-01  9.409E-01  6.620E-02
  3.083E-01  6.334E+00  2.515E-01  2.685E-01  9.392E-01  6.730E-02
  3.093E-01  6.413E+00  2.615E-01  2.794E-01  9.375E-01  6.841E-02
  3.104E-01  6.491E+00  2.714E-01  2.903E-01  9.359E-01  6.949E-02
  3.114E-01  6.567E+00  2.815E-01  3.014E-01  9.342E-01  7.059E-02
  3.125E-01  6.640E+00  2.915E-01  3.124E-01  9.326E-01  7.166E-02
  3.136E-01  6.713E+00  3.016E-01  3.235E-01  9.309E-01  7.275E-02
  3.146E-01  6.784E+00  3.116E-01  3.346E-01  9.293E-01  7.381E-02
  3.157E-01  6.853E+00  3.218E-01  3.458E-01  9.277E-01  7.488E-02
  3.168E-01  6.921E+00  3.318E-01  3.570E-01  9.261E-01  7.594E-02
  3.179E-01  6.987E+00  3.419E-01  3.683E-01  9.245E-01  7.700E-02
  3.189E-01  7.052E+00  3.521E-01  3.795E-01  9.229E-01  7.805E-02
  3.200E-01  7.115E+00  3.621E-01  3.908E-01  9.214E-01  7.909E-02
  3.211E-01  7.178E+00  3.724E-01  4.022E-01  9.198E-01  8.014E-02
  3.222E-01  7.239E+00  3.824E-01  4.134E-01  9.183E-01  8.117E-02
  3.233E-01  7.299E+00  3.926E-01  4.249E-01  9.167E-01  8.221E-02
