       6     122      53      68

     EOS file :  /Users/dany/Work/NStar/eos/v14/APR_EOS_Acc_Fe.dat           

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   7.315711E-01   1.425615E+15    3.95990E+35   0.000000000E+00  -7.856804E-01   0.000000000E+00
     1      10.000000   7.315707E-01   1.425614E+15    3.95990E+35   3.002311222E-09  -7.856800E-01   2.580222207E-09
     2      11.666664   7.315706E-01   1.425613E+15    3.95989E+35   4.767556323E-09  -7.856798E-01   4.097295462E-09
     3      13.611106   7.315704E-01   1.425613E+15    3.95989E+35   7.570697108E-09  -7.856796E-01   6.506349609E-09
     4      15.879619   7.315701E-01   1.425612E+15    3.95988E+35   1.202197425E-08  -7.856793E-01   1.033183406E-08
     5      18.526216   7.315697E-01   1.425611E+15    3.95988E+35   1.909042321E-08  -7.856789E-01   1.640655238E-08
     6      21.613909   7.315692E-01   1.425610E+15    3.95987E+35   3.031482752E-08  -7.856784E-01   2.605295996E-08
     7      25.216211   7.315686E-01   1.425608E+15    3.95986E+35   4.813869914E-08  -7.856777E-01   4.137105443E-08
     8      29.418888   7.315677E-01   1.425606E+15    3.95984E+35   7.644220298E-08  -7.856767E-01   6.569552710E-08
     9      34.321997   7.315664E-01   1.425603E+15    3.95982E+35   1.213868072E-07  -7.856753E-01   1.043216856E-07
    10      40.042267   7.315647E-01   1.425599E+15    3.95979E+35   1.927565008E-07  -7.856735E-01   1.656581556E-07
    11      46.715879   7.315624E-01   1.425593E+15    3.95974E+35   3.060874754E-07  -7.856710E-01   2.630572490E-07
    12      54.501701   7.315593E-01   1.425585E+15    3.95969E+35   4.860497199E-07  -7.856676E-01   4.177213505E-07
    13      63.585067   7.315551E-01   1.425574E+15    3.95961E+35   7.718162999E-07  -7.856630E-01   6.633177813E-07
    14      74.182180   7.315493E-01   1.425559E+15    3.95951E+35   1.225588350E-06  -7.856568E-01   1.053306234E-06
    15      86.545245   7.315414E-01   1.425539E+15    3.95936E+35   1.946129800E-06  -7.856482E-01   1.672572740E-06
    16     100.968449   7.315307E-01   1.425512E+15    3.95917E+35   3.090254295E-06  -7.856366E-01   2.655900250E-06
    17     117.794931   7.315161E-01   1.425474E+15    3.95890E+35   4.906933274E-06  -7.856209E-01   4.217291168E-06
    18     137.424889   7.314963E-01   1.425424E+15    3.95854E+35   7.791431615E-06  -7.855994E-01   6.696513021E-06
    19     160.325020   7.314693E-01   1.425355E+15    3.95805E+35   1.237121534E-05  -7.855701E-01   1.063297363E-05
    20     187.039479   7.314325E-01   1.425261E+15    3.95738E+35   1.964224520E-05  -7.855303E-01   1.688295077E-05
    21     218.202597   7.313825E-01   1.425133E+15    3.95647E+35   3.118513658E-05  -7.854761E-01   2.680557289E-05
    22     254.553617   7.313144E-01   1.424959E+15    3.95524E+35   4.950783206E-05  -7.854024E-01   4.255777010E-05
    23     296.953692   7.312218E-01   1.424722E+15    3.95355E+35   7.858849782E-05  -7.853021E-01   6.756182601E-05
    24     346.405450   7.310958E-01   1.424400E+15    3.95126E+35   1.247349157E-04  -7.851656E-01   1.072460644E-04
    25     404.075366   7.309243E-01   1.423962E+15    3.94815E+35   1.979433287E-04  -7.849800E-01   1.702172174E-04
    26     471.319171   7.306911E-01   1.423366E+15    3.94392E+35   3.140436636E-04  -7.847275E-01   2.701138775E-04
    27     549.710379   7.303740E-01   1.422556E+15    3.93817E+35   4.980790141E-04  -7.843843E-01   4.285319994E-04
    28     641.071813   7.299431E-01   1.421456E+15    3.93037E+35   7.896140866E-04  -7.839179E-01   6.796323907E-04
    29     747.509560   7.293582E-01   1.419973E+15    3.91978E+35   1.251042206E-03  -7.832844E-01   1.077375282E-03
    30     871.447682   7.285641E-01   1.417961E+15    3.90544E+35   1.980504060E-03  -7.824247E-01   1.706829089E-03
    31    1015.663917   7.274867E-01   1.415231E+15    3.88604E+35   3.131845666E-03  -7.812592E-01   2.701762094E-03
    32    1183.318834   7.260266E-01   1.411535E+15    3.85986E+35   4.945108921E-03  -7.796814E-01   4.271772804E-03
    33    1377.974425   7.240512E-01   1.406537E+15    3.82463E+35   7.792440268E-03  -7.775495E-01   6.743689214E-03
    34    1603.591332   7.213840E-01   1.399795E+15    3.77743E+35   1.224577989E-02  -7.746766E-01   1.062377803E-02
    35    1864.489045   7.177953E-01   1.390780E+15    3.71453E+35   1.917375897E-02  -7.708186E-01   1.668921692E-02
    36    2165.236848   7.129839E-01   1.378749E+15    3.63133E+35   2.987420621E-02  -7.656624E-01   2.611810281E-02
    37    2510.469581   7.065670E-01   1.362775E+15    3.52237E+35   4.624252756E-02  -7.588148E-01   4.066630401E-02
    38    2904.555457   6.980676E-01   1.341758E+15    3.38150E+35   7.096243218E-02  -7.497979E-01   6.288985911E-02
    39    3351.078881   6.869132E-01   1.314520E+15    3.20251E+35   1.076709278E-01  -7.380566E-01   9.638875669E-02
    40    3852.062813   6.724449E-01   1.279659E+15    2.98010E+35   1.609926008E-01  -7.229924E-01   1.459978167E-01
    41    4407.006933   6.539515E-01   1.235776E+15    2.71154E+35   2.362712047E-01  -7.040318E-01   2.177808943E-01
    42    5011.712999   6.307532E-01   1.181937E+15    2.39872E+35   3.387874573E-01  -6.807449E-01   3.185743042E-01
    43    5656.995882   6.022979E-01   1.117541E+15    2.05020E+35   4.722467367E-01  -6.530192E-01   4.547414268E-01
    44    6327.915017   5.683333E-01   1.042995E+15    1.68210E+35   6.367388181E-01  -6.212505E-01   6.299692312E-01
    45    7003.728595   5.290389E-01   9.595274E+14    1.31690E+35   8.267272291E-01  -5.865002E-01   8.423129589E-01
    46    7659.523937   4.851336E-01   8.695227E+14    9.79227E+34   1.030416297E+00  -5.504962E-01   1.081763479E+00
    47    8269.374286   4.378178E-01   7.759106E+14    6.90030E+34   1.231515351E+00  -5.154044E-01   1.330181496E+00
    48    8810.921822   3.886089E-01   6.817726E+14    4.61203E+34   1.413459699E+00  -4.833569E-01   1.565254819E+00
    49    9269.667087   3.389939E-01   5.896285E+14    2.93677E+34   1.564163977E+00  -4.559244E-01   1.767339703E+00
    50    9641.421961   2.838889E-01   4.896113E+14    1.81997E+34   1.676308898E+00  -4.338028E-01   1.922112167E+00
    51    9942.469192   2.397568E-01   4.111117E+14    1.07830E+34   1.758575717E+00  -4.161781E-01   2.037829690E+00
    52   10170.615053   1.769194E-01   3.012269E+14    6.31506E+33   1.812452342E+00  -4.030992E-01   2.114548424E+00
    53   10363.238437   1.461277E-01   2.479678E+14    3.59625E+33   1.847737060E+00  -3.923408E-01   2.165212874E+00
    54   10503.586380   1.197216E-01   2.026637E+14    2.02160E+33   1.869528902E+00  -3.847021E-01   2.196581229E+00
    55   10603.959850   9.694893E-02   1.637957E+14    1.12771E+33   1.882514749E+00  -3.793537E-01   2.215292389E+00
    56   10675.246186   7.255285E-02   1.222716E+14    6.37418E+32   1.889895875E+00  -3.756183E-01   2.225932929E+00
    57   10730.328025   5.281259E-02   8.874927E+13    3.66357E+32   1.894088350E+00  -3.727712E-01   2.231984225E+00
    58   10774.640351   3.840073E-02   6.434554E+13    2.10157E+32   1.896558269E+00  -3.705073E-01   2.235553772E+00
    59   10810.157120   2.789956E-02   4.661492E+13    1.20389E+32   1.898003885E+00  -3.687106E-01   2.237645920E+00
    60   10838.537731   2.012188E-02   3.353528E+13    6.89542E+31   1.898844585E+00  -3.672866E-01   2.238864475E+00
    61   10861.324186   1.370508E-02   2.284510E+13    4.02207E+31   1.899319881E+00  -3.661510E-01   2.239553373E+00
    62   10880.965295   9.201745E-03   1.533599E+13    2.35997E+31   1.899597566E+00  -3.651778E-01   2.239955563E+00
    63   10898.231181   6.053100E-03   1.008850E+13    1.39154E+31   1.899760768E+00  -3.643265E-01   2.240191724E+00
    64   10913.784959   3.899850E-03   6.499715E+12    8.32090E+30   1.899855774E+00  -3.635631E-01   2.240329099E+00
    65   10928.285385   2.204197E-03   3.673621E+12    5.13527E+30   1.899910246E+00  -3.628544E-01   2.240407800E+00
    66   10944.181070   1.257752E-03   2.096775E+12    3.17178E+30   1.899944052E+00  -3.620807E-01   2.240456604E+00
    67   10961.456778   6.004319E-04   1.000720E+12    2.09691E+30   1.899962689E+00  -3.612438E-01   2.240483491E+00
    68   10985.487427   3.529510E-04   5.882517E+11    1.30060E+30   1.899976623E+00  -3.600863E-01   2.240503574E+00
    69   11011.010209   2.273931E-04   3.789886E+11    7.75148E+29   1.899985924E+00  -3.588653E-01   2.240516963E+00
    70   11034.792965   1.466019E-04   2.443366E+11    4.61858E+29   1.899991533E+00  -3.577354E-01   2.240525029E+00
    71   11056.921518   9.568875E-05   1.594812E+11    2.73930E+29   1.899994934E+00  -3.566906E-01   2.240529914E+00
    72   11077.156054   6.244931E-05   1.040822E+11    1.62444E+29   1.899996972E+00  -3.557408E-01   2.240532838E+00
    73   11095.647865   4.095139E-05   6.825232E+10    9.62678E+28   1.899998193E+00  -3.548775E-01   2.240534588E+00
    74   11112.446976   2.704989E-05   4.508315E+10    5.68286E+28   1.899998926E+00  -3.540969E-01   2.240535638E+00
    75   11127.531790   1.786549E-05   2.977582E+10    3.35423E+28   1.899999362E+00  -3.533990E-01   2.240536263E+00
    76   11141.070138   1.179838E-05   1.966396E+10    1.97955E+28   1.899999622E+00  -3.527751E-01   2.240536634E+00
