       6     564     316     396

     EOS file :  /Users/dany/Work/NStar/eos/v14/APR_EOS_Acc_Pd.dat           

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   5.447682E-01   9.926058E+14    1.45558E+35   0.000000000E+00  -4.709551E-01   0.000000000E+00
     1       1.000000   5.447682E-01   9.926058E+14    1.45558E+35   2.090406051E-12  -4.709551E-01   1.921376298E-12
     2       1.033333   5.447682E-01   9.926058E+14    1.45558E+35   2.306492096E-12  -4.709551E-01   2.119989676E-12
     3       1.067778   5.447682E-01   9.926058E+14    1.45558E+35   2.544915035E-12  -4.709551E-01   2.339133792E-12
     4       1.103370   5.447682E-01   9.926058E+14    1.45558E+35   2.807983842E-12  -4.709551E-01   2.580930915E-12
     5       1.140149   5.447682E-01   9.926058E+14    1.45558E+35   3.098246167E-12  -4.709551E-01   2.847722697E-12
     6       1.178154   5.447682E-01   9.926058E+14    1.45558E+35   3.418513017E-12  -4.709551E-01   3.142092843E-12
     7       1.217426   5.447682E-01   9.926058E+14    1.45558E+35   3.771885967E-12  -4.709551E-01   3.466892139E-12
     8       1.258007   5.447682E-01   9.926058E+14    1.45558E+35   4.161787210E-12  -4.709551E-01   3.825266058E-12
     9       1.299941   5.447682E-01   9.926058E+14    1.45558E+35   4.591992688E-12  -4.709551E-01   4.220685221E-12
    10       1.343272   5.447682E-01   9.926058E+14    1.45558E+35   5.066668663E-12  -4.709551E-01   4.656979009E-12
    11       1.388048   5.447682E-01   9.926058E+14    1.45558E+35   5.590412069E-12  -4.709551E-01   5.138372645E-12
    12       1.434316   5.447682E-01   9.926058E+14    1.45558E+35   6.168295022E-12  -4.709551E-01   5.669528118E-12
    13       1.482126   5.447682E-01   9.926058E+14    1.45558E+35   6.805913948E-12  -4.709551E-01   6.255589328E-12
    14       1.531531   5.447681E-01   9.926058E+14    1.45558E+35   7.509443776E-12  -4.709551E-01   6.902231900E-12
    15       1.582582   5.447681E-01   9.926058E+14    1.45558E+35   8.285697739E-12  -4.709551E-01   7.615718151E-12
    16       1.635334   5.447681E-01   9.926058E+14    1.45558E+35   9.142193359E-12  -4.709551E-01   8.402957738E-12
    17       1.689846   5.447681E-01   9.926058E+14    1.45558E+35   1.008722524E-11  -4.709551E-01   9.271574568E-12
    18       1.746174   5.447681E-01   9.926058E+14    1.45558E+35   1.112994542E-11  -4.709551E-01   1.022998064E-11
    19       1.804380   5.447681E-01   9.926058E+14    1.45558E+35   1.228045196E-11  -4.709551E-01   1.128745749E-11
    20       1.864526   5.447681E-01   9.926058E+14    1.45558E+35   1.354988678E-11  -4.709551E-01   1.245424612E-11
    21       1.926676   5.447681E-01   9.926058E+14    1.45558E+35   1.495054354E-11  -4.709551E-01   1.374164611E-11
    22       1.990899   5.447681E-01   9.926058E+14    1.45558E+35   1.649598669E-11  -4.709551E-01   1.516212511E-11
    23       2.057262   5.447681E-01   9.926058E+14    1.45558E+35   1.820118287E-11  -4.709551E-01   1.672943953E-11
    24       2.125838   5.447681E-01   9.926058E+14    1.45558E+35   2.008264579E-11  -4.709551E-01   1.845876782E-11
    25       2.196699   5.447681E-01   9.926058E+14    1.45558E+35   2.215859622E-11  -4.709551E-01   2.036685740E-11
    26       2.269922   5.447681E-01   9.926058E+14    1.45558E+35   2.444913839E-11  -4.709551E-01   2.247218690E-11
    27       2.345586   5.447681E-01   9.926058E+14    1.45558E+35   2.697645473E-11  -4.709551E-01   2.479514506E-11
    28       2.423772   5.447681E-01   9.926058E+14    1.45558E+35   2.976502067E-11  -4.709551E-01   2.735822825E-11
    29       2.504565   5.447681E-01   9.926058E+14    1.45558E+35   3.284184168E-11  -4.709551E-01   3.018625828E-11
    30       2.588050   5.447681E-01   9.926058E+14    1.45558E+35   3.623671477E-11  -4.709551E-01   3.330662278E-11
    31       2.674319   5.447681E-01   9.926058E+14    1.45558E+35   3.998251711E-11  -4.709551E-01   3.674954049E-11
    32       2.763463   5.447681E-01   9.926058E+14    1.45558E+35   4.411552437E-11  -4.709551E-01   4.054835384E-11
    33       2.855578   5.447681E-01   9.926058E+14    1.45558E+35   4.867576207E-11  -4.709551E-01   4.473985188E-11
    34       2.950764   5.447681E-01   9.926058E+14    1.45558E+35   5.370739315E-11  -4.709551E-01   4.936462657E-11
    35       3.049123   5.447681E-01   9.926058E+14    1.45558E+35   5.925914572E-11  -4.709551E-01   5.446746587E-11
    36       3.150760   5.447681E-01   9.926058E+14    1.45558E+35   6.538478491E-11  -4.709551E-01   6.009778747E-11
    37       3.255786   5.447681E-01   9.926058E+14    1.45558E+35   7.214363357E-11  -4.709551E-01   6.631011742E-11
    38       3.364312   5.447681E-01   9.926058E+14    1.45558E+35   7.960114678E-11  -4.709551E-01   7.316461811E-11
    39       3.476455   5.447681E-01   9.926058E+14    1.45558E+35   8.782954574E-11  -4.709551E-01   8.072767094E-11
    40       3.592337   5.447681E-01   9.926058E+14    1.45558E+35   9.690851716E-11  -4.709551E-01   8.907251920E-11
    41       3.712082   5.447681E-01   9.926058E+14    1.45558E+35   1.069259850E-10  -4.709551E-01   9.827997733E-11
    42       3.835818   5.447681E-01   9.926058E+14    1.45558E+35   1.179789619E-10  -4.709551E-01   1.084392136E-10
    43       3.963678   5.447681E-01   9.926058E+14    1.45558E+35   1.301744888E-10  -4.709551E-01   1.196486137E-10
    44       4.095801   5.447681E-01   9.926057E+14    1.45558E+35   1.436306715E-10  -4.709551E-01   1.320167333E-10
    45       4.232328   5.447681E-01   9.926057E+14    1.45558E+35   1.584778244E-10  -4.709551E-01   1.456633497E-10
    46       4.373405   5.447681E-01   9.926057E+14    1.45558E+35   1.748597324E-10  -4.709551E-01   1.607206214E-10
    47       4.519185   5.447681E-01   9.926057E+14    1.45557E+35   1.929350438E-10  -4.709551E-01   1.773343685E-10
    48       4.669825   5.447681E-01   9.926057E+14    1.45557E+35   2.128788060E-10  -4.709551E-01   1.956654842E-10
    49       4.825486   5.447681E-01   9.926057E+14    1.45557E+35   2.348841616E-10  -4.709551E-01   2.158914934E-10
    50       4.986335   5.447681E-01   9.926057E+14    1.45557E+35   2.591642178E-10  -4.709551E-01   2.382082720E-10
    51       5.152546   5.447681E-01   9.926057E+14    1.45557E+35   2.859541114E-10  -4.709551E-01   2.628319433E-10
    52       5.324298   5.447681E-01   9.926057E+14    1.45557E+35   3.155132848E-10  -4.709551E-01   2.900009716E-10
    53       5.501774   5.447681E-01   9.926057E+14    1.45557E+35   3.481279993E-10  -4.709551E-01   3.199784711E-10
    54       5.685167   5.447681E-01   9.926057E+14    1.45557E+35   3.841141070E-10  -4.709550E-01   3.530547544E-10
    55       5.874672   5.447681E-01   9.926057E+14    1.45557E+35   4.238201098E-10  -4.709550E-01   3.895501436E-10
    56       6.070495   5.447681E-01   9.926056E+14    1.45557E+35   4.676305342E-10  -4.709550E-01   4.298180726E-10
    57       6.272844   5.447681E-01   9.926056E+14    1.45557E+35   5.159696553E-10  -4.709550E-01   4.742485099E-10
    58       6.481939   5.447680E-01   9.926056E+14    1.45557E+35   5.693056056E-10  -4.709550E-01   5.232717352E-10
    59       6.698004   5.447680E-01   9.926056E+14    1.45557E+35   6.281549085E-10  -4.709550E-01   5.773625060E-10
    60       6.921270   5.447680E-01   9.926056E+14    1.45557E+35   6.930874807E-10  -4.709550E-01   6.370446559E-10
    61       7.151979   5.447680E-01   9.926056E+14    1.45557E+35   7.647321509E-10  -4.709550E-01   7.028961671E-10
    62       7.390379   5.447680E-01   9.926055E+14    1.45557E+35   8.437827502E-10  -4.709550E-01   7.755547679E-10
    63       7.636724   5.447680E-01   9.926055E+14    1.45557E+35   9.310048310E-10  -4.709550E-01   8.557241087E-10
    64       7.891282   5.447680E-01   9.926055E+14    1.45557E+35   1.027243081E-09  -4.709550E-01   9.441805763E-10
    65       8.154324   5.447680E-01   9.926055E+14    1.45557E+35   1.133429503E-09  -4.709550E-01   1.041780813E-09
    66       8.426135   5.447680E-01   9.926054E+14    1.45557E+35   1.250592441E-09  -4.709550E-01   1.149470011E-09
    67       8.707006   5.447680E-01   9.926054E+14    1.45557E+35   1.379866539E-09  -4.709549E-01   1.268291069E-09
    68       8.997239   5.447679E-01   9.926054E+14    1.45557E+35   1.522503731E-09  -4.709549E-01   1.399394690E-09
    69       9.297147   5.447679E-01   9.926054E+14    1.45557E+35   1.679885359E-09  -4.709549E-01   1.544050523E-09
    70       9.607052   5.447679E-01   9.926053E+14    1.45557E+35   1.853535559E-09  -4.709549E-01   1.703659462E-09
    71       9.927287   5.447679E-01   9.926053E+14    1.45557E+35   2.045136013E-09  -4.709549E-01   1.879767213E-09
    72      10.258196   5.447679E-01   9.926053E+14    1.45557E+35   2.256542241E-09  -4.709549E-01   2.074079258E-09
    73      10.600135   5.447679E-01   9.926052E+14    1.45557E+35   2.489801567E-09  -4.709549E-01   2.288477379E-09
    74      10.953473   5.447678E-01   9.926052E+14    1.45557E+35   2.747172946E-09  -4.709548E-01   2.525037873E-09
    75      11.318588   5.447678E-01   9.926051E+14    1.45557E+35   3.031148840E-09  -4.709548E-01   2.786051667E-09
    76      11.695874   5.447678E-01   9.926051E+14    1.45557E+35   3.344479358E-09  -4.709548E-01   3.074046499E-09
