       6     151      50      66
 
     EOS file :  /Users/dany/Work/NStar/EOS/v14/APR_EOS_Cat.dat              
 
  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   
 
     0       0.000000   4.647325E-01   8.287586E+14    8.45584E+34   0.000000000E+00  -3.469583E-01   0.000000000E+00
     1      10.000000   4.647322E-01   8.287580E+14    8.45582E+34   1.745345991E-09  -3.469581E-01   1.639092661E-09
     2      11.666664   4.647321E-01   8.287579E+14    8.45582E+34   2.771543328E-09  -3.469580E-01   2.602817224E-09
     3      13.611106   4.647320E-01   8.287576E+14    8.45581E+34   4.401105043E-09  -3.469580E-01   4.133174795E-09
     4      15.879619   4.647319E-01   8.287573E+14    8.45580E+34   6.988785130E-09  -3.469578E-01   6.563323038E-09
     5      18.526216   4.647316E-01   8.287569E+14    8.45579E+34   1.109791757E-08  -3.469577E-01   1.042230217E-08
     6      21.613909   4.647314E-01   8.287564E+14    8.45577E+34   1.762305104E-08  -3.469575E-01   1.655020457E-08
     7      25.216212   4.647310E-01   8.287556E+14    8.45574E+34   2.798468535E-08  -3.469572E-01   2.628105733E-08
     8      29.418889   4.647304E-01   8.287545E+14    8.45571E+34   4.443849911E-08  -3.469568E-01   4.173322781E-08
     9      34.321999   4.647297E-01   8.287531E+14    8.45567E+34   7.056637791E-08  -3.469562E-01   6.627056542E-08
    10      40.042270   4.647287E-01   8.287511E+14    8.45560E+34   1.120561185E-07  -3.469555E-01   1.052346531E-07
    11      46.715884   4.647274E-01   8.287485E+14    8.45552E+34   1.779395048E-07  -3.469545E-01   1.671075421E-07
    12      54.501709   4.647255E-01   8.287448E+14    8.45541E+34   2.825581852E-07  -3.469531E-01   2.653580169E-07
    13      63.585081   4.647231E-01   8.287399E+14    8.45525E+34   4.486851073E-07  -3.469513E-01   4.213731466E-07
    14      74.182202   4.647197E-01   8.287332E+14    8.45504E+34   7.124805799E-07  -3.469487E-01   6.691129415E-07
    15      86.545281   4.647151E-01   8.287240E+14    8.45476E+34   1.131360888E-06  -3.469453E-01   1.062500614E-06
    16     100.968506   4.647088E-01   8.287116E+14    8.45437E+34   1.796490276E-06  -3.469406E-01   1.687155527E-06
    17     117.795022   4.647002E-01   8.286947E+14    8.45384E+34   2.852611085E-06  -3.469342E-01   2.679019249E-06
    18     137.425036   4.646886E-01   8.286716E+14    8.45311E+34   4.529518868E-06  -3.469255E-01   4.253921316E-06
    19     160.325254   4.646728E-01   8.286402E+14    8.45213E+34   7.192012573E-06  -3.469137E-01   6.754503206E-06
    20     187.039850   4.646513E-01   8.285975E+14    8.45079E+34   1.141914631E-05  -3.468976E-01   1.072467712E-05
    21     218.203188   4.646219E-01   8.285394E+14    8.44897E+34   1.812993294E-05  -3.468757E-01   1.702774542E-05
    22     254.554555   4.645821E-01   8.284603E+14    8.44650E+34   2.878264295E-05  -3.468458E-01   2.703371442E-05
    23     296.955180   4.645278E-01   8.283527E+14    8.44313E+34   4.569060623E-05  -3.468053E-01   4.291618993E-05
    24     346.407808   4.644539E-01   8.282063E+14    8.43855E+34   7.252223186E-05  -3.467500E-01   6.812264527E-05
    25     404.079102   4.643534E-01   8.280070E+14    8.43232E+34   1.150918681E-04  -3.466749E-01   1.081186198E-04
    26     471.325081   4.642167E-01   8.277360E+14    8.42385E+34   1.826088640E-04  -3.465728E-01   1.715639376E-04
    27     549.719710   4.640308E-01   8.273674E+14    8.41234E+34   2.896464056E-04  -3.464340E-01   2.721685640E-04
    28     641.086515   4.637780E-01   8.268662E+14    8.39670E+34   4.592365086E-04  -3.462452E-01   4.316139553E-04
    29     747.532743   4.634344E-01   8.261850E+14    8.37549E+34   7.277172849E-04  -3.459889E-01   6.841368897E-04
    30     871.484924   4.629676E-01   8.252597E+14    8.34672E+34   1.152285856E-03  -3.456410E-01   1.083690189E-03
    31    1015.723650   4.623338E-01   8.240037E+14    8.30778E+34   1.822684314E-03  -3.451693E-01   1.715061058E-03
    32    1183.413682   4.614742E-01   8.223004E+14    8.25517E+34   2.879103652E-03  -3.445305E-01   2.710989069E-03
    33    1378.122894   4.603097E-01   8.199934E+14    8.18428E+34   4.539238864E-03  -3.436673E-01   4.278211725E-03
    34    1603.819599   4.587333E-01   8.168846E+14    8.08909E+34   7.138393489E-03  -3.425036E-01   6.736433298E-03
    35    1864.829302   4.566058E-01   8.126950E+14    7.96191E+34   1.118721536E-02  -3.409402E-01   1.057519970E-02
    36    2165.735219   4.537441E-01   8.070630E+14    7.79306E+34   1.745142265E-02  -3.388497E-01   1.653415699E-02
    37    2511.177705   4.499108E-01   7.995255E+14    7.57089E+34   2.705478197E-02  -3.360718E-01   2.571011658E-02
    38    2905.510112   4.447988E-01   7.895261E+14    7.28196E+34   4.159780534E-02  -3.324114E-01   3.968740645E-02
    39    3352.242706   4.380373E-01   7.763370E+14    6.91207E+34   6.326360225E-02  -3.276423E-01   6.067040533E-02
    40    3853.261857   4.291744E-01   7.591476E+14    6.44823E+34   9.485048429E-02  -3.215213E-01   9.156512441E-02
    41    4407.730645   4.176983E-01   7.370587E+14    5.88213E+34   1.396156018E-01  -3.138190E-01   1.358992372E-01
    42    5010.781654   4.030747E-01   7.091371E+14    5.21497E+34   2.007758012E-01  -3.043733E-01   1.974117986E-01
    43    5652.233145   3.848053E-01   6.746195E+14    4.46273E+34   2.805430819E-01  -2.931652E-01   2.791297816E-01
    44    6315.725720   3.625301E-01   6.330279E+14    3.65977E+34   3.787478334E-01  -2.804037E-01   3.818829689E-01
    45    6979.092936   3.361290E-01   5.843866E+14    2.85714E+34   4.915399055E-01  -2.665812E-01   5.026399944E-01
    46    7616.601539   2.976659E-01   5.144169E+14    2.11656E+34   6.104710928E-01  -2.524508E-01   6.330088350E-01
    47    8220.496387   2.659048E-01   4.574578E+14    1.48196E+34   7.267885071E-01  -2.385290E-01   7.635025903E-01
    48    8751.822531   2.326124E-01   3.985359E+14    9.84257E+33   8.303327273E-01  -2.260279E-01   8.819026471E-01
    49    9199.257099   1.767527E-01   3.009373E+14    6.29747E+33   9.129291217E-01  -2.154486E-01   9.778160309E-01
    50    9611.600462   1.495269E-01   2.538159E+14    3.84562E+33   9.768953109E-01  -2.058407E-01   1.053037669E+00
    51    9935.806333   1.247379E-01   2.112541E+14    2.27535E+33   1.022448276E+00  -1.984629E-01   1.106955559E+00
    52   10182.267505   1.026632E-01   1.735295E+14    1.31456E+33   1.052824650E+00  -1.929881E-01   1.143053825E+00
    53   10364.959758   8.353414E-02   1.411557E+14    7.48548E+32   1.071977991E+00  -1.890203E-01   1.165862716E+00
    54   10498.051117   6.218389E-02   1.050140E+14    4.28398E+32   1.083391047E+00  -1.861861E-01   1.179446355E+00
    55   10603.470363   4.462183E-02   7.524210E+13    2.49202E+32   1.090049213E+00  -1.839803E-01   1.187376818E+00
    56   10691.084628   3.147853E-02   5.302538E+13    1.45263E+32   1.094049973E+00  -1.821767E-01   1.192143614E+00
    57   10764.991593   2.217080E-02   3.730822E+13    8.44647E+31   1.096463095E+00  -1.806777E-01   1.195018806E+00
    58   10827.097610   1.555101E-02   2.614525E+13    4.90634E+31   1.097905907E+00  -1.794346E-01   1.196737868E+00
    59   10879.305737   1.089074E-02   1.829450E+13    2.84787E+31   1.098764062E+00  -1.784017E-01   1.197760274E+00
    60   10923.129962   7.578888E-03   1.272363E+13    1.65252E+31   1.099272057E+00  -1.775433E-01   1.198365500E+00
    61   10960.058446   5.194190E-03   8.717209E+12    9.62412E+30   1.099570137E+00  -1.768260E-01   1.198720511E+00
    62   10991.712495   3.415876E-03   5.729577E+12    5.67081E+30   1.099743264E+00  -1.762157E-01   1.198926671E+00
    63   11020.291155   2.077321E-03   3.482697E+12    3.44641E+30   1.099841852E+00  -1.756683E-01   1.199044066E+00
    64   11049.044771   1.174551E-03   1.967782E+12    2.10395E+30   1.099902029E+00  -1.751209E-01   1.199115719E+00
    65   11080.305220   6.409602E-04   1.072684E+12    1.32718E+30   1.099937257E+00  -1.745297E-01   1.199157682E+00
    66   11116.719981   3.761032E-04   6.291707E+11    8.19544E+29   1.099960589E+00  -1.738460E-01   1.199185479E+00
    67   11155.359618   1.893117E-04   3.162872E+11    5.55944E+29   1.099972877E+00  -1.731264E-01   1.199200125E+00
    68   11207.912572   1.229765E-04   2.053688E+11    3.31074E+29   1.099983552E+00  -1.721574E-01   1.199212848E+00
    69   11256.668930   8.060206E-05   1.344658E+11    1.95365E+29   1.099990125E+00  -1.712680E-01   1.199220679E+00
    70   11301.080351   5.236292E-05   8.726824E+10    1.16242E+29   1.099994029E+00  -1.704660E-01   1.199225331E+00
    71   11342.189673   3.505370E-05   5.840238E+10    6.84838E+28   1.099996426E+00  -1.697303E-01   1.199228187E+00
    72   11378.703786   2.275189E-05   3.788243E+10    4.06896E+28   1.099997842E+00  -1.690822E-01   1.199229874E+00
    73   11412.413253   1.521345E-05   2.531702E+10    2.39207E+28   1.099998708E+00  -1.684883E-01   1.199230905E+00
    74   11442.281848   9.961014E-06   1.656678E+10    1.42170E+28   1.099999216E+00  -1.679656E-01   1.199231510E+00
    75   11469.583500   6.523264E-06   1.085193E+10    8.46662E+27   1.099999520E+00  -1.674906E-01   1.199231872E+00
    76   11494.549126   4.379414E-06   7.280944E+09    4.97162E+27   1.099999707E+00  -1.670587E-01   1.199232094E+00
