       6    6214    3154    3154

     EOS file :  StrangeEOS_03_140_250_Acc-Pd.dat                            

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   4.694453E-01   8.162626E+14    1.04852E+35   0.000000000E+00  -4.275025E-01   0.000000000E+00
     1      10.000000   4.694450E-01   8.162619E+14    1.04852E+35   1.719029533E-09  -4.275022E-01   1.655714443E-09
     2      10.033333   4.694450E-01   8.162619E+14    1.04852E+35   1.736277176E-09  -4.275022E-01   1.672326825E-09
     3      10.066778   4.694449E-01   8.162619E+14    1.04852E+35   1.753697870E-09  -4.275022E-01   1.689105885E-09
     4      10.100334   4.694449E-01   8.162619E+14    1.04852E+35   1.771293353E-09  -4.275022E-01   1.706053295E-09
     5      10.134001   4.694449E-01   8.162619E+14    1.04852E+35   1.789065378E-09  -4.275022E-01   1.723170744E-09
     6      10.167781   4.694449E-01   8.162619E+14    1.04852E+35   1.807015715E-09  -4.275022E-01   1.740459939E-09
     7      10.201674   4.694449E-01   8.162619E+14    1.04852E+35   1.825146155E-09  -4.275022E-01   1.757922603E-09
     8      10.235679   4.694449E-01   8.162619E+14    1.04852E+35   1.843458504E-09  -4.275022E-01   1.775560475E-09
     9      10.269798   4.694449E-01   8.162619E+14    1.04852E+35   1.861954587E-09  -4.275022E-01   1.793375315E-09
    10      10.304031   4.694449E-01   8.162619E+14    1.04852E+35   1.880636247E-09  -4.275022E-01   1.811368897E-09
    11      10.338378   4.694449E-01   8.162619E+14    1.04852E+35   1.899505348E-09  -4.275022E-01   1.829543015E-09
    12      10.372839   4.694449E-01   8.162619E+14    1.04852E+35   1.918563768E-09  -4.275022E-01   1.847899481E-09
    13      10.407415   4.694449E-01   8.162619E+14    1.04852E+35   1.937813409E-09  -4.275022E-01   1.866440124E-09
    14      10.442106   4.694449E-01   8.162619E+14    1.04852E+35   1.957256188E-09  -4.275022E-01   1.885166791E-09
    15      10.476913   4.694449E-01   8.162618E+14    1.04852E+35   1.976894043E-09  -4.275022E-01   1.904081350E-09
    16      10.511836   4.694449E-01   8.162618E+14    1.04852E+35   1.996728932E-09  -4.275022E-01   1.923185685E-09
    17      10.546876   4.694449E-01   8.162618E+14    1.04852E+35   2.016762832E-09  -4.275022E-01   1.942481701E-09
    18      10.582032   4.694449E-01   8.162618E+14    1.04852E+35   2.036997738E-09  -4.275022E-01   1.961971321E-09
    19      10.617305   4.694449E-01   8.162618E+14    1.04852E+35   2.057435668E-09  -4.275022E-01   1.981656487E-09
    20      10.652696   4.694449E-01   8.162618E+14    1.04852E+35   2.078078660E-09  -4.275022E-01   2.001539161E-09
    21      10.688205   4.694449E-01   8.162618E+14    1.04852E+35   2.098928769E-09  -4.275022E-01   2.021621325E-09
    22      10.723833   4.694449E-01   8.162618E+14    1.04852E+35   2.119988076E-09  -4.275022E-01   2.041904980E-09
    23      10.759579   4.694449E-01   8.162618E+14    1.04852E+35   2.141258677E-09  -4.275022E-01   2.062392149E-09
    24      10.795444   4.694449E-01   8.162618E+14    1.04852E+35   2.162742694E-09  -4.275022E-01   2.083084873E-09
    25      10.831429   4.694449E-01   8.162618E+14    1.04852E+35   2.184442268E-09  -4.275022E-01   2.103985214E-09
    26      10.867533   4.694449E-01   8.162618E+14    1.04852E+35   2.206359561E-09  -4.275022E-01   2.125095255E-09
    27      10.903758   4.694449E-01   8.162618E+14    1.04852E+35   2.228496758E-09  -4.275022E-01   2.146417102E-09
    28      10.940104   4.694449E-01   8.162618E+14    1.04852E+35   2.250856066E-09  -4.275022E-01   2.167952877E-09
    29      10.976571   4.694449E-01   8.162618E+14    1.04852E+35   2.273439712E-09  -4.275022E-01   2.189704729E-09
    30      11.013160   4.694449E-01   8.162618E+14    1.04852E+35   2.296249948E-09  -4.275022E-01   2.211674825E-09
    31      11.049870   4.694449E-01   8.162618E+14    1.04852E+35   2.319289046E-09  -4.275022E-01   2.233865355E-09
    32      11.086703   4.694449E-01   8.162618E+14    1.04852E+35   2.342559305E-09  -4.275022E-01   2.256278529E-09
    33      11.123659   4.694449E-01   8.162618E+14    1.04852E+35   2.366063041E-09  -4.275022E-01   2.278916584E-09
    34      11.160738   4.694449E-01   8.162618E+14    1.04852E+35   2.389802600E-09  -4.275022E-01   2.301781774E-09
    35      11.197940   4.694449E-01   8.162618E+14    1.04852E+35   2.413780345E-09  -4.275022E-01   2.324876378E-09
    36      11.235266   4.694449E-01   8.162618E+14    1.04852E+35   2.437998667E-09  -4.275022E-01   2.348202699E-09
    37      11.272717   4.694449E-01   8.162617E+14    1.04852E+35   2.462459981E-09  -4.275022E-01   2.371763061E-09
    38      11.310293   4.694449E-01   8.162617E+14    1.04852E+35   2.487166723E-09  -4.275022E-01   2.395559812E-09
    39      11.347994   4.694449E-01   8.162617E+14    1.04852E+35   2.512121357E-09  -4.275022E-01   2.419595325E-09
    40      11.385821   4.694449E-01   8.162617E+14    1.04852E+35   2.537326369E-09  -4.275022E-01   2.443871994E-09
    41      11.423773   4.694449E-01   8.162617E+14    1.04852E+35   2.562784272E-09  -4.275022E-01   2.468392239E-09
    42      11.461852   4.694449E-01   8.162617E+14    1.04852E+35   2.588497603E-09  -4.275022E-01   2.493158505E-09
    43      11.500059   4.694449E-01   8.162617E+14    1.04852E+35   2.614468925E-09  -4.275022E-01   2.518173260E-09
    44      11.538392   4.694449E-01   8.162617E+14    1.04852E+35   2.640700826E-09  -4.275022E-01   2.543438996E-09
    45      11.576853   4.694449E-01   8.162617E+14    1.04852E+35   2.667195921E-09  -4.275022E-01   2.568958233E-09
    46      11.615443   4.694449E-01   8.162617E+14    1.04852E+35   2.693956850E-09  -4.275022E-01   2.594733513E-09
    47      11.654161   4.694448E-01   8.162617E+14    1.04852E+35   2.720986282E-09  -4.275022E-01   2.620767405E-09
    48      11.693008   4.694448E-01   8.162617E+14    1.04852E+35   2.748286908E-09  -4.275022E-01   2.647062505E-09
    49      11.731985   4.694448E-01   8.162617E+14    1.04852E+35   2.775861452E-09  -4.275022E-01   2.673621432E-09
    50      11.771091   4.694448E-01   8.162617E+14    1.04852E+35   2.803712661E-09  -4.275022E-01   2.700446835E-09
    51      11.810328   4.694448E-01   8.162617E+14    1.04852E+35   2.831843310E-09  -4.275022E-01   2.727541386E-09
    52      11.849696   4.694448E-01   8.162617E+14    1.04852E+35   2.860256204E-09  -4.275022E-01   2.754907787E-09
    53      11.889195   4.694448E-01   8.162617E+14    1.04852E+35   2.888954175E-09  -4.275022E-01   2.782548764E-09
    54      11.928825   4.694448E-01   8.162617E+14    1.04852E+35   2.917940082E-09  -4.275022E-01   2.810467072E-09
    55      11.968588   4.694448E-01   8.162617E+14    1.04852E+35   2.947216815E-09  -4.275022E-01   2.838665495E-09
    56      12.008483   4.694448E-01   8.162616E+14    1.04852E+35   2.976787291E-09  -4.275022E-01   2.867146843E-09
    57      12.048512   4.694448E-01   8.162616E+14    1.04852E+35   3.006654458E-09  -4.275022E-01   2.895913954E-09
    58      12.088673   4.694448E-01   8.162616E+14    1.04852E+35   3.036821293E-09  -4.275022E-01   2.924969695E-09
    59      12.128969   4.694448E-01   8.162616E+14    1.04852E+35   3.067290803E-09  -4.275022E-01   2.954316963E-09
    60      12.169399   4.694448E-01   8.162616E+14    1.04852E+35   3.098066023E-09  -4.275022E-01   2.983958682E-09
    61      12.209963   4.694448E-01   8.162616E+14    1.04852E+35   3.129150022E-09  -4.275022E-01   3.013897807E-09
    62      12.250663   4.694448E-01   8.162616E+14    1.04852E+35   3.160545897E-09  -4.275022E-01   3.044137322E-09
    63      12.291499   4.694448E-01   8.162616E+14    1.04852E+35   3.192256778E-09  -4.275021E-01   3.074680240E-09
    64      12.332470   4.694448E-01   8.162616E+14    1.04852E+35   3.224285825E-09  -4.275021E-01   3.105529606E-09
    65      12.373578   4.694448E-01   8.162616E+14    1.04852E+35   3.256636231E-09  -4.275021E-01   3.136688494E-09
    66      12.414824   4.694448E-01   8.162616E+14    1.04852E+35   3.289311220E-09  -4.275021E-01   3.168160011E-09
    67      12.456206   4.694448E-01   8.162616E+14    1.04852E+35   3.322314048E-09  -4.275021E-01   3.199947292E-09
    68      12.497727   4.694448E-01   8.162616E+14    1.04852E+35   3.355648005E-09  -4.275021E-01   3.232053506E-09
    69      12.539386   4.694448E-01   8.162616E+14    1.04852E+35   3.389316412E-09  -4.275021E-01   3.264481853E-09
    70      12.581184   4.694448E-01   8.162616E+14    1.04852E+35   3.423322627E-09  -4.275021E-01   3.297235565E-09
    71      12.623121   4.694448E-01   8.162616E+14    1.04852E+35   3.457670038E-09  -4.275021E-01   3.330317906E-09
    72      12.665198   4.694448E-01   8.162616E+14    1.04852E+35   3.492362068E-09  -4.275021E-01   3.363732174E-09
    73      12.707415   4.694448E-01   8.162615E+14    1.04852E+35   3.527402175E-09  -4.275021E-01   3.397481699E-09
    74      12.749773   4.694448E-01   8.162615E+14    1.04852E+35   3.562793852E-09  -4.275021E-01   3.431569844E-09
    75      12.792273   4.694448E-01   8.162615E+14    1.04852E+35   3.598540625E-09  -4.275021E-01   3.466000008E-09
    76      12.834913   4.694448E-01   8.162615E+14    1.04852E+35   3.634646058E-09  -4.275021E-01   3.500775621E-09
    77      12.877696   4.694448E-01   8.162615E+14    1.04852E+35   3.671113750E-09  -4.275021E-01   3.535900151E-09
